SB,2B,G
4,8,89
6,14,112
0,2,19
0,0,3
3,1,13
2,16,37
7,3,47
0,4,21
11,14,96
7,27,113
1,25,117
0,2,4
21,15,89
2,7,33
0,0,8
30,25,127
5,29,104
4,11,62
0,1,6
0,13,48
0,6,75
1,30,131
0,0,3
0,0,3
0,4,16
0,4,13
0,0,9
0,2,29
0,1,12
0,2,25
1,7,29
0,2,8
10,6,75
2,12,89
0,0,1
2,11,67
2,11,50
0,13,64
2,4,30
0,4,24
1,24,100
12,23,123
1,0,6
0,0,1
7,19,101
2,6,48
16,17,68
1,7,56
12,4,59
5,15,105
0,1,15
57,19,111
0,9,71
2,33,110
6,14,51
7,14,92
0,4,39
0,1,6
6,2,19
0,4,10
1,2,31
0,0,16
5,21,80
1,1,7
3,2,62
8,17,98
