GIDP,AB,OPS,OBP,CS,SLG,HR,POS,H
5,215,0.878,.385,1,.493,8,SS,67
1,34,0.535,.270,0,.265,0,LF,7
6,173,0.737,.367,0,.370,5,C,42
1,46,1.002,.436,0,.565,3,LF,15
0,43,0.666,.271,0,.395,2,LF,8
0,94,0.674,.270,0,.404,5,1B,21
0,5,0.4,.200,0,.200,0,RF,1
6,238,0.931,.380,0,.550,17,1B,68
5,156,0.707,.310,2,.397,5,1B,42
3,106,0.65,.339,4,.311,1,OF,25
3,215,0.684,.344,0,.340,2,3B,52
3,220,0.989,.394,1,.595,16,RF,70
0,0,0.0,--,0,--,0,P,0
0,10,0.473,.273,0,.200,0,CF,2
3,166,0.604,.333,2,.271,0,2B,38
0,0,0.0,--,0,--,0,P,0
3,85,0.693,.340,0,.353,2,C,23
8,161,0.653,.318,2,.335,5,1B,33
0,11,0.083,.083,0,.000,0,DH,0
14,194,0.652,.302,2,.351,2,DH,56
1,52,0.599,.310,0,.288,0,RF,13
0,35,0.494,.237,0,.257,1,RF,6
1,81,0.464,.241,1,.222,0,SS,16
1,44,0.661,.320,0,.341,1,LF,10
1,74,0.634,.337,1,.297,0,RF,15
4,208,0.816,.345,1,.471,9,3B,59
4,244,0.961,.425,1,.537,10,3B,80
1,17,0.748,.278,0,.471,1,C,4
2,94,0.779,.354,0,.426,0,C,31
4,112,0.693,.264,0,.429,4,RF,25
6,229,0.696,.308,0,.389,5,LF,61
5,230,0.759,.359,6,.400,9,RF,57
10,181,0.61,.322,0,.287,2,C,41
7,191,0.892,.363,4,.529,11,RF,58
0,11,0.364,.182,0,.182,0,1B,2
2,83,0.555,.242,0,.313,2,C,16
0,51,0.636,.283,1,.353,2,3B,9
0,3,0.0,.000,0,.000,0,OF,0
2,75,0.398,.184,1,.213,0,3B,13
10,242,0.848,.368,2,.479,12,LF,68
2,142,0.77,.369,6,.401,4,CF,41
1,23,0.634,.286,0,.348,1,1B,4
5,91,0.603,.284,0,.319,3,C,18
5,104,0.941,.354,0,.587,7,SS,32
0,4,0.0,.000,1,.000,0,CF,0
11,210,0.851,.375,0,.476,12,C,53
5,227,0.864,.384,5,.480,5,SS,78
0,78,0.518,.210,0,.308,2,3B,14
2,84,0.801,.396,1,.405,0,SS,27
0,18,0.541,.263,0,.278,0,3B,4
0,54,0.548,.270,0,.278,2,C,8
2,204,0.861,.371,2,.490,10,1B,60
0,39,0.449,.244,1,.205,0,3B,8
0,17,0.535,.300,0,.235,0,2B,3
3,209,0.823,.378,0,.445,7,1B,61
6,225,0.852,.355,0,.498,10,2B,64
8,177,0.768,.338,1,.429,8,C,45
2,147,0.625,.339,3,.286,2,C,33
2,150,0.664,.318,2,.347,3,1B,35
3,155,0.718,.364,1,.355,3,SS,36
0,14,0.643,.286,0,.357,0,C,4
0,0,0.0,--,0,--,0,P,0
1,60,0.62,.270,0,.350,1,C,14
0,0,0.0,--,0,--,0,P,0
3,33,0.664,.361,0,.303,0,C,10
4,97,0.661,.290,0,.371,2,RF,22
0,107,0.804,.374,1,.430,2,SS,30
3,228,1.061,.421,1,.640,17,LF,78
0,4,1.55,.800,0,.750,0,LF,3
4,214,0.737,.354,2,.383,5,LF,58
4,131,0.783,.401,2,.382,0,C,38
1,87,0.629,.330,3,.299,1,RF,18
7,191,0.771,.404,2,.366,1,2B,57
2,63,0.504,.250,0,.254,0,SS,15
5,239,0.68,.316,1,.364,7,LF,55
0,67,0.78,.392,1,.388,1,CF,19
