ORB%,TRB%,G,eFG%,AST%,Date,Opp
0.0,9.9,45,1.500,28.0,2006-03-29,DET
0.0,0.0,19, ,0.0,2006-01-11,UTA
30.1,15.4,26,.583,15.5,2006-01-28,NYK
6.6,17.5,31,.333,12.6,2006-02-16,CHI
0.0,11.3,14, ,0.0,2005-12-28,POR
16.2,15.3,29,.667,0.0,2006-02-08,CHA
11.1,10.5,35,1.000,25.0,2006-03-01,HOU
0.0,0.0,15, ,0.0,2005-12-31,UTA
17.2,13.3,37,1.000,0.0,2006-03-08,BOS
0.0,9.2,5,.250,33.4,2005-11-14,UTA
0.0,14.5,4,.250,9.7,2005-11-13,SAC
29.1,23.2,20,.000,21.0,2006-01-13,BOS
4.7,11.2,1,.643,7.5,2005-11-02,BOS
0.0,3.6,22, ,0.0,2006-01-18,NJN
0.0,15.7,44,.000,27.9,2006-03-22,ATL
9.8,9.2,13,.750,11.3,2005-12-27,DEN
0.0,6.7,17,.600,0.0,2006-01-06,LAL
0.0,0.0,32, ,0.0,2006-02-24,MIL
0.0,6.4,9, ,0.0,2005-12-14,ATL
0.0,12.8,16,.500,40.3,2006-01-03,SAC
7.7,12.1,8,.500,0.0,2005-12-12,MIN
20.7,23.8,2,.143,0.0,2005-11-04,WAS
0.0,15.9,36, ,0.0,2006-03-05,IND
15.6,16.1,43,.400,0.0,2006-03-19,GSW
24.4,18.3,24,.000,11.9,2006-01-24,SAC
0.0,0.0,7, ,0.0,2005-12-10,NJN
0.0,0.0,56,1.000,0.0,2006-04-19,CHA
