Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Garin Cecchini,Por,28,100,16,30,6,1,2,11,5,0,15,19,0.3,0.397,0.44,0.837
Tony Thomas,Por,28,105,10,17,6,1,2,15,6,0,5,28,0.162,0.205,0.295,0.501
Derrik Gibson,Por,23,68,15,22,4,1,1,4,5,2,13,12,0.324,0.432,0.456,0.888
Peter Hissey,Por,20,83,9,21,4,0,1,1,5,0,3,20,0.253,0.279,0.337,0.616
Travis Shaw,Por,26,86,12,16,3,2,6,10,1,1,10,21,0.186,0.268,0.477,0.745
J.C. Linares,Por,10,31,1,7,3,0,0,3,0,0,2,8,0.226,0.273,0.323,0.595
Heiker Meneses,Por,23,74,11,17,3,0,0,6,2,0,6,18,0.23,0.296,0.27,0.567
Shannon Wilkerson,Por,23,77,5,11,3,0,0,7,2,1,3,14,0.143,0.171,0.182,0.353
Christian Vazquez,Por,21,72,7,22,2,0,1,8,1,1,9,9,0.306,0.39,0.375,0.765
Ryan Dent,Por,14,44,6,8,2,0,3,8,2,0,3,9,0.182,0.234,0.432,0.666
Matt Spring,Por,12,39,3,6,2,0,3,5,0,0,3,16,0.154,0.214,0.436,0.65
Michael Almanzar,Por,29,106,10,23,2,0,1,11,3,0,9,19,0.217,0.282,0.264,0.546
Brandon Jacobs,Por,3,8,2,3,1,1,0,0,0,0,0,2,0.375,0.375,0.75,1.125
Stephen Drew,Por,2,7,0,2,1,0,0,1,0,0,0,1,0.286,0.286,0.429,0.714
Kolbrin Vitek,Por,12,37,1,9,1,0,0,2,0,1,0,9,0.243,0.237,0.27,0.507
Ronald Bermudez,Por,7,26,2,9,0,0,1,5,1,1,1,5,0.346,0.37,0.462,0.832
Leonel Escobar,Por,1,1,0,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5
Kevin Heller,Por,2,7,0,1,0,0,0,0,0,0,0,1,0.143,0.143,0.143,0.286
