Batter,Team,RC,RC/27,GB%,FB%,Pop%,LD%,IF/F,HR/F,K%,BB%,BABIP,IsoP,IsoD,GPA,SecA,wOBA
Anthony Rizzo,PorSal,70.2,7.2,35.6,39.1,6.8,18.5,14.7,19.1,20.4,10.6,0.313,0.247,0.074,0.291,0.375,0.385
Lars Anderson,PawPor,68.4,7.5,45.0,26.4,10.5,18.2,28.4,20.6,21.8,10.6,0.348,0.224,0.084,0.295,0.346,0.388
Nate Spears,Por,68.1,6.7,38.5,36.9,5.2,19.4,12.3,11.4,14.0,13.1,0.283,0.199,0.103,0.279,0.372,0.37
Ryan Lavarnway,PorSal,64.5,8.1,37.6,39.7,7.2,15.6,15.3,14.9,19.7,11.8,0.356,0.195,0.098,0.304,0.338,0.399
Jeremy Hazelbaker,Gre,55.6,5.6,41.1,37.9,9.4,11.6,19.8,10.6,27.5,11.1,0.338,0.185,0.087,0.26,0.418,0.36
Ronald Bermudez,SalGre,53.4,6.0,52.8,29.1,4.7,13.4,14.0,10.8,18.0,8.2,0.347,0.17,0.069,0.278,0.266,0.385
Daniel Butler,3 Teams,52.5,8.6,43.3,33.7,7.0,16.0,17.1,6.3,17.7,10.8,0.397,0.172,0.096,0.313,0.303,0.425
Ray Chang,Por,52.4,6.5,38.3,35.6,6.5,19.5,15.5,7.5,14.0,8.7,0.335,0.148,0.082,0.281,0.248,0.368
Che-Hsuan Lin,Por,51.3,5.7,45.3,29.2,6.2,19.3,17.5,2.5,11.2,13.3,0.327,0.064,0.109,0.266,0.261,0.373
Oscar Tejeda,Sal,49.4,5.4,51.1,35.3,4.4,9.2,11.1,7.3,19.0,5.8,0.357,0.136,0.038,0.258,0.22,0.356
Christopher McGuiness,Gre,48.7,9.1,47.0,30.5,4.6,17.9,13.2,21.7,19.2,17.2,0.354,0.244,0.126,0.329,0.454,0.444
Aaron Bates,Paw,45.9,5.4,55.8,27.0,3.1,14.2,10.3,18.0,22.7,12.2,0.315,0.149,0.101,0.261,0.288,0.351
Will Middlebrooks,Sal,45.7,5.7,39.8,40.3,5.6,14.4,12.1,8.0,25.6,6.6,0.389,0.142,0.05,0.263,0.221,0.357
Michael Almanzar,Gre,45.7,4.3,41.6,34.5,9.6,14.3,21.7,8.9,21.2,5.5,0.302,0.137,0.049,0.23,0.207,0.317
Josh Reddick,Paw,44.2,5.0,36.4,35.3,8.5,19.8,19.5,15.4,16.0,5.3,0.278,0.218,0.036,0.255,0.269,0.343
Reynaldo Rodriguez,Gre,42.9,7.1,39.7,37.4,7.8,15.1,17.3,14.9,15.1,10.6,0.291,0.216,0.101,0.289,0.383,0.395
Mitch Dening,Sal,42.6,5.1,53.5,32.9,3.7,9.9,10.1,3.8,15.4,9.9,0.329,0.106,0.074,0.254,0.235,0.343
Reymond Fuentes,Gre,42.0,5.3,50.5,25.2,10.2,14.1,28.8,9.6,20.9,6.9,0.335,0.125,0.063,0.247,0.282,0.34
Derrik Gibson,Gre,41.7,3.8,52.0,26.0,7.7,14.3,22.8,2.6,17.4,10.2,0.289,0.068,0.088,0.22,0.242,0.303
Ryan Kalish,PawPor,38.7,7.2,45.2,26.1,8.3,20.4,24.1,17.1,15.3,16.1,0.298,0.186,0.118,0.287,0.438,0.378
Luis Exposito,Por,38.4,3.9,48.9,27.6,7.0,16.5,20.2,10.7,18.8,10.5,0.271,0.139,0.089,0.235,0.258,0.32
Bubba Bell,Paw,38.4,5.8,41.6,27.3,7.7,23.4,21.9,8.8,13.2,11.4,0.325,0.11,0.082,0.267,0.273,0.366
Chih-Hsien Chiang,Por,37.9,4.3,50.0,30.5,3.4,16.0,10.1,8.8,13.1,7.3,0.272,0.166,0.055,0.241,0.249,0.336
Daniel Nava,Paw,37.6,7.2,33.8,36.5,1.4,28.4,3.6,11.1,21.0,8.7,0.364,0.173,0.09,0.29,0.284,0.383
Alex Hassan,PawSal,36.1,5.6,46.2,38.5,4.4,11.0,10.3,5.7,18.3,10.8,0.335,0.138,0.087,0.266,0.279,0.377
