Name,oRAR,WAR,G,Rbaser,PA,Rfield,waaWL%,Age
Dewey McDougal?,-3,-0.2,18,0,49,0,.487,23
Les German,5,0.3,35,-0,124,-1,.510,26
Cozy Dolan*,-1,-0.1,26,-0,91,0,.497,22
Bill Lange,63,5.3,123,6,546,2,.529,24
Ducky Holmes*,17,0.9,40,-1,179,-7,.508,26
Joe Sullivan?,22,1.1,94,-2,418,-12,.497,25
Frank Butler*,-1,-0.0,5,0,23,0,.475,34
Ed McKean,48,4.4,132,-2,633,4,.518,31
Bill Gray?,10,0.7,52,-0,199,-2,.501,24
Grant Briggs?,-1,-0.1,1,0,4,0,.391,30
Jack Wadsworth*,-0,-0.0,2,0,5,0,.495,27
Parson Nicholson,-0,-0.1,10,0,45,-2,.471,32
Fred Donovan,-2,-0.3,3,0,13,-1,.401,30
Sadie McMahon,2,0.2,15,-0,56,0,.511,27
Mike Grady,9,0.6,46,-1,143,-2,.503,25
Varney Anderson,6,0.4,36,0,110,0,.513,29
Brownie Foreman*,-7,-0.6,19,0,54,0,.470,19
Gene DeMontreville,-1,-0.1,12,0,49,-1,.478,22
Bill Childers?,0,0.0,1,0,0,0,.500,--
Dan Brouthers*,8,0.5,29,-0,133,-3,.500,37
Germany Smith,13,1.8,127,-2,540,6,.500,36
Tommy Dowd,21,1.5,130,0,546,-7,.497,26
Oscar Purner?,-0,-0.0,1,0,1,0,.480,22
Roger Connor*,43,3.6,104,-1,468,0,.520,37
Jack Boyle,-22,-2.0,133,-2,625,-9,.469,29
Ambrose McGann?,4,0.1,20,1,82,-3,.493,27
Frank Scheibeck,-13,-1.4,49,-0,194,-6,.459,30
Mike Griffin*,55,5.6,132,-2,637,12,.527,30
Dummy Hoy*,11,0.9,107,4,490,-4,.493,33
Bert Abbey,1,0.1,9,0,24,0,.508,25
Billy Rhines,-3,-0.2,38,0,124,0,.494,26
Dan Daub,-2,-0.2,25,-0,81,0,.493,27
Joe Connor,-2,-0.2,2,0,7,0,.402,20
John O'Brien*,-5,-0.2,128,-2,612,-2,.484,28
Parke Wilson,-10,-0.9,67,-0,255,-4,.474,27
Eddie Burke*,-7,-0.1,95,3,435,2,.484,28
Malachi Kittridge,-7,-0.2,60,-0,235,3,.484,25
George Hogriever,7,0.9,69,3,282,2,.499,26
Mike Smith*,17,1.8,125,-0,548,2,.500,27
Jack O'Connor,7,0.8,90,-1,389,0,.495,29
Tommy McCarthy,5,0.4,117,-2,542,-4,.489,31
Tom McCreery#,2,0.0,31,-0,119,-3,.488,20
Andy Boswell?,-1,-0.1,12,0,33,-1,.490,21
Tommy Tucker#,1,0.8,126,-2,558,4,.491,31
Pussy Tebeau?,1,0.1,2,-0,8,0,.541,25
Ace Stewart,-7,-0.9,97,-1,408,-8,.477,26
Adonis Terry,-9,-0.7,40,-0,145,0,.483,30
George Hodson,-1,-0.1,4,0,6,0,.479,27
Clark Griffith,9,0.7,43,-0,163,0,.516,25
Harry Atkinson?,-0,0.0,1,0,5,0,.488,21
John Malarkey?,-5,-0.4,22,0,39,0,.482,23
Duke Esper?,-8,-0.6,34,0,98,0,.482,27
Jack Warner*,1,0.3,70,-1,262,0,.491,22
Mike Kahoe,-1,-0.1,3,0,4,0,.467,21
Frank Genins?,-4,0.1,73,1,299,2,.487,28
Billy Nash,27,2.2,133,-2,601,-3,.502,30
Frank Foreman,5,0.4,32,-0,101,0,.512,32
Arlie Latham,20,1.6,112,4,514,-4,.499,35
Dan McFarlan,-1,-0.1,7,0,21,0,.491,20
Jack Stivetts,-11,-0.9,46,0,166,0,.481,27
Hughie Jennings,75,7.5,131,3,613,18,.542,26
Dusty Miller*,30,3.2,132,3,573,6,.509,26
Harry Davis,0,0.1,7,-0,26,0,.495,21
Jack Glasscock,3,0.2,43,-0,194,-2,.490,37
Bug Holliday,1,-0.0,32,-0,138,-2,.485,28
Harry Blake,-10,-0.6,85,-1,362,0,.479,21
Red Ehret,-3,-0.2,37,0,105,0,.494,26
Sam Thompson*,71,6.0,119,-1,576,3,.535,35
Al Maul,2,0.1,22,0,80,0,.506,29
Bill Everitt*,33,2.6,133,1,596,-5,.505,26
Joe Wright*,-5,-0.4,60,-1,243,-2,.480,26
Tom Daly#,16,1.2,121,-0,525,-5,.495,29
Harry Staley,-7,-0.5,23,-0,73,0,.477,28
Mike Tiernan*,49,4.3,120,0,548,2,.521,28
Con Lucid?,7,0.5,31,0,97,0,.518,21
Mike Ryan?,-1,-0.0,2,0,2,0,.475,27
Hunkey Hines,0,0.0,2,0,10,0,.498,27
Bill Kissinger,-4,-0.4,35,-0,103,-1,.490,23
Bobby Wallace,-4,-0.3,30,0,112,0,.490,21
Chief Zimmer,28,2.6,88,-1,357,3,.516,34
Fred Clarke*,31,3.0,132,-0,597,3,.508,22
John Dolan?,-0,-0.0,2,0,4,0,.486,27
Jock Menefee,0,0.0,2,0,0,0,.500,27
Ernie Beam?,-1,-0.1,10,0,12,0,.492,28
Heinie Reitz*,6,0.9,71,0,275,3,.500,28
Buster Burrell,-1,-0.2,12,0,32,-1,.477,28
Steve Brodie*,26,3.0,131,-1,577,8,.508,26
Charlie Nyce?,2,0.2,9,0,40,0,.507,24
Hercules Burnett,4,0.3,5,0,20,0,.555,29
Connie Mack,4,0.4,14,-0,59,1,.515,32
Dad Clarkson,-10,-0.8,27,0,92,0,.470,28
Billy Lush#,0,-0.0,5,0,20,-1,.481,21
Shorty Fuller,-7,1.1,126,-2,531,17,.495,27
Tom Smith,-0,-0.0,11,0,36,0,.496,23
Bill Dahlen,8,2.2,129,2,592,15,.502,25
Willie Clark*,-2,-0.0,23,-0,93,1,.486,24
Fred Zahner?,0,-0.2,21,0,56,-3,.483,25
Al Orth*,4,0.3,11,0,48,0,.530,22
John Grim,9,1.1,94,-1,358,3,.500,27
Kid Carsey*,6,0.4,44,-0,168,0,.510,22
Tom Morrison?,1,0.1,6,0,24,0,.500,25
