Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Sep 5,Central Oklahoma,"W, 52-38",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 14,at Northeastern St.,"W, 17-14",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 21,Lincoln (Mo.),"W, 59-10",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 28,at Southwest Baptist,"L, 38-33",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 5,Central Mo.,"W, 21-14",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 12,at South Dakota Mines,"W, 45-20",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 19,#4 Mo. Western St.,"L, 35-21",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 26,at #2 Northwest Mo. St.,"L, 43-7",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 2,Lindenwood, ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 9,Lindenwood-Belleville,"W, 55-0",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 16,at #6 Pittsburg St.,"W, 35-21",-,-,0,-,-,0,-,-,-,-,-,-,-,-
