Movable-Swing,Arch-Deck,Segmental Box Girder,Tunnel,Box Beam or Girders (Single or Spread),Slab,Truss-Deck,Stringer /Multi-Beam or Girder,Stayed Girder,Orthotropic
0,30,0,0,4,"1,315",13,"2,461",0,0
3,182,0,0,21,367,10,"2,564",2,0
11,107,1,1,14,"1,426",15,"6,614",1,0
0,5,0,0,8,322,14,"1,430",0,0
0,46,16,0,219,272,10,"3,811",0,1
10,730,2,2,23,"1,084",43,"10,130",0,3
8,78,0,0,49,"5,029",51,"20,810",0,5
0,57,0,0,0,168,6,"1,379",0,0
10,38,0,0,1,312,8,"1,034",0,0
0,15,0,0,0,125,2,"1,435",0,0
2,161,1,0,11,"3,959",17,"13,991",2,0
7,207,0,0,434,"1,276",31,"2,838",5,1
1,17,0,13,4,3,2,128,0,1
15,291,0,1,25,427,11,"3,785",0,0
0,126,0,4,13,"2,424",12,"11,854",0,0
0,33,1,1,7,882,29,"5,988",0,0
