H,SB,G,BB,SH
120,2,106,40,0
92,15,75,36,6
76,2,77,18,2
51,4,51,31,0
0,0,1,0,0
16,1,26,17,0
27,3,42,8,0
51,4,49,17,0
28,0,29,14,0
49,4,79,39,3
4,0,9,4,0
43,5,55,22,9
19,1,24,2,0
1,0,1,0,0
4,2,3,0,0
14,0,19,1,0
111,6,92,10,0
121,5,114,36,2
47,1,52,12,2
37,1,41,14,2
59,1,61,14,1
1,0,4,0,0
46,9,45,20,3
101,1,84,47,0
4,0,5,3,0
7,0,24,19,0
39,0,66,24,3
139,25,128,33,9
26,0,32,10,0
115,7,103,26,0
7,0,11,3,0
16,0,22,4,0
133,35,119,55,0
132,12,118,46,14
75,1,102,25,0
103,23,114,54,3
158,8,132,63,2
124,31,125,37,10
1,0,3,1,0
98,10,82,23,1
17,0,26,1,1
68,2,97,37,1
26,4,32,6,0
132,5,126,53,0
32,10,41,5,1
17,0,26,4,1
49,11,67,13,5
20,1,15,1,0
113,7,99,69,2
31,0,27,12,0
79,5,73,34,1
53,5,58,22,0
3,3,4,0,0
21,5,46,4,1
22,3,24,10,0
77,5,69,30,3
120,5,121,32,2
8,3,12,8,0
74,4,70,13,3
7,0,11,0,0
38,6,33,5,1
132,2,118,49,1
1,0,4,0,0
31,1,17,13,0
84,7,90,35,4
10,7,17,3,0
61,7,50,9,1
1,0,3,2,0
12,0,17,1,0
14,0,25,5,4
48,3,52,23,1
94,1,70,26,0
107,4,101,53,4
134,11,131,75,0
38,4,50,4,0
16,0,20,2,1
106,7,95,30,3
10,0,9,2,0
62,0,47,17,0
55,2,53,13,0
94,5,96,35,2
2,0,3,4,0
82,14,101,52,11
34,0,43,13,0
17,1,18,8,0
38,1,31,20,0
7,1,11,1,1
59,12,50,23,1
107,10,111,31,7
27,3,25,3,1
6,0,10,10,1
98,2,68,23,0
186,12,134,42,0
121,0,122,65,0
97,2,83,18,0
25,1,45,19,3
4,0,3,1,0
2,0,6,0,0
107,9,117,46,1
121,22,112,33,8
107,9,76,17,0
99,2,112,31,6
0,0,1,0,0
131,4,137,77,0
