Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Alex Hassan,Paw,23,80,8,24,4,0,3,16,0,0,15,11,0.3,0.412,0.463,0.875
Lars Anderson,Paw,25,92,15,26,6,1,3,15,1,0,15,24,0.283,0.383,0.467,0.851
Ryan Lavarnway,Paw,21,84,18,34,10,0,4,18,0,0,12,13,0.405,0.469,0.667,1.136
Mauro Gomez,Paw,25,100,19,34,11,0,6,16,0,0,10,23,0.34,0.411,0.63,1.041
Tony Thomas,Paw,19,66,8,15,5,0,4,8,1,1,8,23,0.227,0.303,0.485,0.787
Che-Hsuan Lin,Paw,22,84,7,16,3,2,0,6,4,2,8,11,0.19,0.277,0.274,0.55
Ryan Kalish,Paw,9,37,11,14,2,0,4,10,3,0,7,10,0.378,0.477,0.757,1.234
Josh Kroeger,Paw,15,54,6,11,4,0,2,10,0,1,7,10,0.204,0.286,0.389,0.675
Nate Spears,Paw,25,87,9,16,5,0,1,5,1,0,6,22,0.184,0.245,0.276,0.521
Pedro Ciriaco,Paw,25,114,19,37,7,1,2,7,6,3,3,19,0.325,0.342,0.456,0.798
Jason Repko,Paw,8,35,7,9,1,1,1,8,0,2,2,6,0.257,0.308,0.429,0.736
Jonathan Hee,Paw,14,48,3,11,2,1,0,4,1,0,2,12,0.229,0.275,0.313,0.587
Ronald Bermudez,Paw,3,6,1,2,0,0,0,0,0,0,1,0,0.333,0.429,0.333,0.762
Cody Ross,Paw,2,7,1,1,0,0,0,0,0,0,1,0,0.143,0.333,0.143,0.476
J.C. Linares,Paw,7,28,0,5,1,0,0,0,0,0,1,4,0.179,0.233,0.214,0.448
Scott Podsednik,Paw,2,7,0,0,0,0,0,0,0,0,1,1,0.0,0.125,0.0,0.125
Andy LaRoche,Paw,2,9,4,7,3,0,1,4,0,0,0,2,0.778,0.778,1.444,2.222
Mike Rivera,Paw,8,30,3,13,3,0,2,7,0,0,0,6,0.433,0.469,0.733,1.202
Darnell McDonald,Paw,3,13,2,4,3,0,0,1,0,0,0,4,0.308,0.308,0.538,0.846
Jose Iglesias,Paw,3,14,0,1,0,0,0,0,0,0,0,1,0.071,0.071,0.071,0.143
