waaWL%,WAA,RAA,Acquired,WAR,PA,Rrep,G,Name,Rdp
.501,0.0,0,Rule 5 Draft,0.0,0,0,47,Jared Burton,0
.498,-0.0,-0,Amateur Free Agent,0.0,11,0,5,Ryan Hanigan,0
.486,-1.0,-10,Free Agency,-0.2,304,9,75,Ryan Freel,1
.499,-0.0,-0,Waivers,0.1,56,2,37,Jason Ellison,0
.501,0.0,0,Free Agency,0.0,0,0,70,David Weathers,0
.495,-0.1,-1,Traded,-0.1,42,0,22,Kyle Lohse,0
.492,-1.2,-12,Traded,0.6,623,19,144,Ken Griffey*,-1
.503,0.3,3,Free Agency,1.2,335,10,121,Norris Hopper,-0
.477,-0.7,-7,Free Agency,-0.6,49,2,30,Chad Moeller,0
.508,0.9,9,Free Agency,2.1,430,13,110,Alex Gonzalez,-1
.490,-1.2,-11,Traded,-0.2,348,11,112,David Ross,-1
.488,-0.2,-2,Traded,-0.1,38,1,20,Buck Coats*,0
.501,0.0,0,Free Agency,0.0,0,0,15,Eddie Guardado,0
.499,-0.2,-2,Traded,1.4,560,17,139,Edwin Encarnacion,1
.485,-0.1,-1,Traded,-0.1,6,0,6,Phil Dumatrait,0
.499,0.0,0,Free Agency,0.0,0,0,1,Jerry Gil,0
.501,0.0,0,Traded,0.0,0,0,6,Rheal Cormier*,0
.494,-0.0,-0,Free Agency,-0.0,9,0,6,Eric Milton*,0
.476,-1.3,-13,Traded,-1.0,98,3,54,Juan Castro,-0
