DESKTOP/IBM,Release,ENTERPRISE/SNASW
Y,12.1(5)T,Y
N,12.1(1)T,Y
Y,12.0(1),Y
Y,12.0(3)T,Y
Y,12.1(2)T,Y
Y,12.0(5)T,Y
Y,12.1(3)T,Y
Y,12.0(3)T,Y
Y,12.0(3)T,Y
N,12.1(5)T,Y
Y,12.1(2)T,Y
Y,12.1(3)T,Y
Y,12.1(5)T,Y
Y,12.1(3)T,Y
N,12.0(5)T,Y
Y,12.0(1)T,Y
Y,12.1(3)T,Y
Y,12.0(1)T,Y
Y,12.0(3)T,Y
Y,12.0(5)T,Y
Y,12.0(5)T,Y
Y,12.0(1),Y
Y,12.0(3)T,Y
Y,12.0(3)T,Y
Y,12.0(5)T,Y
Y,12.1(5)T,Y
N,12.1(5)T,Y
Y,12.0(5)T,Y
Y,12.0(3)T,Y
Y,12.1(5)T,Y
Y,12.1(5)T,Y
Y,12.0(1)T,Y
Y,12.0(5)T,Y
N,12.0(5)T,Y
Y,12.1(3)T,Y
Y,12.1(1)T,Y
Y,12.1(5)T,Y
Y,12.0(5)T,Y
N,12.0(4)T,Y
Y,12.0(5)T,Y
Y,12.0(1)T,Y
Y,12.0(3)T,Y
Y,12.1(3)T,Y
