SB,Team,Player
2,MAR,K Dixon
2,GIA,L King
0,ROY,M Diaz
1,BRE,T Festa
0,PAD,E Gill
0,BRE,M Parejo
2,BRE,J Jimenez
1,CUB,M Mercedes
3,CUB,D Lewis
2,RAN,M Pina
40,GIA,A Richardson
5,GIA,B Groth
19,ATH,A Piper-Jordan
0,MAR,J Hernandez
1,GIA,G McCarthy
6,RAN,J Torres
0,ROY,W Matos
12,PAD,J Howard
27,RAN,T Mehl
6,MAR,J Guzman
1,CUB,R Canzler
5,ANG,C Fuller
14,ATH,M Klug
1,MAR,L Bonilla
4,ATH,C Morales
12,BRE,L Cain
0,MAR,N Prosise
1,MAR,K Gergel
3,ANG,M Ryan
6,GIA,E Cividanes
3,ROY,C Avila
1,PAD,M Thayer
4,GIA,J Acha
19,PAD,J Diaz
8,CUB,R Brown
0,MAR,J Nelson
0,ANG,D Pruitt
0,CUB,J Muyco
0,CUB,D Johnston
2,MAR,C Ledbetter
7,ROY,J Johnson
1,BRE,R Angoma
3,PAD,K Blanks
5,GIA,R Janeway
1,GIA,D Desouza
0,GIA,D Maroul
2,PAD,W Crafort
0,GIA,K Bone
1,BRE,J Stanfield
