Player,AVG,R,3B,SF,BB,SO,SH,2B,RBI
G Davis,0.313,9,0,3,2,20,1,6,12
D Harris,0.256,47,3,3,30,121,0,26,52
P O'Brien,0.245,47,1,0,16,77,0,14,51
J Lagares,0.25,2,0,0,1,3,0,0,1
A Lavisky,0.278,26,0,1,12,44,1,10,25
M Bourn,0.087,0,0,0,2,10,0,0,0
C Hernandez,0.34,13,1,1,13,13,0,4,14
B Harper,0.6,4,0,0,3,1,0,1,7
B Burgamy,0.276,80,1,3,71,101,0,32,76
P Rankin,0.209,5,0,0,0,15,1,1,0
M Gonzales,0.264,14,0,0,9,26,0,7,18
T Fedroff,0.216,12,0,2,8,29,0,5,14
Y Carter,0.183,6,0,1,3,19,0,3,5
J Fox,0.308,42,0,2,20,49,0,15,70
E Blair,0.24,9,0,0,10,27,1,4,11
K Knudson,0.215,15,0,3,13,57,2,16,33
J Berti,0.27,69,7,4,35,82,5,21,50
G Pierre,0.214,2,0,1,1,11,0,1,3
D Machado,0.305,45,1,3,40,36,4,23,32
T Blaser,0.233,10,0,0,3,23,0,4,4
D Travis,0.298,68,7,4,37,60,2,20,52
A Burns,0.255,71,5,8,41,99,3,32,63
Z Chavez,0.167,4,1,0,5,11,0,0,1
G Sanchez,0.27,48,0,3,43,91,0,19,65
O Tejeda,0.204,6,1,1,1,13,0,0,4
K Vargas,0.281,50,0,3,43,68,0,17,63
D Bethea,0.25,0,0,0,1,1,0,1,3
K Tomlinson,0.268,63,6,4,44,82,8,9,32
J Ruettiger,0.282,24,1,0,11,22,3,6,10
T d'Arnaud,0.125,2,0,0,1,0,0,0,2
D Green,0.311,51,1,2,28,80,0,26,65
B Waring,0.212,40,0,1,40,150,0,28,43
A Abraham,0.231,11,0,1,12,15,0,8,9
E Rosario,0.237,40,3,2,17,68,0,20,36
G Rosa,0.282,59,1,4,12,95,3,27,69
X Carrillo,0.283,28,0,2,11,32,1,7,19
A Fermin,0.262,17,0,2,8,10,0,6,16
C Barmes,0.333,0,0,0,0,0,0,0,0
R Segedin,0.283,46,1,4,52,60,0,21,49
S Welch,0.222,48,3,6,48,99,1,16,49
J Parker,0.275,52,6,1,45,103,0,20,58
K Emsley-Pai,0.0,2,0,0,4,4,0,0,0
G Bird,0.253,16,0,1,18,27,0,8,11
P Lavin,0.283,40,3,3,14,31,4,17,31
L Moore,0.221,9,1,2,20,48,2,12,17
B Glenn,0.231,31,1,2,20,53,0,10,23
J Lowery,0.201,27,3,4,33,71,0,7,19
D Chester,0.231,21,0,2,18,68,0,9,31
J Murphy,0.225,19,0,0,15,30,1,4,15
B Bantz,0.271,7,0,0,4,14,1,5,6
C Wimberly,0.252,32,5,1,15,37,7,13,19
J Cunningham,0.246,46,4,4,27,69,6,16,27
A Sanchez,0.223,34,0,2,23,42,1,6,29
F Arcia,0.32,5,1,2,5,16,0,6,16
R Oduber,0.0,0,0,0,0,0,0,0,0
E Zambrano,0.268,15,0,0,10,26,4,4,12
A Vasquez,0.268,38,1,2,15,61,6,18,38
D Longley,0.24,4,1,0,1,12,0,0,3
R Cabrera,0.273,47,0,4,36,43,0,22,52
E Gonzalez,0.357,21,3,0,7,23,0,6,16
S Fuld,0.429,4,0,0,2,1,0,2,2
K Johnson,0.259,61,4,5,42,80,1,25,39
S Schoop,0.217,29,0,1,24,56,3,13,25
S Nicol,0.247,17,0,0,8,19,0,6,3
E Duran,0.224,36,2,1,21,57,5,10,25
J Centeno,0.286,8,0,0,6,11,0,5,8
K Hobson,0.215,18,0,0,15,41,0,8,21
A Westlake,0.236,53,1,4,32,120,0,20,49
S Ochinko,0.204,5,0,0,1,5,0,2,8
K Serna,0.273,20,1,0,4,24,2,7,14
M Spring,0.233,17,0,4,10,32,0,7,23
S Valle,0.257,4,0,1,5,19,1,4,10
M Lemon,0.252,24,1,1,12,31,3,9,14
K Kang,0.282,50,3,2,32,86,1,22,37
D Ceciliani,0.289,59,4,6,22,89,1,17,54
J Bloxom,0.252,11,0,1,12,31,0,8,10
K Heller,0.167,2,0,0,6,8,0,1,3
C Walker,0.301,58,2,4,38,83,0,15,77
C Marrero,0.235,30,1,2,20,40,0,10,42
K Broxton,0.275,67,9,2,59,122,0,22,52
A Jimenez,0.223,11,0,1,6,19,0,8,13
K Gronauer,0.176,3,0,0,4,7,0,1,4
N Zapata,0.185,5,0,0,3,4,0,2,1
K Nolan,0.257,42,1,3,26,47,0,22,38
M Schroder,0.254,43,5,4,20,76,0,16,34
M Newman,0.242,25,4,5,16,81,3,22,39
D Bichette,0.224,7,0,0,6,11,0,3,4
A Altherr,0.236,54,2,5,26,110,4,27,57
D Fields,0.286,4,1,0,6,7,0,3,9
C Maron,0.5,0,0,0,0,1,0,0,0
H Gimenez,0.235,6,0,0,2,14,0,3,5
