ID,Name,Type,Status,Assignee,Votes,Comments,Component,Milestone,Priority,Updated,Reported by
ID,Name,Type,Status,Assignee,Votes,Comments,Component,Milestone,Priority,Updated,Reported by
739,Tabs cannot be modified,Defect,New,sylvanaar,0,0,—,—,Medium,"Jul 24, 2015",SamsiWoW
738,ChatTabs module weird font.,Defect,New,sylvanaar,0,0,Specific Module,—,Medium,"Jul 21, 2015",Warbigold
737,Custom filters pattern documentation?,Enhancement,New,sylvanaar,0,0,—,—,Medium,"Jul 19, 2015",tearx
736,Import data from GuildGreet,Defect,New,sylvanaar,0,0,—,—,Medium,"Jul 03, 2015",sykopat
735,Outbound filters broken,Defect,New,sylvanaar,0,0,I don't know.,—,Medium,"May 31, 2015",Greytium
734,Lua Error Chat Transperency,Defect,New,sylvanaar,0,0,—,—,Medium,"May 11, 2015",FAlonsoESP
733,Bonur roll error,Defect,New,sylvanaar,0,0,I don't know.,—,Medium,"May 03, 2015",meltinglava
732,Feature support,Defect,New,sylvanaar,0,0,—,—,Medium,"Apr 12, 2015",ahnji
731,GameTooltip and PrintSlashCommand,Defect,New,sylvanaar,0,0,—,—,Medium,"Apr 02, 2015",Bodar
730,Connected realms colouring,Enhancement,New,sylvanaar,0,0,Specific Module,—,Medium,"Mar 31, 2015",TagofFire
729,Friend names in scrollback PMs are wrong,Defect,New,sylvanaar,0,0,I don't know.,—,Medium,"Mar 25, 2015",thefowles1
727,Time stamp issue with opening mailbox,Defect,New,sylvanaar,0,0,—,—,Medium,"Mar 10, 2015",donny110
726,Replace RealID with Battletag,Enhancement,New,sylvanaar,0,0,—,—,Medium,"Mar 08, 2015",Ami_Yuy
725,3.5.13 - Alt Invite Not Working,Defect,New,sylvanaar,0,0,Specific Module,—,Medium,"Feb 28, 2015",Elvenbane
724,This is so annoying,Other,New,sylvanaar,0,0,I don't know.,—,Medium,"Feb 28, 2015",subzdud
722,Guild chat invites and whispers broken,Defect,New,sylvanaar,0,0,I don't know.,—,Medium,"Feb 19, 2015",dsvictorh
721,Bug in BugSack,Defect,New,sylvanaar,0,0,—,—,Medium,"Jan 11, 2015",FuxieDK
720,Shorten Bubble no action,Defect,New,sylvanaar,0,0,Specific Module,—,Medium,"Jan 10, 2015",Torodor
718,LOKWhoIsWho Import for AltNames,Defect,New,sylvanaar,0,0,Specific Module,—,Medium,"Dec 14, 2014",SilverShadow
716,Substitutions Bug,Defect,New,sylvanaar,0,0,Specific Module,—,Medium,"Dec 04, 2014",SilverShadow
