Date,DRtg,BLK%,TS%,ORB%,Opp,TRB%
1986-03-05,124,0.0,.205,4.7,LAL,8.0
1985-11-06,97,0.0,.654,12.0,WSB,15.2
1986-03-26,95,0.0,1.000,0.0,DEN,15.5
1985-11-01,98,2.3,.661,7.3,DAL,13.1
1985-12-30,132,0.0, ,0.0,POR,0.0
1986-04-09,112,0.0,.500,0.0,SAC,12.4
1986-03-14,110,0.0,1.064,26.7,SAS,20.8
1986-03-28,117,0.0,.564,22.4,DEN,19.4
1985-11-22,94,5.4,.200,10.4,IND,5.3
1985-10-26,94,0.0,.618,8.3,LAL,15.7
1985-12-10,111,0.0,.333,0.0,CHI,0.0
1986-02-03,110,0.0,.615,0.0,UTA,5.7
1985-10-30,104,0.0,.370,0.0,UTA,5.4
1986-02-27,89,0.0,.840,5.6,IND,18.0
1986-01-13,102,5.5,.500,4.7,PHO,8.2
1986-02-17,110,2.9,.536,24.6,DET,9.7
1986-04-10,103,0.0,.615,8.9,SAC,4.4
1985-11-27,93,0.0,.444,7.0,WSB,13.3
1986-03-22,116,0.0,.000,12.6,PHO,5.5
1985-12-11,111,0.0,.694,14.0,IND,11.4
1986-03-12,133,0.0,.667,0.0,GSW,0.0
1986-01-02,114,0.0,.000,0.0,SAC,11.9
1985-11-29,88,5.8,.563,0.0,LAC,12.5
1986-02-13,107,3.9,.225,0.0,HOU,13.4
1985-11-24,123,0.0,.628,14.6,LAL,14.4
1986-04-02,105,0.0,.260,7.7,LAC,13.5
1985-12-21,114,0.0,.333,0.0,DEN,5.9
