BATTING,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS
2004,ARZ,29,110,96,10,23,6,0,5,15,0,0,13,25,0.24,0.327,0.458,0.785
2005,ARZ,115,373,326,24,66,14,0,6,28,0,1,40,87,0.202,0.297,0.301,0.598
2006,ARZ,61,213,184,19,51,9,0,6,32,0,0,22,39,0.277,0.349,0.424,0.773
2007,ARZ,110,380,326,37,82,20,0,13,47,0,1,40,67,0.252,0.342,0.433,0.775
2008,ARZ,115,404,334,47,79,22,1,16,64,0,0,56,101,0.237,0.348,0.452,0.8
2009,ARZ,61,202,165,20,33,7,0,6,22,0,0,32,47,0.2,0.333,0.352,0.685
2010,ARZ,65,234,195,22,45,8,0,10,32,0,0,36,61,0.231,0.352,0.426,0.778
2010,PIT,40,142,124,12,21,1,0,5,16,0,0,16,33,0.169,0.268,0.298,0.566
2010,Total,105,376,319,34,66,9,0,15,48,0,0,52,94,0.207,0.32,0.376,0.696
2011,PIT,34,119,96,13,26,3,0,3,17,0,1,17,23,0.271,0.376,0.396,0.772
2012,HOU,76,258,221,23,39,8,0,7,24,0,0,33,70,0.176,0.295,0.308,0.603
2013,BAL,9,24,20,0,2,0,0,0,1,0,0,4,7,0.1,0.25,0.1,0.35
Career, ,715,2459,2087,227,467,98,1,77,298,0,3,309,560,0.224,0.328,0.382,0.71
