SF,Result,IBB,AB,BB,H
0,W 4-3 @PIT,0,5,0,1
0,L 6-7 vs MON,0,4,0,2
0,L 1-6 @HOU,0,3,0,0
0,L 5-7 @PIT,0,4,0,2
0,L 7-10 @NYN,0,3,1,2
0,L 3-7 @CIN,0,4,0,0
0,W 7-5 @NYN,0,4,1,2
0,L 9-10 @PHI,0,6,0,4
0,L 3-8 vs HOU,0,5,0,0
0,W 8-7 vs CIN,0,2,1,2
0,W 3-1 @PHI,0,4,0,2
0,W 5-2 vs PIT,0,1,0,0
0,W 2-0 @HOU,0,5,0,1
0,W 9-4 vs HOU,0,5,0,1
0,W 9-8 @LAN,0,4,1,2
0,L 2-3 @MON,0,5,0,4
0,W 11-0 @LAN,0,5,0,3
0,L 2-5 @PIT,0,4,0,0
0,W 12-9 vs NYN,0,5,0,3
0,W 8-2 vs SFN,0,4,0,3
0,L 5-6 @CIN,0,5,0,3
0,W 4-2 @CIN,0,4,0,2
1,W 17-3 @TOR,0,5,0,3
0,W 13-7 vs ATL,0,5,0,3
