Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Josh Reddick,Paw,28,123,21,43,10,0,8,23,2,2,4,12,0.35,0.37,0.626,0.996
Luis Exposito,Por,23,86,12,22,10,0,3,19,0,0,12,14,0.256,0.354,0.477,0.83
Alex Hassan,Sal,26,91,10,30,9,0,3,12,2,0,15,14,0.33,0.432,0.527,0.96
Chih-Hsien Chiang,Por,24,90,14,29,9,0,4,13,1,0,7,17,0.322,0.378,0.556,0.933
Reynaldo Rodriguez,Gre,25,89,18,31,8,0,7,29,5,3,12,18,0.348,0.449,0.674,1.123
Anthony Rizzo,Por,27,106,19,29,8,0,7,32,2,0,15,24,0.274,0.361,0.547,0.908
Trygg Danforth,GCL,21,78,10,23,8,0,2,8,1,0,9,18,0.295,0.371,0.474,0.845
Lars Anderson,Paw,29,105,13,32,8,1,2,15,1,0,11,27,0.305,0.37,0.457,0.827
Jeremy Hazelbaker,Gre,26,97,18,26,8,1,3,14,14,4,12,27,0.268,0.363,0.464,0.827
Yamaico Navarro,PawPor,17,59,11,19,7,0,3,9,2,1,5,6,0.322,0.369,0.593,0.962
Jason Thompson,GCL,20,69,8,20,7,1,3,9,6,1,13,21,0.29,0.41,0.551,0.96
Nate Spears,Por,28,112,25,30,7,1,7,26,3,0,13,25,0.268,0.341,0.536,0.877
Jose Garcia,Low,21,80,10,18,7,0,1,7,3,1,4,22,0.225,0.259,0.35,0.609
Miles Head,Low,26,89,4,17,7,0,0,11,0,0,12,18,0.191,0.29,0.27,0.559
Kolbrin Vitek,GreLow,22,80,15,23,6,1,3,15,5,1,6,27,0.288,0.352,0.5,0.852
Daniel Butler,Sal,19,61,7,16,6,0,1,10,0,0,16,12,0.262,0.423,0.41,0.833
Che-Hsuan Lin,Por,19,78,20,24,6,0,0,3,6,3,13,7,0.308,0.413,0.385,0.798
Reymond Fuentes,Gre,24,87,11,27,6,0,1,11,13,3,10,18,0.31,0.378,0.414,0.791
Jack Hannahan,Paw,24,81,9,20,6,0,3,9,2,0,11,18,0.247,0.344,0.432,0.776
Josue Peley,Low,17,63,6,18,6,3,0,6,2,0,0,6,0.286,0.292,0.476,0.768
Tim Federowicz,Sal,12,44,6,12,6,0,0,9,0,0,5,11,0.273,0.34,0.409,0.749
Javier Gutierrez,DSL,17,64,10,16,6,0,0,4,2,0,8,12,0.25,0.351,0.344,0.695
Jorge Padron,Por,27,104,6,29,6,0,0,12,1,0,4,14,0.279,0.306,0.337,0.643
Ryan Lavarnway,Por,23,78,11,21,5,0,6,11,0,0,16,15,0.269,0.396,0.564,0.96
Luke Yoder,GCL,22,84,21,22,5,4,3,7,7,1,11,24,0.262,0.354,0.524,0.878
