Player,SLG,GIDP
J Hoying,.327,0
C Rivera,.504,7
E Clemente,.437,0
Z Walters,.336,3
P Lopez,.000,0
N Ortiz,.407,2
D Thon,.174,0
J Silva,.714,0
M Negron,.000,0
J Castro,.231,0
E Quiles,.357,2
L Matos,.343,4
D Gonzalez,.346,1
E Maysonet,.308,2
M Bianucci,.351,0
J Morales,.357,1
J Dominguez,.385,3
R Gotay,.403,6
M Abreu,.252,5
J Rodriguez,.382,0
R Perez,.322,2
K Blanks,.529,1
C Vazquez,.583,0
L Montanez,.321,0
C Colon,.386,1
R Lopez,.333,0
J Ruiz,.365,2
M Perez,.615,0
J Garcia,.214,1
R Ruiz,.416,5
H Velazquez,.235,2
J Lozada,.218,1
M Maldonado,.388,6
J Ortiz,.370,3
B De La Rosa,.118,1
J Feliciano,.349,4
I De Jesus,.503,7
I Falu,.458,3
C Garcia,.184,0
Y Rivera,.429,0
R Navarro,.439,2
K Vargas,.333,4
A Sanchez,.390,2
Y Molina,.365,5
F Molina,.222,1
O Mercado,.289,1
B Gonzalez,.212,0
A Garcia,.433,4
E Baez,.372,6
C Corporan,.466,1
A Morales,.288,1
E Hernandez,.469,4
J Fernandez,.167,0
J Monell,.552,3
Y Arbelo,.372,2
Z Zaneski,.340,1
J Bour,.404,0
J Diaz,.333,0
J Jimenez,.370,3
G Roa,.083,1
L Murton,.333,2
W Ortiz,.371,3
C Vaughn,.407,0
O Martinez,.366,4
C Correa,.245,1
S Miranda,.336,6
