H,CS,Player,AB
34,1,R Noris,136
18,1,M Delaney,101
8,0,B Webb,43
4,0,J Valdespin,23
12,1,L Escobar,53
8,0,D Garcia,36
7,0,C Holliday,40
32,2,G Mambell,144
43,2,K Mahoney,190
23,0,Y Rodriguez,84
18,1,L Marchena,68
49,0,A Odreman,195
18,0,H Perez,81
5,0,Y Gomes,14
23,8,M De La Cruz,112
28,0,K Vargas,109
12,0,D Hissey,53
1,0,O Tovar,4
49,1,D Anderson,181
2,0,M Ohlman,11
12,0,W Lin,33
34,1,F Martinez,153
32,0,O Dominguez,142
12,2,J Nunez,62
41,0,N Zaleski,147
0,0,F Perez,3
4,0,C Smith,44
38,9,G Ngoepe,160
19,0,G Pena,99
10,0,Y Gonzalez,48
3,0,J Sladek,16
11,0,G Ortiz,66
10,1,S Grimes,41
35,1,T Dayleg,130
5,1,K Wilson,25
1,0,Z Heathcott,10
8,0,S Guerrero,40
10,0,C Vazquez,36
31,2,A Nieto,136
29,1,E Soto,149
1,1,J Del Campo,15
54,1,L Hiller,197
15,0,D Vicioso,52
16,1,I Kang,81
41,4,C Hinojosa,127
4,1,R Garcia,26
6,0,C Kelly,28
33,2,K Teran,86
3,0,D Stewart,19
44,2,J Cruz,166
1,0,M Brady,29
36,6,J Garcia,168
24,3,C Lovett,104
3,0,M Weaver,22
35,4,H Pace,163
6,0,E Mejia,28
0,0,J Thompson,0
8,0,M Pimentel,26
36,0,L Bryan,106
35,2,G Gonzalez,155
19,2,M Alvarez,73
28,2,J Babrick,137
26,4,A Montilla,127
61,2,E Hernandez,207
37,7,E Cintron,161
54,1,K De Leon,201
36,5,J Sierra,107
27,0,K Hinze,103
39,4,K Roque,123
25,2,M McConnell,102
16,0,M Kramer,63
5,0,B Anderson,16
33,4,E Sosa,165
29,1,Y Tejeda,118
4,0,A Buchholz,16
39,1,L Castillo,178
21,2,R Ramos,83
13,1,A Segovia,69
9,0,F Hanvi,52
22,3,D Phillips,91
6,0,W Alvino,34
3,0,C Paulino,9
4,1,N Simon,17
7,1,D Peters,86
24,0,F Arcia,97
2,0,L Montanez,6
18,0,C Greene,63
35,1,E King,138
15,0,X Lopez,72
1,0,C Dunn,3
2,1,R Martinez,23
6,0,W Ramos,19
14,0,J Hage,45
26,1,B Bistagne,114
34,0,J Rodriguez,97
2,0,R Bonfante,3
3,0,J Cabrera,18
11,0,J Polanco,57
26,1,A Diaz,145
37,1,R Cabrera,127
36,2,J Hanson,129
5,1,J Nivar,49
24,1,F De Los Santos,105
8,0,R Nanita,28
16,0,A Sanchez,65
14,6,L Castillo,78
1,0,D Young,6
26,1,M Hejma,96
2,0,E Gomez,7
29,1,A Diaz,119
1,0,M Nunez,3
8,1,C Reyes,52
3,0,J Lopez,11
14,0,D Washington,85
39,2,D Medina,144
26,1,C Blair,124
6,0,T Hickman,22
4,0,A Acevedo,23
1,1,J Benson,5
1,0,F Cervelli,6
2,0,S King,4
10,1,J Torres,29
12,1,G Gonzalez,75
34,3,B Hamilton,166
10,0,T Barnhart,48
0,0,N Bidois,7
49,6,M Ciriaco,188
8,0,W Infante,25
16,0,L Grullon,60
1,0,R Goins,9
23,1,J Murphy,88
67,2,M Ozuna,214
45,1,D Santana,170
40,4,K Rose,142
17,0,D Perez,72
1,0,M Kiger,16
33,0,J Roberts,137
54,3,H Jimenez,162
2,0,J Perry,6
19,1,D Hernandez,94
12,1,K Steinhauer,45
5,0,F Bynum,13
12,0,F Parra,37
37,2,A Feliz,142
2,0,R Pena,11
12,2,A Romero,48
15,1,A Valdez,54
25,0,J Morales,110
7,0,J Sallis,45
4,0,J Milo,15
29,1,E Gomez,153
7,0,J Guerra,45
28,1,D Rivera,142
33,0,C Bethancourt,116
34,4,F Sanchez,138
22,2,J Golsan,98
22,1,N Lockwood,88
26,2,J Villar,94
5,1,R Doran,37
1,0,R Bernadina,4
19,1,A Rivero,85
28,1,G Suniaga,145
55,2,B Newsome,168
34,4,R Peralta,167
1,0,C Wade,5
5,1,D Brown,10
40,4,J Melenciano,158
29,1,J Mosquera,125
37,3,R De La Cruz,165
11,0,J Murphy,33
14,0,C Wine,74
7,0,N Wilson,24
22,2,B Anderson,102
24,1,J Rodriguez,121
7,0,I Ochoa,16
14,1,L Taylor,101
16,0,J Vargas,69
5,0,A Machado,9
5,0,Y Solarte,28
6,0,E Thames,21
3,0,J Dunn,30
5,0,D Freese,11
3,0,M Head,29
0,0,J Cipriota,4
10,1,M Tejada,71
8,3,A Jacobo,60
0,0,S Marte,7
11,0,M Mitchell,52
44,1,T Stampone,141
45,5,G Pierre,174
17,0,T Simas,89
50,1,B Weaver,186
4,0,A Markel,16
1,0,J Owings,6
0,0,K Breault,7
29,1,W Gimenez,104
31,2,E Rush,110
20,2,H Henry,91
3,0,M Grudzielanek,9
33,4,W Freeman,157
12,0,C Solis,53
42,5,R Fuentes,145
4,0,M Rabelo,28
29,2,H Gomez,142
31,5,R Flores,158
31,2,T Nash,142
29,1,R Sanchez,138
27,4,M Cooper,140
6,0,D Perio,14
19,2,Y Aponte,94
23,0,C Tang,75
5,0,J Whitmer,32
41,5,M Crouse,188
10,1,D Lutz,59
6,0,W Torres,55
