Degree Type,Gender,Asian / Pac Isl,Black,Filipino,Latino,Native American,Other,White,Non Res Alien,No Response,Total
Bachelor's Degrees,Men,2,0,0,0,0,0,1,0,0,3
Master's Degrees,Men,0,0,0,0,0,0,1,0,0,1
Doctorates,Men,0,1,0,0,0,0,1,2,1,5
 ,Women,0,0,0,0,0,0,3,1,0,4
Bachelor's Degrees,Men,1,0,0,1,0,0,0,0,1,3
 ,Women,0,1,0,2,0,0,3,1,0,7
Bachelor's Degrees,Men,0,0,0,0,0,0,1,0,1,2
 ,Women,0,0,0,0,0,0,2,0,0,2
Bachelor's Degrees,Men,2,2,0,1,0,0,3,0,0,8
 ,Women,3,0,0,2,0,0,9,0,2,16
Bachelor's Degrees,Women,1,0,0,0,0,0,6,0,0,7
Master's Degrees,Men,0,0,0,0,0,0,1,0,0,1
Doctorates,Men,2,1,0,2,0,0,5,1,0,11
 ,Women,1,0,0,0,0,0,6,0,1,8
Bachelor's Degrees,Men,8,1,0,1,0,0,12,0,0,22
 ,Women,19,5,0,8,1,0,20,1,1,55
Master's Degrees,Women,0,0,0,0,0,0,0,1,0,1
Doctorates,Men,0,0,0,0,0,0,1,2,2,5
 ,Women,0,0,0,0,0,0,0,2,1,3
 , ,39,11,0,17,1,0,75,11,10,164
