Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 24,vs. Brandeis,"W, 11-7",-,-,-,-,-,-,-,-,-,-,-
Feb 24,vs. Brandeis,"L, 14-6",0,0,0,-,-,-,0,-,-,-,-
Feb 25,vs. Rose-Hulman,"L, 6-4",0,0,0,-,-,-,0,-,-,-,-
Feb 26,vs. Wartburg,"L, 8-5",-,-,-,-,-,-,-,-,-,-,-
Feb 26,vs. Franklin,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
Feb 27,vs. Hanover,"W, 9-6",-,-,-,-,-,-,-,-,-,-,-
Mar 2,Keene St.,"W, 7-2",-,-,-,-,-,-,-,-,-,-,-
Mar 3,Western New England,"W, 2-0",-,-,-,-,-,-,-,-,-,-,-
Mar 4,Rensselaer,"W, 2-1",-,-,-,-,-,-,-,-,-,-,-
Mar 10,Southern Maine,"L, 8-4",0,0,0,-,-,-,0,-,-,-,-
Mar 11,Southern Maine,"L, 7-6",-,-,-,-,-,-,-,-,-,-,-
Mar 23,Yeshiva,"W, 11-0",0,0,0,-,-,-,1,1,-,-,-
Mar 23,Yeshiva,"W, 10-0",2,0,0,-,-,-,0,-,-,-,-
Mar 23,Stevens,"W, 4-3",0,0,0,-,-,-,0,1,-,-,-
Mar 24,at NYU-Poly,"W, 20-5",5,2,1,-,-,-,0,-,1,-,-
Mar 24,at NYU-Poly,"W, 8-3",4,1,2,-,-,-,0,-,-,-,-
Mar 25,Maritime,"W, 5-4",0,0,0,-,-,-,0,-,-,-,-
Mar 25,Maritime,"W, 10-0",0,0,0,-,-,-,0,-,-,-,-
Mar 27,at Oneonta St.,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 27,at Oneonta St.,"L, 13-1",3,0,0,-,-,-,0,-,-,-,-
Mar 29,at Stevens,"L, 12-3",1,0,0,-,-,-,0,1,1,-,-
Mar 31,Old Westbury,"W, 6-3",-,-,-,-,-,-,-,-,-,-,-
Mar 31,Old Westbury,"L, 9-0",2,0,1,-,-,-,0,-,1,-,-
Apr 1,at Purchase,"W, 6-5",-,-,-,-,-,-,-,-,-,-,-
Apr 1,at Purchase,"W, 7-0",-,-,-,-,-,-,-,-,-,-,-
Apr 3,at Briarcliffe,"W, 9-5",-,-,-,-,-,-,-,-,-,-,-
Apr 9,Lehman,"W, 26-2",3,1,2,1,-,-,4,-,-,-,-
Apr 14,at Mount Saint Mary,"W, 5-0",-,-,-,-,-,-,-,-,-,-,-
Apr 14,at Mount Saint Mary,"W, 12-1",-,-,-,-,-,-,-,-,-,-,-
Apr 15,at Mount Saint Vincent,"W, 12-6",0,0,0,-,-,-,0,-,-,-,-
Apr 15,at Mount Saint Vincent,"W, 10-5",2,1,1,-,1,-,0,-,-,-,-
Apr 21,St. Joseph's,"W, 4-2",-,-,-,-,-,-,-,-,-,-,-
Apr 21,St. Joseph's,"W, 6-5",-,-,-,-,-,-,-,-,-,-,-
Apr 24,Baruch,"W, 14-8",-,-,-,-,-,-,-,-,-,-,-
Apr 27,Mount Saint Mary,"W, 9-0",0,0,0,-,-,-,0,-,-,-,-
Apr 28,at Old Westbury,"W, 17-6",1,0,0,-,-,-,0,-,1,-,-
Apr 29,Old Westbury,"W, 7-6",-,-,-,-,-,-,-,-,-,-,-
May 5,Baruch,"W, 14-9",0,0,0,-,-,-,0,-,-,-,-
May 11,Kean,"L, 12-3",-,-,-,-,-,-,-,-,-,-,-
May 16,Skidmore,"W, 10-2",-,-,-,-,-,-,-,-,-,-,-
May 17,at Ithaca,"W, 2-0",-,-,-,-,-,-,-,-,-,-,-
May 18,at Cortland State,"L, 4-2",-,-,-,-,-,-,-,-,-,-,-
May 18,Ithaca,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
May 19,vs. Cortland State,"L, 2-1",-,-,-,-,-,-,-,-,-,-,-
