DRB,FTM,#,RPG,ORB,3PA
6.2,2.9,26,8.8,2.5,0.4
5.4,1.7,52,7.8,2.5,1.7
1.9,1.8,89,2.6,0.7,1.6
2.0,0.8,48,3.3,1.3,4.0
1.3,1.5,77,1.6,0.4,1.3
3.5,2.2,40,5.6,2.1,0.0
2.8,2.0,66,3.7,0.8,1.7
3.1,3.3,8,5.8,2.8,3.9
3.2,1.6,57,6.2,3.1,0.0
1.3,1.6,94,1.7,0.4,1.2
2.3,3.6,29,3.1,0.8,3.4
2.1,0.9,64,3.3,1.1,4.8
1.7,0.9,98,2.9,1.2,0.0
3.1,1.5,92,5.0,1.9,0.4
2.9,1.5,37,4.1,1.2,4.5
2.5,1.0,70,3.8,1.3,3.0
2.2,1.7,43,3.1,0.9,2.7
4.1,2.2,33,6.7,2.7,0.0
4.1,0.4,86,7.0,2.9,0.0
3.9,3.1,3,4.6,0.7,6.7
1.4,0.7,90,1.7,0.3,2.6
4.9,4.1,11,7.1,2.2,3.7
2.3,3.1,9,2.7,0.3,5.7
5.1,2.0,58,7.2,2.1,1.6
3.5,1.6,81,4.4,0.9,1.2
2.8,2.0,34,4.2,1.4,0.0
3.3,2.8,41,3.5,0.3,5.3
0.9,2.3,28,1.4,0.4,4.1
2.7,4.4,13,3.7,1.0,5.1
1.7,2.0,18,1.9,0.2,6.4
2.9,1.9,68,5.0,2.2,0.5
1.1,1.5,71,1.7,0.5,2.8
3.0,1.2,85,5.1,2.1,0.0
3.9,2.2,39,5.2,1.4,3.6
2.6,3.4,2,2.8,0.3,6.8
3.6,1.6,63,4.7,1.1,2.8
1.8,1.6,99,2.4,0.6,1.1
1.5,4.5,6,1.9,0.4,4.5
1.6,0.9,91,1.9,0.3,3.0
1.2,0.7,65,1.2,0.0,4.8
2.9,1.9,16,3.6,0.7,6.3
2.8,1.6,60,5.0,2.2,0.1
4.1,2.2,36,5.6,1.5,2.7
3.1,0.6,96,4.2,1.2,2.7
2.4,1.3,79,3.1,0.7,2.7
2.0,3.7,24,2.6,0.6,2.8
3.2,1.3,78,4.8,1.6,0.8
4.7,2.9,10,8.1,3.4,0.2
5.2,2.0,44,6.8,1.5,0.1
2.5,0.5,23,3.1,0.6,8.6
3.4,3.2,27,5.5,2.1,1.6
2.1,1.4,93,2.8,0.8,1.1
3.6,0.9,97,4.9,1.3,0.1
3.4,0.9,72,4.6,1.2,3.0
1.4,1.9,61,1.7,0.3,3.4
5.3,4.2,15,7.7,2.4,0.5
1.9,0.4,100,2.4,0.6,2.4
2.8,0.7,74,3.3,0.5,1.9
