Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Dan Butler,Paw,132,11,29,7,0,7,16,0,1,16,26,0.22,0.316,0.432,0.748
Brandon Jacobs,PorSal,161,21,37,10,1,7,14,2,2,13,47,0.23,0.302,0.435,0.736
Travis Shaw,Por,229,20,45,5,2,7,17,2,2,38,68,0.197,0.316,0.328,0.643
Bryce Brentz,PawGCL,130,12,37,6,0,6,17,1,0,8,32,0.285,0.336,0.469,0.805
Mookie Betts,SalGre,232,33,57,12,1,6,18,18,3,48,35,0.246,0.376,0.384,0.76
Will Middlebrooks,Paw,122,14,28,2,0,6,16,1,0,9,29,0.23,0.282,0.393,0.676
Jeremy Hazelbaker,Paw,196,16,47,6,0,6,20,10,5,11,58,0.24,0.278,0.362,0.64
David Chester,SalGre,242,17,48,8,0,6,25,0,0,27,75,0.198,0.287,0.306,0.593
Keury De La Cruz,Sal,241,19,59,11,2,5,29,1,5,11,54,0.245,0.277,0.369,0.647
Michael Almanzar,Por,252,23,56,15,1,5,27,8,1,16,55,0.222,0.272,0.349,0.621
Aneury Tavarez,Gre,286,25,69,8,2,5,22,18,11,10,84,0.241,0.272,0.336,0.608
Xander Bogaerts,PawPor,208,17,67,13,1,4,29,2,3,26,40,0.322,0.403,0.452,0.855
Mark Hamilton,PawGCL,126,14,28,6,0,4,14,0,0,21,42,0.222,0.336,0.365,0.701
Mario Martinez,Gre,166,13,35,7,0,4,14,0,0,11,46,0.211,0.267,0.325,0.592
Henry Ramos,Sal,216,20,42,8,0,4,11,3,4,21,46,0.194,0.267,0.287,0.554
Garin Cecchini,PorSal,252,23,75,15,4,3,25,5,6,43,50,0.298,0.406,0.425,0.831
Alex Hassan,PawGre,109,11,31,5,0,3,15,0,0,22,31,0.284,0.405,0.413,0.817
J.C. Linares,PawPor,163,13,45,15,0,3,18,0,0,10,32,0.276,0.333,0.423,0.757
Kevin Mager,GreLow,146,16,35,9,0,3,17,0,0,16,41,0.24,0.321,0.363,0.684
Jackie Bradley Jr.,Paw,111,11,25,5,0,3,9,3,5,15,24,0.225,0.328,0.351,0.679
Sean Coyle,3 Teams,118,18,20,2,1,3,8,10,2,13,44,0.169,0.256,0.28,0.535
Jake Romanski,Low,35,6,11,1,0,2,2,0,0,1,8,0.314,0.368,0.514,0.883
Stefan Welch,Sal,99,7,25,6,0,2,14,2,0,17,28,0.253,0.378,0.374,0.752
Tim Roberson,SalGre,154,12,42,5,1,2,19,0,0,8,36,0.273,0.307,0.357,0.664
Matthew Gedman,Sal,74,3,15,2,0,2,3,1,0,4,13,0.203,0.244,0.311,0.554
