Rk,ASG,To,Yrs,From
31.0,0,1964,1,1964
20.0,0,1964,1,1964
10.0,0,1989,1,1989
32.0,1,1998,15,1984
24.0,0,1984,3,1982
17.0,0,2000,3,1997
7.0,0,1985,9,1977
26.0,0,2004,1,2004
11.0,0,2006,5,2001
23.0,0,1993,2,1992
2.0,0,1986,1,1986
33.0,0,2008,2,2001
29.0,0,2015,2,2014
21.0,0,1998,3,1995
16.0,0,2015,10,2006
27.0,0,1996,8,1984
41.0,0,1987,7,1981
40.0,0,1968,1,1968
12.0,0,2012,1,2012
19.0,0,2004,14,1991
43.0,0,1968,2,1967
9.0,0,1933,2,1931
4.0,0,1945,11,1934
42.0,0,2013,1,2013
18.0,0,1993,11,1983
47.0,0,1965,5,1959
