MP,USG%,AST%,TOV%,Age,Opp,ORB%,STL%,Date
17:00,9.6,0.0,0.0,33-056,LAL,6.7,2.9,1995-03-01
9:00,19.9,0.0,0.0,32-338,NJN,29.6,0.0,1994-12-08
3:00,14.4,0.0,0.0,33-086,MIN,0.0,0.0,1995-03-31
10:00,9.0,0.0,0.0,33-023,PHI,0.0,0.0,1995-01-27
14:00,12.3,0.0,0.0,33-030,CHI,0.0,0.0,1995-02-03
12:00,21.5,0.0,50.0,32-315,POR,0.0,7.7,1994-11-15
13:00,24.7,0.0,0.0,33-018,ORL,0.0,0.0,1995-01-22
8:00,11.8,0.0,0.0,33-058,SEA,16.6,0.0,1995-03-03
4:00,0.0,0.0, ,33-088,SAS,29.3,0.0,1995-04-02
11:00,24.4,0.0,17.0,33-013,DEN,23.0,0.0,1995-01-17
17:00,18.7,0.0,28.6,33-035,UTA,15.3,5.7,1995-02-08
16:00,14.2,21.4,20.0,32-321,UTA,20.5,0.0,1994-11-21
16:00,2.9,7.5,0.0,32-309,ATL,10.7,0.0,1994-11-09
4:00,0.0,0.0, ,32-344,SEA,0.0,0.0,1994-12-14
24:00,12.6,0.0,0.0,32-323,LAC,12.1,0.0,1994-11-23
25:00,8.4,0.0,0.0,32-304,SAC,8.0,2.0,1994-11-04
14:00,14.5,8.8,20.0,33-048,BOS,17.1,0.0,1995-02-21
14:00,14.2,0.0,40.0,32-312,LAC,0.0,0.0,1994-11-12
9:00,4.7,0.0,0.0,33-074,MIA,0.0,5.6,1995-03-19
2:00,0.0,0.0, ,32-347,SAC,0.0,0.0,1994-12-17
17:00,9.2,6.9,0.0,32-311,SEA,6.9,0.0,1994-11-11
2:00,0.0,0.0, ,33-085,SAC,0.0,0.0,1995-03-30
16:00,14.1,0.0,20.0,33-049,SAS,6.5,0.0,1995-02-22
15:00,14.0,7.7,20.0,32-329,MIL,10.3,0.0,1994-11-29
12:00,13.4,0.0,25.0,33-032,HOU,8.5,0.0,1995-02-05
6:00,14.2,0.0,0.0,33-060,GSW,0.0,0.0,1995-03-05
14:00,15.1,0.0,0.0,32-326,SAS,0.0,0.0,1994-11-26
8:00,15.3,0.0,0.0,32-332,BOS,14.0,0.0,1994-12-02
21:00,7.8,25.4,0.0,32-346,NYK,4.8,2.3,1994-12-16
26:00,11.1,11.0,0.0,33-101,LAL,7.9,0.0,1995-04-15
16:00,12.9,7.0,0.0,33-007,LAL,15.4,3.0,1995-01-11
21:00,17.8,6.1,22.2,33-044,GSW,15.1,0.0,1995-02-17
7:00,12.4,27.1,0.0,32-340,MIN,15.2,0.0,1994-12-10
15:00,17.5,13.6,14.5,33-010,LAC,20.0,3.0,1995-01-14
11:00,7.7,10.6,50.0,33-090,GSW,9.9,0.0,1995-04-04
15:00,10.8,8.1,25.8,33-092,WSB,0.0,6.3,1995-04-06
19:00,20.4,7.5,0.0,32-318,POR,7.0,0.0,1994-11-18
23:00,10.9,14.1,16.7,32-316,MIN,0.0,0.0,1994-11-16
2:00,0.0,0.0, ,33-008,CLE,0.0,0.0,1995-01-12
