RBI,SO,SLG,CS,PA,SB,BB
178,352,0.446,4.0,1316,14,78
1,1,0.182,0.0,11,0,0
110,122,0.323,8.0,1032,6,60
0,2,0.0,0.0,3,0,0
48,204,0.177,0.0,658,0,13
4,51,0.14,0.0,128,0,10
379,531,0.404,19.0,3563,23,387
0,6,0.25,0.0,20,0,0
1,14,0.226,0.0,32,0,1
388,496,0.37,43.0,3845,97,355
16,157,0.203,0.0,419,0,18
149,133,0.352,10.0,1497,36,95
380,316,0.39,18.0,3287,44,308
0,0,0.0,0.0,1,0,0
0,0, ,0.0,0,0,0
19,171,0.148,5.0,604,5,38
93,140,0.396,2.0,684,4,64
57,128,0.303,11.0,736,15,58
105,219,0.387,6.0,1100,19,94
3135,5328,0.373,166.0,29900,337,2295
