Name,Rbat,Tm,oRAR,waaWL%
Jimmy Ring,-10,PHI,-3,.491
Johnny Gooch#,-8,2TM,0,.490
John O'Connell,-0,PIT,-0,.472
Flint Rhem,-10,STL,-3,.490
Curt Walker*,2,CIN,13,.501
Joe Price,-0,NYG,-0,.466
Johnny Miljus,-1,PIT,2,.508
Jimmie Wilson,-14,2TM,7,.494
Fred Brickell*,3,PIT,7,.501
Syl Johnson,-5,STL,-1,.497
Eddie Moore,-11,BSN,-5,.484
Wally Pipp*,-4,CIN,2,.492
Pete Appleton,-0,CIN,3,.511
Butch Henline,-8,BRO,-2,.488
Charlie Hargreaves,-17,2TM,-3,.485
Carl Hubbell,-9,NYG,-4,.481
Chick Hafey,37,STL,49,.524
Walt Lerian,-0,PHI,11,.505
Ernie Orsatti*,4,STL,5,.511
High Pockets Kelly,2,CIN,10,.501
Howard Freigau,-6,2TM,1,.489
Mel Ott*,25,NYG,35,.519
Pat Veltman,1,NYG,1,.573
Jack Cummings,3,NYG,4,.508
Marty Walker*,0,PHI,0,.500
George Grantham*,20,PIT,30,.512
Ben Cantwell,-4,2TM,-0,.498
Kent Greenfield,-10,BSN,-6,.482
Overton Tremper,-3,BRO,-2,.465
Freddie Fitzsimmons,-11,NYG,0,.501
Claude Willoughby,-6,PHI,-1,.496
Cliff Heathcote*,1,CHC,4,.498
Al Lopez,-3,BRO,-3,.385
Ed Baecht,-1,PHI,-0,.494
Ethan Allen,-3,CIN,10,.493
Foster Edwards,-3,BSN,-1,.494
Jimmy Welsh*,4,NYG,17,.504
June Greene*,2,PHI,3,.523
Sheriff Blake#,-11,CHC,-0,.499
Ray Foley*,-0,NYG,0,.500
Heinie Mueller*,-8,BSN,-4,.481
Pepper Martin,-0,STL,0,.497
Rogers Hornsby,80,BSN,103,.550
Charlie Root,-10,CHC,-1,.497
Doc Gautreau,1,BSN,1,.503
Bernie Friberg,-8,PHI,-3,.482
Clarence Mitchell*,-12,2TM,-5,.480
Travis Jackson,0,NYG,29,.523
Jake Flowers,-2,BRO,13,.497
Johnny Cooney,-5,BSN,-0,.497
Garland Buckeye#,0,NYG,1,.566
Jesse Petty,-17,BRO,-7,.482
Billy Zitzmann,-4,CIN,3,.491
Jim Faulkner#,-4,NYG,1,.502
Rube Bressler,17,BRO,29,.508
Johnny Wertz,-0,BSN,0,.502
Eppa Rixey,-14,CIN,-2,.495
Dave Bancroft#,-22,BRO,6,.495
Johnny Moore*,-1,CHC,-1,.472
Wally Roettger,9,STL,14,.511
Bill Windle*,1,PIT,1,.570
Jack Smith*,-5,BSN,1,.491
Charlie Robertson*,-4,BSN,-1,.490
Joe Kelly*,-4,CHC,-3,.485
Tiny Chaplin,-1,NYG,-1,.493
Art Delaney,-10,BSN,-3,.492
Kiki Cuyler,11,CHC,28,.510
Max Carey#,-9,BRO,1,.490
Jigger Statz,-10,BRO,-5,.481
Dazzy Vance,-10,BRO,2,.504
