Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Mike Miller,Gre,15,2,8,3,0,0,0,0,0,2,1,0.533,0.588,0.733,1.322
David Ortiz,Paw,8,3,3,0,0,1,4,0,0,0,0,0.375,0.375,0.75,1.125
Stephen Drew,Por,7,1,2,1,0,1,2,0,0,0,2,0.286,0.25,0.857,1.107
Stefan Welch,Sal,93,14,35,8,0,3,19,2,0,11,24,0.376,0.464,0.559,1.023
Bryan Hudson,GCL,49,7,21,5,0,0,8,3,0,7,10,0.429,0.491,0.531,1.022
Christian Vazquez,PawPor,113,22,39,8,0,5,24,5,2,24,14,0.345,0.464,0.549,1.013
Zach Kapstein,Low,3,0,1,1,0,0,1,0,0,0,0,0.333,0.333,0.667,1.0
Garin Cecchini,PorSal,153,29,53,11,2,3,16,9,5,31,30,0.346,0.466,0.503,0.969
Xander Bogaerts,PawPor,141,24,46,5,4,5,27,0,1,26,29,0.326,0.441,0.525,0.966
Mark Hamilton,PawGCL,112,27,33,11,0,5,26,1,0,20,33,0.295,0.4,0.527,0.927
Kevin Mager,GreLow,95,17,28,10,1,2,17,3,0,20,20,0.295,0.427,0.484,0.912
Brandon Snyder,Paw,79,15,23,7,0,4,10,2,1,7,14,0.291,0.378,0.532,0.909
Kendrick Perkins,GreLow,84,13,26,11,1,2,11,3,3,7,24,0.31,0.37,0.536,0.905
Bryce Brentz,PawGCL,126,12,40,8,0,7,22,0,0,3,34,0.317,0.344,0.548,0.891
Aneudis Peralta,GCL,59,11,22,6,0,0,11,0,1,5,9,0.373,0.415,0.475,0.89
Mookie Betts,SalGre,152,24,43,11,3,5,25,11,1,26,19,0.283,0.391,0.493,0.884
Alberto Rosario,PawPor,49,12,15,3,0,2,4,0,0,5,10,0.306,0.386,0.49,0.876
David Chester,SalGre,157,18,45,13,0,6,21,1,0,20,37,0.287,0.385,0.484,0.869
Carson Blair,SalLow,48,7,13,4,0,2,6,1,1,8,15,0.271,0.379,0.479,0.858
Peter Hissey,Por,81,18,24,6,2,2,10,6,1,8,12,0.296,0.363,0.494,0.856
Will Middlebrooks,Paw,58,7,16,2,0,4,13,0,0,5,12,0.276,0.333,0.517,0.851
Mitch Maier,Paw,36,8,11,4,0,0,6,1,1,8,12,0.306,0.432,0.417,0.848
Alex Hassan,PawGre,68,10,20,4,0,1,10,0,0,19,21,0.294,0.449,0.397,0.846
Sean Coyle,3 Teams,61,9,16,3,0,3,8,3,0,10,15,0.262,0.361,0.459,0.82
Brandon Jacobs,PorSal,112,17,29,8,0,6,16,2,1,10,34,0.259,0.325,0.491,0.816
