Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
Abdul Razzaq,2003-2012,126,116,379.3,3,2898,128,4/13,22.64,7.63,17.7,2,0,17,0
Imran Nazir,2005-2012,72,3,1.2,0,3,3,1/0,1.00,2.25,2.6,0,0,26,0
Kamran Akmal,2005-2012,97,-,-,-,-,-,-,-,-,-,-,-,54,54
Mohammad Hafeez,2005-2012,87,79,253.2,2,1609,75,4/10,21.45,6.35,20.2,1,0,34,0
Nasir Jamshed,2005-2012,46,-,-,-,-,-,-,-,-,-,-,-,16,0
Raza Hasan,2010-2012,21,21,83.1,0,512,39,4/21,13.12,6.15,12.7,2,0,8,0
Saeed Ajmal,2005-2012,94,93,340.5,7,2161,134,4/14,16.12,6.34,15.2,5,0,15,0
Shoaib Malik,2005-2012,97,61,160.2,1,1172,53,5/13,22.11,7.30,18.1,0,2,52,0
Sohail Tanvir,2005-2012,92,90,306.2,2,2203,102,6/14,21.59,7.19,18.0,3,1,28,0
Umar Akmal,2008-2012,65,1,4.0,0,36,1,1/36,36.00,9.00,24.0,0,0,43,2
Umar Gul,2005-2012,90,90,324.0,8,2312,131,5/6,17.64,7.13,14.8,6,1,27,0
