Player,G,Min,FG%,FT%,3P%,OR,Reb,A,Stl,Blk,TO,PF,Pts
Maya Moore,18,33.3,.420,.816,.382,2.1,7.4,3.7,2.0,0.8,2.11,2.8,21.1
Seimone Augustus,13,31.7,.475,1.000,.125,0.5,2.8,2.8,0.7,0.4,1.38,1.1,15.4
Lindsay Whalen,17,29.8,.476,.889,.444,0.5,2.8,4.2,0.5,0.1,2.35,2.0,12.6
Sylvia Fowles,2,24.5,.563,.556,-,2.0,6.5,1.0,2.0,1.0,3.0,3.0,11.5
Rebekkah Brunson,18,30.0,.474,.846,.250,2.8,9.0,1.6,1.6,1.2,1.78,2.1,9.5
Anna Cruz,7,26.7,.488,.750,.333,0.9,5.1,3.0,1.3,0.1,2.29,1.4,7.3
Asjha Jones,16,19.9,.495,.625,.000,1.0,3.1,1.9,0.6,0.7,1.44,2.7,7.3
Renee Montgomery,20,18.0,.372,.840,.362,0.2,1.6,3.2,1.0,0.2,1.8,2.0,6.6
Tricia Liston,16,13.1,.348,1.000,.359,0.1,1.1,0.7,0.3,0.1,0.13,0.8,3.2
Devereaux Peters,18,14.3,.480,.857,.500,0.8,3.7,0.9,0.4,1.1,0.94,1.1,3.1
Jennifer O'Neill,13,7.8,.348,1.000,.556,0.2,1.1,0.8,0.2,0.1,0.69,0.7,2.2
Shae Kelley,1,4.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Totals,18,-,.455,.827,.352,8.8,35.9,18.5,7.1,4.9,12.9,16.0,78.4
