Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Shannon Wilkerson,Por,161,30,41,5,5,0,33,6,4,27,42,0.255,0.357,0.348,0.705
Aneury Tavarez,Gre,236,28,57,13,5,4,52,10,4,13,72,0.242,0.286,0.39,0.676
Garin Cecchini,PorSal,219,44,69,15,4,3,57,8,3,48,40,0.315,0.443,0.461,0.904
Ryan Dent,PawPor,96,18,30,4,0,2,22,6,3,14,20,0.313,0.4,0.417,0.817
Blake Swihart,Sal,171,22,53,11,5,0,40,4,3,20,28,0.31,0.379,0.433,0.812
Keury De La Cruz,Sal,274,34,82,25,1,4,84,7,3,18,56,0.299,0.334,0.442,0.776
Jackie Bradley Jr.,Paw,118,16,27,7,1,3,28,2,3,20,31,0.229,0.357,0.381,0.738
Derrik Gibson,Por,104,15,27,8,0,0,20,3,3,22,29,0.26,0.392,0.337,0.729
Manuel Margot,Low,85,15,23,4,1,1,21,5,3,9,11,0.271,0.33,0.376,0.706
Ronald Bermudez,PawPor,113,14,33,7,0,1,26,0,3,6,20,0.292,0.32,0.381,0.7
Henry Ramos,Sal,189,26,45,8,5,3,46,3,3,21,44,0.238,0.307,0.381,0.688
Matty Johnson,3 Teams,132,14,30,6,2,0,27,8,3,14,21,0.227,0.297,0.303,0.6
Jose Vinicio,Gre,182,23,42,10,1,1,26,8,3,4,48,0.231,0.254,0.313,0.567
Victor Acosta,DSL,119,18,36,4,1,6,37,4,2,16,13,0.303,0.384,0.504,0.888
Xander Bogaerts,PawPor,197,30,50,7,3,8,60,1,2,25,39,0.254,0.341,0.442,0.782
Brandon Jacobs,PorSal,135,21,33,15,0,3,36,4,2,19,41,0.244,0.356,0.422,0.778
Wendell Rijo,LowGCL,85,10,25,7,0,0,20,4,2,6,14,0.294,0.344,0.376,0.72
Deiner Lopez,LowGCL,77,12,21,2,2,0,17,6,2,7,16,0.273,0.364,0.351,0.714
Peter Hissey,Por,108,15,31,6,1,0,21,4,2,9,25,0.287,0.339,0.361,0.7
Heiker Meneses,PawPor,160,14,41,6,5,1,34,1,2,12,43,0.256,0.322,0.375,0.697
Brock Holt,Paw,128,11,40,1,0,0,21,2,2,11,24,0.313,0.361,0.32,0.681
Aaron King,LowGCL,103,7,25,4,3,1,20,0,2,11,37,0.243,0.31,0.369,0.679
Justin Henry,Paw,149,17,32,8,1,1,35,4,2,22,24,0.215,0.316,0.302,0.618
Felix Sanchez,SalGre,96,14,18,4,0,1,15,4,2,7,42,0.188,0.273,0.26,0.533
Mike Meyers,LowGCL,44,4,8,3,0,0,7,0,2,3,16,0.182,0.229,0.25,0.479
