Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jackie Bradley,Por,30,117,16,32,10,1,4,15,5,1,15,20,0.274,0.356,0.479,0.834
Keury De La Cruz,Gre,26,112,19,32,12,0,5,16,4,1,5,14,0.286,0.322,0.527,0.849
Marquez Smith,Por,29,111,21,37,10,1,3,18,0,0,11,20,0.333,0.389,0.523,0.911
Michael Almanzar,Sal,28,108,15,36,10,0,5,15,5,2,12,15,0.333,0.415,0.565,0.979
Jeremy Hazelbaker,Por,28,108,21,27,4,2,8,15,10,0,10,24,0.25,0.317,0.546,0.863
Mike Miller,Low,26,106,11,29,5,1,0,8,6,2,7,10,0.274,0.325,0.34,0.664
Garin Cecchini,Gre,27,104,17,32,10,0,1,17,8,1,13,17,0.308,0.387,0.433,0.819
Deven Marrero,Low,28,103,19,28,9,1,0,8,12,4,21,14,0.272,0.395,0.379,0.774
Shannon Wilkerson,Sal,26,103,13,26,2,1,2,13,2,2,4,28,0.252,0.279,0.35,0.629
Brandon Jacobs,Sal,25,102,16,29,6,0,4,18,3,2,9,31,0.284,0.348,0.461,0.809
Heiker Meneses,Sal,24,99,15,25,6,2,1,16,6,2,3,24,0.253,0.286,0.384,0.67
Lars Anderson,Paw,26,99,8,25,5,1,0,11,0,0,11,24,0.253,0.319,0.323,0.642
Jose Iglesias,Paw,24,99,9,24,1,0,0,7,3,2,6,16,0.242,0.287,0.253,0.54
Manuel Margot,DSL,25,98,17,21,2,2,1,15,10,3,9,5,0.214,0.31,0.306,0.616
J.C. Linares,Paw,25,95,12,32,4,1,4,14,0,0,5,15,0.337,0.369,0.526,0.895
Bryce Brentz,Por,26,95,10,19,3,0,3,15,4,0,7,22,0.2,0.25,0.326,0.576
Jeremias Pineda,GCL,25,94,14,41,7,2,0,16,10,6,5,14,0.436,0.47,0.553,1.023
Andres Garcia,DSL,25,93,18,26,3,1,0,11,5,5,17,14,0.28,0.407,0.333,0.74
Robert Del Rosario,DSL,25,93,12,19,4,1,0,14,10,3,10,13,0.204,0.282,0.269,0.55
Jose Garcia,Gre,22,91,18,23,6,1,1,7,8,1,11,33,0.253,0.34,0.374,0.713
Derrik Gibson,Por,25,91,7,17,2,0,0,3,2,1,8,25,0.187,0.26,0.209,0.469
Mookie Betts,Low,26,90,14,27,2,0,0,9,8,4,8,9,0.3,0.36,0.322,0.682
Travis Shaw,Sal,25,89,17,25,8,0,4,15,3,1,16,26,0.281,0.407,0.506,0.913
David Renfroe,Gre,23,88,10,24,8,0,1,19,1,0,6,15,0.273,0.333,0.398,0.731
Henry Ramos,Gre,24,87,16,23,3,2,2,13,5,2,10,19,0.264,0.34,0.414,0.754
