MP,Rk,AST%,TS%,STL%,GmSc
18:00,29,7.2,.750,0.0,6.2
7:00,30,16.7,.000,0.0,0.2
3:00,36,43.2,.000,18.6,1.0
25:00,10,6.6,.255,0.0,1.6
18:00,12,6.7,.500,0.0,1.0
22:00,9,6.8,.610,0.0,9.8
21:00,3,7.7,.872,0.0,12.8
10:00,22,0.0,.410,0.0,-1.8
19:00,11,28.1,.500,0.0,4.1
7:00,37,0.0,.000,8.2,-3.2
9:00,53,14.7,.400,0.0,1.5
23:00,4,5.8,.694,0.0,3.5
6:00,49,18.6,.000,0.0,0.0
5:00,55,0.0,.000,0.0,-1.0
13:00,58,0.0,.521,0.0,0.5
3:00,38,0.0, ,0.0,0.3
10:00,32,0.0,.333,0.0,0.1
6:00,41,0.0, ,0.0,-1.2
7:00,18,0.0,.266,0.0,1.4
6:00,45,23.5,.521,8.6,1.9
8:00,60,0.0,.133,0.0,-1.8
16:00,7,30.8,.512,0.0,7.1
21:00,14,0.0,.400,0.0,2.9
15:00,47,0.0,.714,3.7,4.4
14:00,27,0.0,1.000,0.0,-1.4
16:00,19,15.4,.922,3.0,7.6
2:00,42,0.0,.568,0.0,2.9
7:00,26,0.0,.694,0.0,2.9
1:00,25,0.0, ,0.0,0.0
1:00,43,0.0, ,0.0,0.0
20:00,1,18.8,.579,2.6,7.8
22:00,48,6.1,.613,2.3,7.8
