query_table,candidate_table
query_table,candidate_table
csvData10001964__0.csv,csvData4674540__3.csv
csvData10001964__0.csv,csvData4674540__10.csv
csvData10001964__0.csv,csvData4674540__8.csv
csvData10001964__0.csv,csvData13997791.csv
csvData10001964__0.csv,csvData4674540__11.csv
csvData10001964__0.csv,csvData4674540__9.csv
csvData10001964__0.csv,csvData4674540__0.csv
csvData10001964__0.csv,csvData4674540__2.csv
csvData10001964__0.csv,csvData17377633__3.csv
csvData10001964__0.csv,csvData10001964__1.csv
csvData10001964__0.csv,csvData17377633__2.csv
csvData10001964__0.csv,csvData10001964__0.csv.1
csvData10001964__0.csv,csvData10199262.csv
csvData10001964__0.csv,csvData27587184__4.csv
csvData10001964__0.csv,csvData1635358__3.csv
csvData10001964__1.csv,csvData4674540__3.csv
csvData10001964__1.csv,csvData4674540__10.csv
csvData10001964__1.csv,csvData4674540__8.csv
csvData10001964__1.csv,csvData13997791.csv
csvData10001964__1.csv,csvData4674540__11.csv
csvData10001964__1.csv,csvData4674540__9.csv
csvData10001964__1.csv,csvData4674540__0.csv
csvData10001964__1.csv,csvData4674540__2.csv
csvData10001964__1.csv,csvData10001964__0.csv
csvData10001964__1.csv,csvData10001964__1.csv
csvData10001964__1.csv,csvData10199262.csv
csvData10001964__1.csv,csvData17377633__3.csv
csvData10001964__1.csv,csvData1635358__4.csv
csvData10001964__1.csv,csvData3718393.csv
csvData10001964__1.csv,csvData5631671.csv
csvData10001964__1.csv,csvData17377633__2.csv
csvData10001964__1.csv,csvData22910486.csv
csvData10001964__1.csv,csvData8926331.csv
csvData10001964__1.csv,csvData24016408__3.csv
csvData10001964__1.csv,csvData19706578__5.csv
csvData10001964__2.csv,csvData10001964__3.csv
csvData10001964__2.csv,csvData10001964__2.csv
csvData10001964__2.csv,csvData28675422__7.csv
csvData10001964__2.csv,csvData8967668.csv
csvData10001964__2.csv,csvData28675422__6.csv
csvData10001964__2.csv,csvData23141915__6.csv
csvData10001964__2.csv,csvData28675422__8.csv
csvData10001964__2.csv,csvData26787626.csv
csvData10001964__2.csv,csvData28203368.csv
csvData10001964__2.csv,csvData24277895.csv
csvData10001964__2.csv,csvData5096914.csv
csvData10001964__2.csv,csvData16889241.csv
csvData10001964__2.csv,csvData1786628__5.csv
csvData10001964__2.csv,csvData14563922.csv
csvData10001964__3.csv,csvData10001964__3.csv
csvData10001964__3.csv,csvData10001964__2.csv
csvData10001964__3.csv,csvData11123638.csv
csvData10001964__3.csv,csvData4643292__3.csv
csvData10001964__3.csv,csvData5577489.csv
csvData10001964__3.csv,csvData4016056.csv
csvData10001964__3.csv,csvData14456369.csv
csvData10001964__3.csv,csvData8967668.csv
csvData10001964__3.csv,csvData21525479.csv
csvData10001964__3.csv,csvData8910705.csv
csvData10001964__3.csv,csvData22045349.csv
csvData10001964__3.csv,csvData11957850.csv
csvData10001964__3.csv,csvData7984902__1.csv
csvData10001964__3.csv,csvData10001964.csv
csvData10001964__3.csv,csvData19719828.csv
csvData10001964__3.csv,csvData13911260.csv
csvData10001964__3.csv,csvData23010896.csv
csvData10001964__3.csv,csvData22418917__2.csv
csvData10001964__3.csv,csvData1373507.csv
csvData10001964__3.csv,csvData29387459.csv
csvData1000970.csv,csvData2761087__14.csv
csvData1000970.csv,csvData13203187.csv
csvData1000970.csv,csvData20038029.csv
csvData1000970.csv,csvData9704445.csv
csvData1000970.csv,csvData1000970.csv
csvData1000970.csv,csvData4856274.csv
csvData1000970.csv,csvData6050186.csv
csvData1000970.csv,csvData16844297.csv
csvData1000970.csv,csvData21863112.csv
csvData1000970.csv,csvData16552625.csv
csvData1000970.csv,csvData4463897.csv
csvData1000970.csv,csvData5718071.csv
csvData1000970.csv,csvData4669441.csv
csvData10017699.csv,csvData13515805.csv
csvData10017699.csv,csvData20698785.csv
csvData10017699.csv,csvData24556504.csv
csvData10017699.csv,csvData5717060.csv
csvData10017699.csv,csvData10017699.csv
csvData10017699.csv,csvData21033509.csv
csvData10017699.csv,csvData2000468.csv
csvData10017699.csv,csvData26416795.csv
csvData10017699.csv,csvData558371.csv
csvData10017699.csv,csvData12918103.csv
csvData10017699.csv,csvData8832599.csv
csvData10017699.csv,csvData27894525.csv
csvData10017699.csv,csvData14190048.csv
csvData10017699.csv,csvData12375400.csv
csvData10017699.csv,csvData11710310.csv
csvData10017699.csv,csvData17010032.csv
csvData10020331.csv,csvData991928.csv
csvData10020331.csv,csvData9223764.csv
csvData10020331.csv,csvData9717166.csv
csvData10020331.csv,csvData8998446.csv
csvData10020331.csv,csvData8131300.csv
csvData10020331.csv,csvData8562755.csv
csvData10020331.csv,csvData8047850.csv
csvData10020331.csv,csvData8698433.csv
csvData10020331.csv,csvData667946.csv
csvData10020331.csv,csvData6496772.csv
csvData10020331.csv,csvData5736029.csv
csvData10020331.csv,csvData7882334.csv
csvData10020331.csv,csvData7852008.csv
csvData10020331.csv,csvData17850341.csv
csvData10020331.csv,csvData17633668.csv
csvData10020331.csv,csvData7094453.csv
csvData10020331.csv,csvData18725197.csv
csvData10020331.csv,csvData9848747.csv
csvData10020331.csv,csvData22354024.csv
csvData10020331.csv,csvData13873172.csv
csvData10024254.csv,csvData9177778.csv
csvData10024254.csv,csvData10024254.csv
csvData10024254.csv,csvData14692884.csv
csvData10024254.csv,csvData14190119.csv
csvData10024254.csv,csvData28163917.csv
csvData10024254.csv,csvData14129329.csv
csvData10024254.csv,csvData9571128.csv
csvData10024254.csv,csvData12727744.csv
csvData10024254.csv,csvData17873792.csv
csvData10024254.csv,csvData20597168.csv
csvData10024254.csv,csvData22106433.csv
csvData10024254.csv,csvData17769446.csv
csvData10024254.csv,csvData11306890.csv
csvData10024254.csv,csvData14457059.csv
csvData10024254.csv,csvData7464721.csv
csvData10024254.csv,csvData23139705.csv
csvData10024254.csv,csvData20748125.csv
csvData10024254.csv,csvData9420188.csv
csvData10024254.csv,csvData20398740.csv
csvData10024254.csv,csvData6383985.csv
csvData10024254.csv,csvData4743422.csv
csvData10024254.csv,csvData9641680.csv
csvData10024254.csv,csvData16291258.csv
csvData10025189.csv,csvData15965777.csv
csvData10025189.csv,csvData10025189.csv
csvData10025189.csv,csvData14512292.csv
csvData10025189.csv,csvData3784141.csv
csvData10025189.csv,csvData24108736.csv
csvData10025189.csv,csvData24799406.csv
csvData10025189.csv,csvData24352768.csv
csvData10025189.csv,csvData13292203.csv
csvData10025189.csv,csvData2404013.csv
csvData10025189.csv,csvData17215729.csv
csvData10025189.csv,csvData26959440.csv
csvData10025189.csv,csvData4431378.csv
csvData10025189.csv,csvData389779.csv
csvData10025189.csv,csvData12316154.csv
csvData10025189__0.csv,csvData10025189__2.csv
csvData10025189__0.csv,csvData23692499.csv
csvData10025189__0.csv,csvData10025189__1.csv
csvData10025189__0.csv,csvData17479938.csv
csvData10025189__0.csv,csvData13227194__13.csv
csvData10025189__0.csv,csvData10025189__0.csv
csvData10025189__0.csv,csvData25724836.csv
csvData10025189__0.csv,csvData13557994.csv
csvData10025189__0.csv,csvData9811446.csv
csvData10025189__0.csv,csvData5298529.csv
csvData10025189__0.csv,csvData17285455.csv
csvData10025189__0.csv,csvData8598250__2.csv
csvData10025189__0.csv,csvData27686060__3.csv
csvData10025189__1.csv,csvData10025189__2.csv
csvData10025189__1.csv,csvData5376485__4.csv
csvData10025189__1.csv,csvData10025189__0.csv
csvData10025189__1.csv,csvData10025189__1.csv
csvData10025189__1.csv,csvData17479938.csv
csvData10025189__1.csv,csvData25724836.csv
csvData10025189__1.csv,csvData5298529.csv
csvData10025189__1.csv,csvData9811446.csv
csvData10025189__1.csv,csvData21084464__15.csv
csvData10025189__1.csv,csvData15965860.csv
csvData10025189__1.csv,csvData28852176.csv
csvData10025189__1.csv,csvData21084464__18.csv
csvData10025189__1.csv,csvData27634938.csv
csvData10025189__1.csv,csvData12446279.csv
csvData10025189__1.csv,csvData2578315.csv
csvData10025189__1.csv,csvData8598250__2.csv
csvData10025189__2.csv,csvData10025189__2.csv
csvData10025189__2.csv,csvData9065545.csv
csvData10025189__2.csv,csvData10025189__1.csv
csvData10025189__2.csv,csvData17479938.csv
csvData10025189__2.csv,csvData10025189__0.csv
csvData10025189__2.csv,csvData8077770.csv
csvData10025189__2.csv,csvData1602812.csv
csvData10025189__2.csv,csvData25724836.csv
csvData10025189__2.csv,csvData25611248.csv
csvData10025189__2.csv,csvData23642236.csv
csvData10025189__2.csv,csvData2578315.csv
csvData10025189__2.csv,csvData21084464__15.csv
csvData10025189__2.csv,csvData16800829.csv
csvData10025189__3.csv,csvData10025189__5.csv
csvData10025189__3.csv,csvData10025189__3.csv
csvData10025189__3.csv,csvData19072013__0.csv
csvData10025189__3.csv,csvData10025189__4.csv
csvData10025189__3.csv,csvData17663695.csv
csvData10025189__3.csv,csvData5903423.csv
csvData10025189__3.csv,csvData8066901__8.csv
csvData10025189__3.csv,csvData5386278.csv
csvData10025189__3.csv,csvData23384938.csv
csvData10025189__3.csv,csvData8297132.csv
csvData10025189__3.csv,csvData16858909.csv
csvData10025189__3.csv,csvData18955344.csv
csvData10025189__3.csv,csvData5820787.csv
csvData10025189__3.csv,csvData720035.csv
csvData10025189__3.csv,csvData22319222.csv
csvData10025189__3.csv,csvData6917053.csv
csvData10025189__3.csv,csvData23145953.csv
csvData10025189__3.csv,csvData10025189.csv
csvData10025189__3.csv,csvData13292203__7.csv
csvData10025189__3.csv,csvData1902536__5.csv
csvData10025189__3.csv,csvData8804961__3.csv
csvData10025189__3.csv,csvData17517374.csv
csvData10025189__3.csv,csvData8174184.csv
csvData10025189__3.csv,csvData8804961__2.csv
csvData10025189__4.csv,csvData8804961__3.csv
csvData10025189__4.csv,csvData10025189__4.csv
csvData10025189__4.csv,csvData8066901__8.csv
csvData10025189__4.csv,csvData10025189__5.csv
csvData10025189__4.csv,csvData19072013__0.csv
csvData10025189__4.csv,csvData5386278.csv
csvData10025189__4.csv,csvData2404013__7.csv
csvData10025189__4.csv,csvData2404013__8.csv
csvData10025189__4.csv,csvData17663695.csv
csvData10025189__4.csv,csvData16200787.csv
csvData10025189__4.csv,csvData10188849.csv
csvData10025189__4.csv,csvData23384938.csv
csvData10025189__4.csv,csvData25379780.csv
csvData10025189__5.csv,csvData10025189__5.csv
csvData10025189__5.csv,csvData10025189__4.csv
csvData10025189__5.csv,csvData10025189__3.csv
csvData10025189__5.csv,csvData21450742.csv
csvData10025189__5.csv,csvData7865745.csv
csvData10025189__5.csv,csvData8210835.csv
csvData10025189__5.csv,csvData3431949.csv
csvData10025189__5.csv,csvData678617.csv
csvData10025189__5.csv,csvData5820787.csv
csvData10025189__5.csv,csvData22590942.csv
csvData10025189__5.csv,csvData2644063.csv
csvData10027553.csv,csvData15965777.csv
csvData10027553.csv,csvData18661263.csv
csvData10027553.csv,csvData9768769.csv
csvData10027553.csv,csvData25437325.csv
csvData10027553.csv,csvData3383853.csv
csvData10027553.csv,csvData13997791.csv
csvData10027553.csv,csvData10547086.csv
csvData10027553.csv,csvData2590167.csv
csvData10027553.csv,csvData28193349.csv
csvData10027553.csv,csvData7104405.csv
csvData10027553.csv,csvData1444875.csv
csvData10027553.csv,csvData13227194.csv
csvData10027553__0.csv,csvData4674540__3.csv
csvData10027553__0.csv,csvData10027553__3.csv
csvData10027553__0.csv,csvData10027553__1.csv
csvData10027553__0.csv,csvData13997791__6.csv
csvData10027553__0.csv,csvData10027553__2.csv
csvData10027553__0.csv,csvData10027553__0.csv
csvData10027553__0.csv,csvData13997791__3.csv
csvData10027553__0.csv,csvData13997791__7.csv
csvData10027553__0.csv,csvData29383799__11.csv
csvData10027553__0.csv,csvData29383799__14.csv
csvData10027553__0.csv,csvData22658714__0.csv
csvData10027553__0.csv,csvData29383799__2.csv
csvData10027553__1.csv,csvData13997791__1.csv
csvData10027553__1.csv,csvData14213420__1.csv
csvData10027553__1.csv,csvData29383799__13.csv
csvData10027553__1.csv,csvData13336059__14.csv
csvData10027553__1.csv,csvData29383799__11.csv
csvData10027553__1.csv,csvData10027553__0.csv
csvData10027553__1.csv,csvData29383799__14.csv
csvData10027553__1.csv,csvData19130941__1.csv
csvData10027553__1.csv,csvData14213420__2.csv
csvData10027553__1.csv,csvData13997791__3.csv
csvData10027553__1.csv,csvData10027553__2.csv
csvData10027553__1.csv,csvData22658714__0.csv
csvData10027553__1.csv,csvData10027553__1.csv
