ORB%,Rk,TS%,TOV%,Age,AST%,GS,BLK%,DRtg
0.0,14,.000,0.0,36-025,0.0,1,0.0,102
11.1,1,.773,20.5,35-362,15.4,1,0.0,94
13.7,58,.333,0.0,36-134,0.0,0,9.5,102
32.0,49,.532,0.0,36-104,0.0,1,0.0,121
6.2,17,.500,33.3,36-031,0.0,1,0.0,122
10.4,47,.500,50.0,36-098,0.0,1,6.0,101
15.4,67,1.000,25.0,36-154,0.0,1,0.0,91
6.9,2,.000,25.0,35-363,0.0,1,0.0,101
0.0,48,.500,33.3,36-099,0.0,1,8.3,91
7.0,36,.625,20.0,36-073,0.0,1,4.5,119
0.0,22,.875,0.0,36-039,0.0,0,4.7,121
9.9,40,.387,20.5,36-081,4.7,1,0.0,80
0.0,51,.000,50.0,36-108,0.0,1,0.0,117
0.0,69, , ,36-158,0.0,0,0.0,127
31.1,4,.527,16.1,36-003,0.0,1,0.0,94
0.0,56,.532,34.7,36-129,0.0,0,0.0,113
0.0,59,.500,33.3,36-135,0.0,0,0.0,109
0.0,27, ,100.0,36-052,20.2,0,24.1,77
0.0,55, , ,36-128,0.0,0,0.0,118
9.3,21,1.000,0.0,36-038,0.0,0,6.2,97
8.3,15,.644,0.0,36-028,6.6,1,3.5,92
33.5,44,.600,16.7,36-089,0.0,1,11.7,95
7.1,62,.500,33.3,36-142,0.0,1,6.5,129
0.0,57, ,100.0,36-132,0.0,0,0.0,115
7.7,32,.410,17.0,36-063,0.0,0,4.8,113
0.0,39,.000,0.0,36-079,0.0,1,10.8,98
22.4,3,.667,25.0,36-000,21.5,1,0.0,100
7.4,18,.399,0.0,36-033,0.0,1,8.3,93
0.0,63,.333,25.0,36-143,27.9,0,0.0,110
19.8,34,.362,0.0,36-067,0.0,0,0.0,112
10.6,38,.500,50.0,36-076,0.0,1,0.0,116
0.0,42,1.000,50.0,36-085,0.0,1,0.0,107
0.0,23,.000,0.0,36-043,0.0,0,28.6,79
28.6,31,.510,0.0,36-060,0.0,0,17.4,97
