RBI,OPS,SO,SLG
2,0.359,10,.175
7,0.543,18,.286
3,0.432,31,.196
23,0.7,49,.355
20,0.621,40,.317
3,0.496,15,.228
27,0.703,45,.366
5,0.714,26,.400
0,0.143,2,.000
1,0.443,6,.174
2,0.555,8,.269
2,0.833,1,.333
19,0.592,64,.305
15,0.603,31,.272
0,0.817,3,.400
5,0.528,22,.232
9,1.671,1,1.071
0,0.59,4,.313
41,0.822,91,.478
19,0.733,46,.381
4,0.608,7,.381
3,0.477,7,.238
14,0.662,38,.335
9,0.58,30,.248
23,0.677,47,.372
5,0.558,28,.243
31,0.724,50,.414
26,0.741,66,.393
7,0.499,20,.183
7,0.448,15,.214
13,0.634,36,.350
7,0.926,5,.571
6,0.479,12,.238
4,0.717,3,.267
0,0.0,1,.000
15,0.516,80,.247
9,0.754,20,.347
6,0.524,19,.245
3,0.372,15,.167
18,0.589,28,.274
8,0.574,25,.299
10,0.675,26,.350
37,0.818,61,.452
2,0.493,14,.247
2,2.25,0,1.500
2,0.388,9,.125
6,0.575,25,.288
50,0.805,76,.441
6,0.545,15,.262
10,0.611,31,.291
13,0.562,27,.267
8,0.539,47,.236
2,0.733,2,.400
1,0.277,4,.077
0,0.817,2,.400
15,0.709,53,.369
12,0.582,62,.302
6,0.624,17,.333
10,0.711,40,.364
0,0.333,3,.167
4,0.827,4,.417
23,0.695,37,.412
1,0.372,4,.167
13,0.644,21,.333
9,0.485,9,.245
18,0.677,28,.333
3,0.425,30,.185
32,0.728,31,.387
6,0.444,9,.250
9,0.54,24,.271
5,0.624,16,.280
4,0.74,6,.387
22,0.616,39,.342
11,0.691,31,.341
2,0.339,8,.133
35,0.832,43,.449
0,0.154,3,.077
6,0.621,10,.341
18,0.909,13,.517
11,0.478,21,.261
13,0.553,51,.265
41,0.666,38,.350
0,0.0,2,.000
10,0.627,24,.321
9,0.624,31,.321
5,0.692,9,.354
4,0.597,14,.300
19,0.512,34,.254
12,0.447,20,.220
