GIDP,SB,Player,OPS,SLG,3B,SF,BB,R
0,4,S Henry,.784,.415,1,0,3,6
9,26,J Adduci,.745,.365,3,3,63,81
1,0,J Lennerton,.606,.268,0,1,14,9
2,1,B Roberts,.909,.409,0,0,2,3
0,1,B Ryan,.641,.333,0,0,1,1
0,0,L Perez,.000,.000,0,0,0,0
3,23,P Powell,.703,.299,0,1,27,20
6,3,J Kreuzer,.679,.329,0,1,22,17
3,0,S Bowman,.853,.485,2,1,4,12
0,0,S Rolen,.000,.000,0,0,0,0
5,7,D Santiesteban,.589,.322,1,2,20,31
23,0,W Ramos,.780,.434,2,5,37,50
0,0,D Cox,.000,.000,0,0,0,0
4,2,D Berg,.795,.414,2,1,32,39
2,3,R Chirinos,.906,.475,2,1,26,22
0,0,D Rundle,.000,.000,0,0,0,0
5,1,J Lucroy,.843,.479,1,6,28,31
6,10,J Calzado,.563,.315,3,1,10,20
6,12,B Emaus,.843,.463,3,5,60,87
2,0,M Hernandez,.422,.200,0,0,2,3
13,1,W Robbins,.788,.405,4,5,52,39
4,2,K Mahar,.776,.389,2,0,19,17
0,0,J McDonald,.780,.364,0,0,1,2
4,15,D Roberts,.766,.457,4,4,12,54
9,3,B Boesch,.689,.379,8,5,36,46
4,18,D Jones,.881,.476,7,1,33,43
8,0,C Kingrey,.711,.388,1,0,16,23
5,2,L Gorsett,.658,.345,1,1,24,28
1,0,M Rabelo,.517,.267,0,0,2,2
2,4,D Perales,.612,.345,4,3,20,23
0,0,B Wilkerson,1.500,1.000,0,0,1,4
0,0,J Hill,.595,.298,0,1,5,6
3,4,S Singleton,.823,.452,2,3,26,38
0,0,S Walls,--,--,0,0,0,0
7,19,L Cain,.806,.448,4,2,29,50
1,0,D Dorn,.786,.500,0,0,1,3
5,0,J Jacobs,.652,.294,0,2,26,21
15,2,L Duda,.755,.398,3,3,66,58
0,0,C Pena,.200,.000,0,0,1,0
7,2,A Hatch,.977,.539,1,1,28,25
4,3,M Maldonado,.703,.351,0,1,8,8
1,4,Q Stewart,.619,.348,0,1,10,10
5,10,J Matulia,.700,.357,2,2,24,36
2,0,A Brown,.967,.557,0,0,11,14
30,17,M Hilligoss,.585,.298,0,4,31,47
10,8,J Gil,.611,.321,0,2,14,17
2,4,V Mendez,.821,.469,0,2,11,19
0,2,S Houin,.403,.175,0,0,6,5
2,0,D Corrente,.771,.514,0,0,2,9
0,0,W Aybar,.558,.250,0,0,1,1
8,0,J Gonzalez,.681,.396,3,1,21,35
0,0,W Vogl,.000,.000,0,0,0,0
2,2,M Reed,.691,.349,2,0,17,15
1,0,A Esquer,.333,.167,0,0,0,1
0,1,B Finegan,.897,.477,0,0,5,10
5,1,J Miller,.764,.366,1,0,16,19
7,1,J Lansford,.606,.309,0,0,12,22
5,1,K Anson,.719,.353,1,1,44,27
0,0,C Fournier,.895,.500,1,0,7,8
3,1,C Leon,.916,.469,1,0,11,11
3,3,R Tosoni,.823,.414,3,2,21,27
8,16,Y Carter,.747,.444,1,3,27,55
1,0,J Made,.161,.056,0,0,1,3
9,4,C Patton,.854,.484,2,5,45,70
0,0,A Pagan,.200,.000,0,0,1,1
11,1,K Holmberg,.609,.254,1,2,51,24
2,0,R Curry,.450,.250,0,0,0,1
1,3,E Gonzalez,.878,.559,1,1,5,18
6,3,C Hatcher,.605,.327,0,3,23,22
0,0,G Psomas,.510,.277,0,0,7,6
0,0,D Eckstein,.508,.214,0,0,2,4
11,8,R Tejada,.588,.296,4,4,41,55
6,5,G Groce,.632,.309,1,4,42,39
1,0,M Treanor,1.041,.563,0,1,6,7
8,2,S De Leon,.723,.419,0,1,4,19
0,0,R Baker,.000,.000,0,0,0,0
1,0,A Frost,.899,.586,1,0,2,6
6,2,J De La Rosa,.657,.366,2,1,14,27
1,0,E Ontiveros,.478,.200,0,1,1,2
6,2,D Valencia,.921,.518,3,4,27,35
0,0,J Krebs,--,--,0,0,0,0
9,1,D Solano,.700,.351,4,0,37,56
10,7,T Wright,.781,.411,1,2,41,60
6,28,E Carrera,.737,.393,12,3,46,61
1,1,G Cates,.486,.247,0,0,1,3
1,0,J Savery,.670,.385,0,0,1,2
4,0,J Voyles,.623,.324,0,1,17,16
8,5,N Ashley,.663,.315,1,1,49,37
0,0,B Richey,--,--,0,0,0,1
2,0,C Albernaz,.403,.191,0,0,4,3
8,0,B Lalli,.906,.519,0,3,19,30
5,5,J Callender,.521,.270,0,3,10,20
0,0,F Gomez,.000,.000,0,0,0,0
1,0,C Lopez,.556,.313,0,2,4,8
1,1,C Kunda,.369,.168,0,3,9,10
3,1,H Pellot,.438,.188,0,1,8,11
1,0,K Nelson,.277,.077,0,0,0,1
6,2,J Purdom,.674,.378,0,4,20,21
1,4,M Matulia,.810,.415,0,1,4,7
0,1,T Pham,.442,.220,0,0,7,9
3,27,D Stubbs,.772,.406,4,3,50,49
8,1,B Buckman,.679,.344,0,7,31,30
4,3,K Randel,.922,.531,4,4,49,59
1,5,M Arburr,.718,.405,0,1,26,32
1,4,J Holden,.639,.310,0,2,13,6
1,0,Y Rodriguez,.000,.000,0,0,0,0
0,1,D Navarro,1.467,.800,0,0,6,4
10,0,M Cabral,.714,.365,0,4,31,34
2,3,D Brinkley,.664,.313,0,0,6,11
0,0,J Ruhlman,--,--,0,0,0,0
8,8,D Barney,.682,.357,4,5,38,46
1,1,M Folli,.386,.188,1,1,4,9
9,8,T Frazier,.808,.451,3,3,41,62
3,0,L Palmisano,.784,.417,0,0,5,8
5,3,S Roof,.679,.314,0,0,20,21
2,3,J Hall,.829,.445,3,0,25,27
1,1,C Jaime,.489,.211,0,1,15,12
0,0,S Vander Weg,--,--,0,0,0,0
4,8,A DeJesus,.730,.325,4,0,45,41
0,0,A Everett,.000,.000,0,0,0,0
4,14,J Skelton,.873,.406,2,1,64,43
1,0,R Baker,.286,.143,0,0,0,0
0,0,M Alou,2.333,1.333,0,0,0,1
6,51,Q Berry,.701,.341,1,1,65,63
0,0,B Zobrist,.624,.357,0,1,0,1
0,0,T Gardenhire,.750,.385,0,0,1,2
0,0,J Murphy,.775,.375,0,0,2,0
11,27,C Fermaint,.583,.305,1,6,36,48
1,1,T Snider,.891,.557,0,0,5,15
1,0,S Stewart,.473,.125,0,1,6,0
0,0,Y Alonso,.808,.368,0,1,5,1
7,0,J Tordi,.591,.282,0,2,23,12
7,2,B Cartie,.716,.372,0,5,31,24
0,0,R Palacios,.537,.262,0,0,4,5
6,5,N Walton,.590,.305,1,0,22,30
5,8,A Perez,.734,.421,2,2,18,38
3,0,D Cooper,.807,.435,0,0,10,10
5,0,S Hill,.868,.529,2,2,15,28
2,0,E Contreras,.494,.300,0,0,1,2
4,4,J Mojica,.679,.332,2,2,35,33
1,10,O Marmol,.510,.262,1,0,8,16
15,2,J Castro,.570,.297,3,0,9,31
15,3,D Wabick,.736,.403,2,2,31,56
10,5,M Taylor,.939,.560,1,2,19,36
4,2,C Valaika,.978,.585,0,2,7,20
7,6,G Olson,.507,.258,0,2,9,19
0,0,R Malone,.000,.000,0,0,0,0
4,1,J Woodard,.739,.392,3,2,34,37
0,0,C Mulligan,.133,.000,0,0,1,1
3,0,M Liuzza,.690,.344,0,2,17,14
9,22,C Iorg,.734,.405,7,2,35,61
8,5,M Spencer,.686,.368,3,4,30,40
9,14,E Nunez,.688,.383,3,4,19,45
3,3,J Justice,.868,.504,5,1,29,46
0,15,B Brewer,.665,.349,2,2,25,36
3,11,J Laster,.684,.416,4,5,40,68
0,0,C Denove,.769,.357,0,0,3,1
2,1,S McCraw,.406,.156,0,0,10,2
0,0,T Waller,.176,.000,0,0,3,1
0,0,D Morales,1.000,.500,0,0,0,0
2,1,J Webb,.668,.359,1,0,1,3
1,0,J Hermida,1.074,.600,0,0,4,6
1,0,M Smith,.875,.542,0,0,3,5
4,3,C Kainer,.630,.338,1,4,14,42
0,0,C DeVries,--,--,0,0,0,0
0,0,J Gil,.000,.000,0,0,0,0
