GIDP,POS,G,SB,3B
0,RF,1,0,0
1,DH,28,0,0
2,1B,109,6,2
3,LF,59,9,0
6,2B,72,3,0
1,C,27,0,0
8,1B,90,2,1
3,2B,14,0,0
4,RF,112,18,2
7,C,47,1,0
0,SS,5,0,0
1,OF,5,1,0
1,OF,19,1,0
11,2B,103,32,4
2,3B,31,1,2
1,OF,9,1,0
3,C,83,1,3
0,DH,9,0,0
3,2B,10,0,1
0,LF,15,1,0
8,DH,117,3,1
1,C,30,1,1
1,SS,60,4,1
3,CF,126,37,5
1,OF,10,1,1
0,3B,5,0,0
5,RF,104,4,4
4,SS,39,1,1
0,1B,10,0,0
0,C,39,6,1
6,SS,81,4,5
0,3B,15,0,0
3,SS,58,2,0
0,C,1,0,0
3,3B,78,4,1
4,3B,33,0,0
6,2B,56,1,1
0,C,13,0,0
5,C,47,0,0
9,1B,130,5,7
18,3B,91,2,1
9,2B,92,25,5
8,C,84,1,5
4,2B,115,9,2
2,C,16,0,0
6,C,69,3,0
4,2B,50,2,0
3,C,80,1,2
8,LF,127,8,1
10,3B,129,9,1
1,OF,16,0,1
4,RF,55,2,1
3,CF,91,33,6
3,1B,40,0,0
4,2B,118,28,5
7,1B,95,2,1
1,RF,13,0,1
2,LF,27,0,0
5,RF,94,12,1
5,CF,91,4,0
2,C,10,0,0
8,2B,50,1,1
10,2B,92,6,1
6,C,59,0,0
10,1B,72,7,1
0,P,1,0,0
8,LF,115,15,3
2,LF,17,5,1
5,OF,28,0,0
4,SS,91,28,3
0,CF,19,2,0
1,3B,35,0,2
4,C,51,3,0
2,SS,76,17,3
3,3B,43,3,3
4,C,81,8,3
0,2B,15,1,0
1,SS,36,7,1
1,C,5,0,0
12,SS,85,5,3
1,1B,31,5,1
5,3B,106,4,1
1,SS,49,8,1
2,SS,58,14,1
0,2B,7,0,0
3,1B,16,0,0
12,SS,97,11,1
2,DH,21,2,0
1,OF,32,2,4
4,C,56,0,0
9,1B,106,5,2
0,2B,4,0,0
2,SS,37,2,1
17,2B,126,43,1
7,3B,76,10,1
2,1B,21,0,0
0,C,10,0,0
3,2B,67,2,1
1,C,11,0,0
0,C,9,0,1
4,3B,17,0,0
0,P,1,0,0
7,C,49,1,1
1,2B,42,6,0
18,C,71,0,3
9,CF,127,55,5
2,CF,131,34,8
8,C,104,3,1
1,SS,34,7,2
4,DH,38,0,0
4,RF,40,2,1
3,SS,27,1,1
4,2B,42,7,2
7,CF,122,45,3
3,DH,22,4,0
5,OF,79,15,2
2,C,6,0,0
2,C,22,1,0
3,SS,26,4,1
3,2B,41,2,0
10,RF,131,12,6
1,LF,40,3,1
6,SS,77,6,2
6,LF,74,4,1
9,OF,96,18,1
5,1B,115,3,1
11,3B,87,4,1
14,1B,113,7,10
0,P,1,0,0
15,1B,122,1,1
5,3B,56,2,0
3,1B,69,2,0
4,RF,69,6,0
8,RF,125,4,3
1,2B,16,0,0
6,2B,111,28,5
8,RF,112,5,4
0,P,1,0,0
6,LF,46,3,0
7,SS,77,0,0
0,P,1,0,0
9,CF,84,14,1
3,LF,41,1,1
5,C,69,0,0
10,1B,131,4,5
7,2B,94,8,6
3,LF,87,7,1
2,3B,8,0,0
0,LF,129,32,4
3,CF,35,4,0
11,SS,111,19,2
9,CF,123,35,3
6,RF,107,25,3
0,OF,13,3,0
5,1B,112,3,1
4,CF,115,29,7
6,1B,116,1,1
2,C,16,1,0
2,CF,24,1,2
16,SS,83,3,4
4,3B,67,0,0
3,C,20,0,0
8,C,51,0,1
14,SS,134,17,1
0,1B,3,0,0
1,C,29,3,0
0,P,0,0,0
2,2B,17,0,0
0,1B,33,0,0
10,3B,105,6,1
2,OF,21,2,0
3,SS,123,10,2
4,3B,59,2,0
0,C,10,0,0
2,OF,58,33,2
1,RF,15,0,0
0,C,16,1,0
8,1B,86,2,1
8,C,74,0,0
5,1B,102,1,2
0,OF,4,0,0
5,C,58,4,0
4,LF,71,0,0
3,C,57,7,1
7,LF,91,4,1
7,LF,127,2,5
10,3B,57,1,0
4,OF,83,47,2
4,C,31,0,0
0,C,2,0,0
0,SS,19,2,0
2,2B,29,1,0
1,3B,17,0,0
3,C,34,1,0
3,LF,104,15,5
0,C,10,1,0
3,CF,34,1,0
13,3B,88,0,0
2,2B,19,0,0
6,2B,121,73,6
16,C,132,2,1
2,OF,19,0,0
7,RF,97,14,2
8,1B,124,11,5
7,1B,78,0,1
7,1B,70,3,0
2,3B,45,5,2
