Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 16,vs. Ferrum,"L, 9-2",4,0,0,-,-,-,0,-,-,-,-
Feb 16,at Emory,"L, 9-0",2,0,0,-,-,-,0,-,-,-,-
Feb 17,vs. Ferrum,"L, 6-0",-,-,-,-,-,-,-,-,-,-,-
Feb 17,at Emory,"L, 9-0",-,-,-,-,-,-,-,-,-,-,-
Mar 4,vs. Ursinus,"W, 6-5",4,0,2,-,-,-,2,-,-,1,-
Mar 4,vs. Randolph,"L, 4-1",3,0,2,1,-,-,0,-,-,-,-
Mar 5,vs. Eastern,"L, 5-1",3,0,1,-,-,-,1,-,-,-,-
Mar 5,vs. King's (Pa.),"L, 4-2",1,0,0,-,-,-,0,-,-,-,-
Mar 6,vs. Ursinus,"L, 15-6",1,0,0,-,-,-,0,-,-,-,-
Mar 6,vs. Penn St.-Hazleton,"W, 6-2",-,-,-,-,-,-,-,-,-,-,-
Mar 7,vs. Penn St.-Hazleton,"W, 9-1",-,-,-,-,-,-,-,-,-,-,-
Mar 7,vs. Penn St.-Harrisburg,"W, 4-0",-,-,-,-,-,-,-,-,-,-,-
Mar 11,Shenandoah,"L, 6-3",1,0,0,-,-,-,0,-,1,-,-
Mar 11,Shenandoah,"L, 5-3",2,0,0,-,-,-,0,-,-,-,-
Mar 21,Susquehanna,"L, 2-1",1,0,0,-,-,-,0,-,-,-,-
Mar 21,Susquehanna,"L, 13-6",4,0,2,1,-,-,2,-,-,-,-
Mar 28,East. Mennonite,"L, 8-6",4,1,2,1,-,-,0,-,1,-,-
Mar 28,East. Mennonite,"L, 5-4",3,0,2,1,-,-,2,-,-,-,-
Mar 30,Salisbury,"L, 17-0",1,0,0,-,-,-,0,-,1,-,-
Mar 30,Salisbury,"L, 11-1",2,1,2,-,-,1,1,-,-,-,-
Apr 1,Messiah,"L, 7-1",3,0,0,-,-,-,0,-,-,-,-
Apr 1,Messiah,"L, 5-2",4,0,1,1,-,-,1,-,-,-,-
Apr 4,at Frank. & Marsh.,"L, 9-8",4,1,2,1,-,-,1,-,-,-,-
Apr 4,at Frank. & Marsh.,"L, 11-3",3,1,1,1,-,-,1,-,-,-,-
Apr 6,Wesley,"W, 16-0",4,1,2,-,1,-,4,-,-,-,-
Apr 6,Wesley,"W, 9-8",4,1,2,-,-,1,2,-,1,-,-
Apr 10,at Frostburg St.,"L, 4-3",4,0,1,-,-,-,1,-,-,-,-
Apr 10,at Frostburg St.,"L, 14-5",3,1,3,3,-,-,3,-,-,-,-
Apr 13,at Mary Washington,"L, 6-0",2,0,1,-,-,-,0,1,-,-,-
Apr 13,at Mary Washington,"L, 5-0",3,0,1,-,-,-,0,-,-,-,-
Apr 16,Penn St.-Altoona,"W, 6-3",3,0,1,-,-,-,1,-,-,-,-
Apr 16,Penn St.-Altoona,"W, 4-3",4,0,1,1,-,-,0,-,1,-,-
Apr 19,at Washington College,"L, 8-7",4,1,1,-,-,-,0,-,1,-,-
Apr 19,at Washington College,"W, 13-3",4,1,3,2,-,-,6,-,-,-,-
Apr 20,Bridgewater (Va.),"L, 10-4",4,1,3,-,-,1,2,-,-,-,-
Apr 20,Bridgewater (Va.),"L, 9-7",3,1,1,-,-,1,1,1,1,-,-
Apr 21,at Misericordia,"W, 9-8",5,1,3,1,-,1,2,-,-,-,-
Apr 21,at Misericordia,"L, 3-1",3,0,1,-,-,-,0,1,-,-,-
Apr 23,Wesley,"W, 8-7",4,1,1,-,-,-,1,-,-,-,-
Apr 26,at Salisbury,"L, 12-0",2,0,0,-,-,-,0,-,2,-,-
Apr 26,at Mary Washington,"L, 8-0",2,0,0,-,-,-,0,-,-,-,-
May 1,at McDaniel,"L, 6-1",3,0,1,1,-,-,0,-,1,-,-
May 1,at McDaniel,"L, 9-7",4,0,2,-,1,-,5,-,1,-,-
