OBP,OPS,RBI,HR,AB,Team,SF,CS,Player Name,BB
0.317,0.75,33,9,210,TEX,2,0,"Chirinos, Robinson",24
0.355,0.824,43,21,343,LAD,1,6,"Pederson, Joc",59
0.268,0.57,40,5,377,CHC,3,3,"Castro, Starlin",16
0.306,0.653,34,9,311,CWS,2,0,"LaRoche, Adam",40
0.288,0.713,12,3,73,NYM,0,0,"Nieuwenhuis, Kirk",6
0.306,0.544,2,0,63,TB,1,2,"Jennings, Desmond",7
0.311,0.576,10,1,166,STL,2,2,"Jay, Jon",15
0.303,0.71,41,10,386,SEA,3,4,"Cano, Robinson",21
0.335,0.76,38,10,360,STL,3,5,"Wong, Kolten",24
0.329,0.845,51,16,277,TEX,2,0,"Moreland, Mitch",16
0.33,0.717,35,6,243,DET,3,0,"Martinez, Victor",20
0.286,0.506,4,0,41,HOU,1,0,"Singleton, Jonathan",7
0.263,0.547,16,2,141,TB,3,1,"Elmore, Jake",12
0.327,0.675,18,2,230,NYM,2,1,"Tejada, Ruben",21
0.309,0.706,43,11,317,LAA,3,1,"Freese, David",25
0.234,0.583,5,2,43,CHC,0,0,"Castillo, Welington",3
0.34,0.812,52,15,360,CWS,0,0,"Abreu, Jose",19
0.344,0.705,22,5,291,MIA,0,2,"Yelich, Christian",33
0.368,0.785,18,3,206,SF,2,4,"Blanco, Gregor",25
0.367,0.867,5,1,28,SD,0,0,"Wallace, Brett",2
0.333,0.533,0,0,5,BOS,0,0,"Peguero, Carlos",1
0.188,0.521,1,1,15,CHC,0,0,"Olt, Mike",0
0.336,0.788,56,12,330,OAK,2,1,"Reddick, Josh",28
0.342,0.816,47,14,293,TOR,4,4,"Martin, Russell",33
0.268,0.7,41,15,333,KC,2,0,"Perez, Salvador",7
0.334,0.792,43,15,369,SEA,2,3,"Seager, Kyle",31
0.355,0.734,20,4,190,TB,1,2,"Guyer, Brandon",16
0.289,0.59,28,3,266,MIN,4,0,"Suzuki, Kurt",20
0.229,0.462,2,1,30,BOS,1,0,"Bradley, Jackie",4
0.279,0.589,7,0,42,STL,0,0,"Scruggs, Xavier",0
0.333,0.666,4,0,33,MIA,0,0,"McGehee, Casey",6
0.265,0.606,3,1,44,STL,0,0,"Pham, Tommy",5
0.277,0.642,15,5,159,MIN,0,0,"Vargas, Kennys",7
0.296,0.834,14,6,78,BAL,0,0,"Schoop, Jonathan",2
0.338,0.797,52,13,351,PIT,2,8,"Marte, Starling",18
0.362,0.764,15,0,204,TEX,0,3,"DeShields Jr., Delino",27
0.351,0.635,9,1,95,BOS,0,0,"Hanigan, Ryan",17
0.327,0.778,5,2,51,CWS,1,1,"Saladino, Tyler",3
0.395,0.901,37,14,235,LAD,1,1,"Grandal, Yasmani",44
0.279,0.61,25,3,347,NYM,2,3,"Lagares, Juan",10
0.327,0.786,19,5,148,SD,0,2,"Myers, Wil",10
0.275,0.574,11,2,127,SF,0,1,"McGehee, Casey",11
