Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Mar 17,vs. U. of New England,"L, 9-1",-,-,-,-,-,-,-,-,-,-,-
Mar 17,vs. Nichols,"W, 9-3",1,1,1,-,-,-,1,-,-,1,-
Mar 18,vs. Smith,"W, 5-3",3,0,1,-,-,-,1,-,1,-,-
Mar 18,vs. Wis.-Superior,"L, 4-2",2,1,1,-,-,-,0,-,-,-,-
Mar 19,vs. North Central (Ill.),"L, 8-1",3,0,0,-,-,-,0,-,2,-,-
Mar 19,vs. Knox,"W, 7-3",3,1,1,-,-,-,1,-,-,-,-
Mar 21,vs. Worcester St.,"W, 5-1",2,0,1,-,-,-,1,1,1,-,-
Mar 21,vs. Wis.-Oshkosh,"L, 8-1",1,0,0,-,-,-,0,-,1,-,-
Mar 22,vs. Brockport,"L, 10-0",1,0,0,-,-,-,0,-,-,-,-
Mar 22,vs. Hamilton,"L, 2-1",-,-,-,-,-,-,-,-,-,-,-
Mar 26,Mass. Maritime,"W, 28-1",-,-,-,-,-,-,-,-,-,-,-
Mar 26,Mass. Maritime,"W, 9-1",-,-,-,-,-,-,-,-,-,-,-
Mar 27,Roger Williams,"W, 8-7",-,-,-,-,-,-,-,-,-,-,-
Mar 27,Roger Williams,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Mar 28,at Salve Regina,"L, 5-0",-,-,-,-,-,-,-,-,-,-,-
Mar 28,at Salve Regina,"L, 8-0",-,-,-,-,-,-,-,-,-,-,-
Mar 30,Plymouth St.,"L, 4-0",2,0,0,-,-,-,0,-,-,-,-
Mar 30,Plymouth St.,"L, 10-5",3,2,1,-,-,-,0,-,1,-,-
Apr 2,Framingham St.,"L, 4-3",2,0,0,-,-,-,0,-,1,-,-
Apr 2,Framingham St.,"L, 13-4",1,0,0,-,-,-,0,-,-,-,-
Apr 6,Keene St.,"L, 1-0",2,0,0,-,-,-,0,-,2,-,-
Apr 6,Keene St.,"W, 8-7",4,0,0,-,-,-,0,-,3,-,-
Apr 9,Johnson & Wales (RI),"L, 2-1",4,0,1,-,-,-,0,-,-,-,-
Apr 9,Johnson & Wales (RI),"L, 6-0",3,0,0,-,-,-,0,-,-,-,-
Apr 11,at Curry,"L, 5-4",4,0,1,-,-,-,1,-,1,-,-
Apr 11,at Curry,"L, 3-2",2,0,0,-,-,-,0,-,1,-,-
Apr 13,at Mass.-Boston,"L, 12-3",-,-,-,-,-,-,-,-,-,-,-
Apr 13,at Mass.-Boston,"L, 14-6",3,0,1,-,-,-,0,-,-,-,-
Apr 16,at Eastern Conn. St.,"L, 8-1",2,0,1,-,-,-,0,1,-,-,-
Apr 16,at Eastern Conn. St.,"L, 9-0",2,0,0,-,-,-,0,-,-,-,-
Apr 18,at Salem St.,"L, 10-9",2,0,1,-,-,-,1,1,-,-,-
Apr 18,at Salem St.,"L, 8-3",3,0,1,-,-,-,0,-,1,-,-
Apr 21,Western Conn. St.,"W, 2-1",3,0,0,-,-,-,0,-,2,-,-
Apr 21,Western Conn. St.,"W, 2-0",0,0,0,-,-,-,0,-,-,-,-
Apr 24,at Rhode Island Col.,"L, 4-2",0,0,0,-,-,-,0,-,-,-,-
Apr 24,at Rhode Island Col.,"L, 9-1",0,0,0,-,-,-,0,-,-,-,-
Apr 25,at Bridgewater St.,"L, 6-0",1,0,0,-,-,-,0,-,1,-,-
Apr 25,at Bridgewater St.,"W, 1-0",3,0,1,-,-,-,0,-,-,-,-
Apr 27,at Southern Me.,"L, 8-5",2,0,0,-,-,-,1,-,-,-,-
Apr 27,at Southern Me.,"L, 9-0",0,0,0,-,-,-,0,-,-,-,-
