RAR,Age,162WL%,Rrep,WAA,Name,Rpos,Acquired,Pos Summary,PA
-1,29,.499,0,-0.1,Armando Rios*,-0,Traded,/9,6
-4,27,.495,3,-0.8,Warren Morris*,1,Traded,4/5,109
-7,23,.494,2,-0.9,Chad Hermansen,-0,Amateur Draft,9/8,56
-0,23,.500,0,-0.0,Ryan Vogelsong,0,Traded,/1,2
3,27,.489,21,-1.9,Jason Kendall,7,Amateur Draft,*279,672
-0,22,.500,0,-0.1,David Williams*,5,Amateur Draft,1,37
0,39,.500,0,0.0,Billy Taylor,0,Free Agency,/1,0
0,36,.500,0,0.0,Mike Fetters,0,Traded,1,0
-0,27,.500,0,-0.0,Jose Silva,0,Traded,1,2
-0,38,.500,0,-0.0,Terry Mulholland,1,Free Agency,1,3
-1,22,.499,0,-0.1,Humberto Cota,0,Traded,/2,9
-0,26,.500,0,-0.0,Damaso Marte*,1,Traded,1,4
10,25,.500,10,-0.1,Abraham Nunez#,4,Traded,46/57,335
1,35,.494,11,-1.1,John Vander Wal*,-5,Traded,973/D,360
3,33,.502,0,0.3,Omar Olivares,4,Conditional Deal,1,27
-2,24,.499,0,-0.2,Bronson Arroyo,3,Amateur Draft,1,23
-0,27,.500,0,-0.0,Luis Figueroa#,0,Amateur Free Agent,/4,2
0,29,.500,0,0.0,Scott Sauerbeck,1,Rule 5 Draft,1,2
12,24,.504,6,0.6,Craig Wilson,-2,Traded,392/D7,183
-16,32,.485,9,-2.6,Pat Meares,2,Free Agency,4,284
0,28,.500,0,0.0,Jason Schmidt,4,Traded,1,28
0,30,.500,0,0.0,Marc Wilkins,0,Free Agency,1,0
0,32,.500,0,0.0,Mike Williams,0,Free Agency,1,0
-4,32,.488,16,-2.1,Kevin Young,-7,Free Agency,*3,507
