Tm,ORB%,TOV%,AST%,BLK%,DRB%,ORtg,DRtg,Age
UTA,15.2,14.5,0.0,0.0,9.1,51,109,36-085
UTA,12.4,0.0,8.2,11.3,8.3,142,122,36-128
UTA,30.0,33.3,0.0,11.2,11.2,112,104,36-090
UTA,7.3,0.0,7.4,0.0,15.2,97,102,36-032
UTA,20.2,10.1,0.0,3.8,24.1,87,108,36-110
UTA,29.4,33.7,7.7,3.4,25.8,79,104,36-011
UTA,6.2,0.0,0.0,11.9,7.3,57,115,36-035
UTA,14.0,12.5,0.0,0.0,18.2,103,102,36-007
UTA,13.3,0.0,7.8,4.0,11.7,87,109,36-133
UTA,6.5,30.4,0.0,8.2,6.7,70,101,36-045
UTA,23.9,11.1,0.0,5.2,15.1,117,109,36-037
UTA,10.0,33.3,0.0,0.0,14.2,82,117,36-137
UTA,5.4,0.0,7.8,0.0,0.0,140,129,36-145
UTA,7.3,14.3,0.0,0.0,32.7,68,98,36-049
UTA,12.5,33.3,0.0,0.0,9.9,98,114,36-125
UTA,7.1,0.0,0.0,0.0,11.8,86,103,35-359
UTA,9.4,20.5,0.0,19.6,0.0,58,115,36-046
UTA,12.3,16.7,0.0,4.5,14.0,79,100,36-043
UTA,19.4,0.0,0.0,0.0,23.0,67,100,36-029
UTA,5.4,0.0,0.0,6.7,21.1,87,87,36-003
UTA,13.3,0.0,0.0,0.0,12.4,200,134,36-142
UTA,0.0,33.3,0.0,7.4,12.0,61,97,35-353
UTA,19.0,33.3,0.0,3.2,5.4,107,118,36-018
UTA,15.5,16.7,0.0,7.7,0.0,74,100,36-139
UTA,7.6,12.5,9.5,0.0,18.8,108,124,36-031
UTA,9.1,25.8,0.0,20.5,33.5,68,62,36-063
UTA,16.8,25.4,5.6,3.4,12.3,81,97,36-093
UTA,7.7,14.3,0.0,0.0,14.0,129,101,36-008
UTA,26.7,0.0,0.0,4.3,7.0,97,111,36-020
UTA,7.7,14.8,0.0,3.0,19.5,49,101,35-345
UTA,7.3,0.0,12.4,0.0,0.0,102,128,36-067
UTA,5.7,11.1,0.0,0.0,18.9,90,106,36-025
UTA,10.4,10.0,0.0,0.0,31.6,103,112,36-038
UTA,31.6,0.0,0.0,9.8,0.0,121,107,36-148
UTA,0.0,0.0,0.0,0.0,23.6,0,102,36-115
UTA,4.7,14.5,5.9,4.3,30.3,64,97,36-094
UTA,16.7,0.0,17.6,4.0,0.0,105,108,35-346
UTA,0.0,0.0,0.0,0.0,8.3,70,107,36-084
UTA,46.2,16.8,7.4,0.0,5.0,135,105,36-099
UTA,13.3,13.3,8.3,0.0,9.3,76,91,36-072
UTA,16.3,20.0,0.0,3.4,36.1,127,84,36-123
UTA,0.0,20.5,8.6,0.0,19.4,106,105,36-108
UTA,17.9,11.4,6.8,0.0,16.1,102,122,35-349
