GIDP,Player,3B,RBI,H
2,R Baldelli,0,8,12
10,L Rodriguez,2,56,101
3,G Velazquez,2,18,60
1,G Molina,0,18,27
2,D Espinosa,1,15,28
4,D Brown,1,21,37
1,K Negron,0,0,4
3,M Wagner,0,16,26
8,A Colina,0,28,43
4,L Duda,2,53,83
2,B Whiting,3,16,79
1,J Gathright,2,7,40
4,D Nava,1,48,82
1,D Pedroia,0,0,1
1,J Tucker,0,2,14
13,R Adams,2,58,101
1,G Matthews,1,6,32
1,K Nieuwenhuis,1,17,27
3,D Sardinha,0,24,46
11,J Ruggiano,0,70,131
0,J Snyder,0,1,2
5,S Duncan,0,34,44
8,N Reimold,0,37,84
10,C Ransom,1,63,103
12,M Cervenak,0,40,108
8,D Jennings,6,36,111
0,O Mercado,0,5,2
0,M Daniel,0,0,0
9,J Furmaniak,3,22,75
6,W Castillo,3,35,81
6,B Laird,0,12,30
5,J Salazar,1,55,110
2,K Frandsen,0,4,16
0,P Pilittere,0,5,20
0,C Guillen,0,2,6
1,Y Ortiz,1,6,7
11,N Sellers,1,39,93
9,B Bell,1,49,103
1,J Anderson,0,1,15
14,A Bates,2,54,103
6,B Hicks,1,22,55
6,B Morel,4,34,98
0,J Long,0,0,3
1,M Bertram,1,17,24
2,R Khoury,1,2,11
5,L Maza,1,10,37
2,R Eldridge,1,3,23
10,M Leon,6,27,71
1,T Glaus,0,8,10
18,R Andino,4,76,144
0,M Cameron,0,3,4
5,E Bruntlett,1,49,101
16,D Viciedo,0,47,94
4,J Weber,2,16,62
8,B Bixler,4,47,105
5,J Maxwell,0,21,66
0,M Prado,0,0,1
1,R Hanigan,0,2,11
2,C Denove,0,9,28
3,M Aubrey,2,68,86
1,J Savery,0,6,16
0,C Dickerson,0,7,19
0,J Jaso,0,2,4
6,J Miranda,1,43,84
7,E Johnson,5,56,136
2,W Cabrera,0,2,5
4,A Romero,0,2,11
12,C Huffman,0,45,101
0,J Blaquiere,0,5,7
2,C Curtis,0,27,69
15,J Goedert,1,51,83
0,C Granderson,0,2,4
3,C Moeller,0,9,20
12,A Diaz,1,22,68
2,E Eymann,1,6,15
0,K Shoppach,0,2,4
0,S Lerud,0,2,2
1,P Ciriaco,1,6,34
4,A De Aza,4,49,96
5,V Pascucci,0,38,49
9,L Davis,3,33,83
1,C Patterson,1,2,21
2,R Hammock,0,4,11
1,S Henry,0,3,4
0,C Delgado,0,2,3
8,M Jacobs,3,57,88
5,D Espino,0,11,20
0,Y Escobar,0,0,2
5,M Morse,0,8,13
14,J Mayberry,1,65,132
0,J Pridie,1,19,46
11,J Dillon,0,57,92
4,J Clement,1,33,51
4,R Shealy,1,55,66
0,B Rhinehart,0,2,2
0,M Nickeas,0,0,6
7,B Coats,2,38,91
5,D Wise,5,13,37
10,J Lobaton,0,33,63
16,J Rodriguez,1,46,93
5,E Carrera,3,16,46
2,B Horwitz,0,2,4
3,D Ivany,2,13,27
0,B Schneider,0,0,0
6,D Valencia,0,24,54
0,M Hubbard,0,1,1
2,L Hernandez,4,12,53
9,J Morales,1,25,68
1,J Colina,0,15,25
3,J Reed,2,22,48
3,M Cusick,0,9,22
2,J Henry,1,14,42
3,N Weglarz,1,20,50
7,M Brantley,2,29,87
3,J Bell,0,50,88
7,R Hughes,2,39,100
9,A Sanchez,1,17,61
4,B Myrow,1,43,67
3,J Donald,2,17,38
4,M McBride,0,11,32
6,D Johnson,0,95,103
0,E Patterson,1,0,4
4,O Luna,1,9,41
7,R Diaz,2,21,64
1,C White,0,5,23
21,A Chavez,1,55,113
5,C Miller,0,35,50
11,C Lambin,3,58,123
3,C Retherford,0,13,32
10,M Macri,1,36,85
13,M Young,5,35,146
5,C Gimenez,0,32,54
0,D Sappelt,3,8,35
8,T Flowers,2,53,76
0,E Gonzalez,0,0,2
12,C Duncan,0,27,50
0,S Rooney,0,1,2
5,J Tabata,2,19,69
2,C Aguila,0,11,30
13,J Frazier,2,73,122
10,F Perez,3,32,86
9,J Brown,1,67,97
0,J Toole,0,0,0
0,J Suomi,0,5,12
3,J Castillo,0,3,11
3,D Lucy,2,11,46
1,D Hernandez,2,17,37
10,L Anderson,3,53,107
7,R Thompson,4,31,97
2,B Roberts,2,15,51
9,T Hulett,2,29,57
12,Y Alonso,2,56,120
4,J Head,0,15,19
4,B Clevlen,0,29,49
0,T Maccani,0,0,2
4,M Angle,4,24,91
3,J Kunkel,1,8,21
0,K Cash,0,1,1
11,M Jones,1,54,103
3,M Martinez,0,19,41
1,J Francisco,4,59,88
11,B Peterson,3,57,107
0,S Victorino,1,3,4
0,C Thomas,1,13,13
14,B Bocock,3,31,86
0,P Britton,0,0,1
0,D Butler,0,0,0
11,B Moss,2,96,133
8,J Botts,0,48,77
4,E Lis,0,23,34
7,R Gorecki,5,30,71
2,S Pearce,2,15,42
7,C Sammons,0,24,44
0,J Saltalamacchia,0,6,10
3,D Navarro,0,21,40
1,A Cintron,0,3,13
0,K Smith,0,1,3
7,G Golson,5,40,109
1,M Lowrance,0,2,15
0,A Ciriaco,0,0,0
1,K Holloway,0,1,2
9,C Richard,1,79,129
10,D Jimenez,3,43,52
4,M Dorta,1,29,95
3,C Phelps,4,31,77
6,R Hudson,1,28,70
0,N Ashley,0,2,4
14,J Montero,3,75,131
2,L Ordaz,1,12,22
0,D Scram,2,9,20
0,G Dobbs,1,9,13
2,Y Navarro,0,6,15
9,J Jimenez,1,33,73
0,Z Lutz,0,9,6
9,W Timmons,1,43,113
0,J Phelps,0,2,4
0,J Varitek,0,1,2
2,J Hermida,0,12,19
1,J Schafer,1,8,38
1,L Marson,1,14,25
0,I Davis,0,4,12
0,M Joyce,0,12,27
0,M Rizzotti,0,4,9
0,R Doumit,0,2,2
1,A Iwamura,1,16,43
