MP,Age,BLK%,GS,eFG%,ORB%,DRtg,ORtg,STL%
21:00,30-013,0.0,1,.750,20.2,92,132,0.0
5:00,30-034,0.0,0, ,0.0,122, ,0.0
16:00,29-356,16.1,1,.250,5.8,115,71,0.0
10:00,30-024,8.1,0,1.000,0.0,90,200,5.9
17:00,29-358,0.0,0,1.000,6.4,109,209,3.2
9:00,29-361,0.0,0,1.000,14.0,112,206,5.9
7:00,30-062,0.0,0,.500,0.0,102,99,0.0
8:00,29-350,0.0,0, ,0.0,112, ,0.0
14:00,30-032,0.0,0, ,0.0,108,186,0.0
9:00,30-004,0.0,0, ,10.9,99,225,6.2
3:00,30-067,0.0,0,.000,0.0,69,50,19.5
23:00,30-044,3.3,0,.500,15.7,97,120,0.0
29:00,30-055,0.0,0,.500,5.0,94,125,2.0
14:00,30-041,0.0,0,.000,0.0,106,65,0.0
25:00,29-285,7.7,0,.500,15.6,102,122,2.1
15:00,29-338,4.6,0,.250,14.2,101,69,0.0
18:00,29-352,8.6,0,.600,23.2,100,141,3.0
44:00,29-265,5.0,1,.556,14.6,100,117,1.3
