TS%,STL%,DRtg,Opp,ORtg,G,Rk,GS,DRB%
.750,0.0,123,MIA,113,38,38,1,26.2
.333,0.0,107,DET,73,25,25,1,0.0
 ,0.0,120,DAL, ,13,13,0,0.0
.667,0.0,110,NOH,160,45,45,0,11.4
1.000,8.7,79,SAS,202,8,8,0,61.5
.636,3.4,97,WAS,93,37,37,1,30.5
.500,0.0,100,DAL,119,7,7,0,13.9
 ,0.0,111,UTA, ,4,4,0,0.0
.654,0.0,105,MIL,134,31,31,1,12.7
.431,1.8,125,CLE,83,36,36,1,8.7
.521,0.0,123,MIL,125,20,20,0,17.9
.770,0.0,82,SAC,129,49,49,1,19.7
.174,0.0,112,TOR,69,21,21,1,7.6
.556,1.6,100,MIN,120,48,48,0,24.4
.000,0.0,99,HOU,0,17,17,0,16.0
.000,0.0,120,NOH,48,11,11,0,0.0
.000,0.0,143,ORL,16,39,39,1,0.0
