Rdp,oRAR,dWAR,WAA,WAR,Acquired,Rpos,PA,Salary
-1,16,-0.0,-0.1,1.1,Traded,4,327,"$1,950,000"
0,-2,0.0,-0.5,-0.3,Amateur Draft,1,60,"$400,000"
0,0,0.0,0.0,0.0,Purchased,0,0, 
0,-0,0.0,-0.0,-0.0,Traded,1,8,"$6,000,000"
0,0,0.0,0.0,0.0,Traded,0,0,"$403,800"
0,0,0.0,0.0,0.0,Free Agency,0,0, 
0,0,0.0,0.0,0.0,Traded,0,0,"$402,000"
0,0,0.0,0.0,0.0,Amateur Draft,0,0,"$408,700"
0,0,0.0,0.0,0.0,Amateur Free Agent,0,1,"$436,300"
0,0,0.0,0.0,0.0,Free Agency,0,0, 
0,-2,0.1,-0.1,-0.1,Amateur Free Agent,-0,15, 
-2,15,-0.1,-1.3,1.0,Amateur Free Agent,3,645,"$3,650,000"
0,0,0.0,0.0,0.0,Amateur Draft,0,0,"$404,000"
0,15,-0.3,0.2,1.3,Traded,-1,314,"$5,500,000"
1,13,0.9,0.9,2.1,Traded,1,358,"$2,500,000"
0,0,0.0,0.0,0.0,Traded,0,0, 
-0,2,0.1,-0.0,0.2,Traded,1,52,"$400,000"
