2B,POS,SLG,HR,AVG,CS,Team,AB,RBI,OPS
9,1B,.464,7,.283,0,AUB,166,29,0.822
1,C,.269,0,.231,0,BAT,26,2,0.555
7,SS,.362,0,.321,8,JAM,224,27,0.761
1,1B,.400,0,.300,0,BRK,10,0,0.817
1,SS,.429,0,.286,0,BAT,7,0,0.714
2,2B,.517,2,.337,0,SC,89,18,0.909
10,3B,.384,4,.233,1,VER,146,21,0.635
3,C,.400,3,.200,1,MV,60,5,0.714
12,2B,.381,4,.278,0,BRK,273,34,0.71
7,1B,.381,3,.229,0,BAT,118,19,0.733
7,3B,.332,5,.213,2,ABD,202,27,0.608
10,3B,.315,2,.243,1,BAT,222,18,0.603
5,C,.214,0,.176,2,VER,131,6,0.453
4,1B,.350,4,.197,1,SC,117,13,0.634
6,C,.408,3,.262,0,SI,103,13,0.695
9,2B,.412,1,.321,1,SC,131,15,0.829
9,SS,.296,1,.226,4,LOW,230,20,0.607
9,C,.315,2,.201,2,CT,149,14,0.587
5,1B,.321,1,.226,0,LOW,84,9,0.624
0,SS,.250,1,.143,1,JAM,28,6,0.444
3,2B,.316,0,.237,0,BAT,38,10,0.627
13,3B,.321,2,.217,5,HV,221,22,0.631
0,2B,.600,0,.600,0,SI,5,1,1.2
1,C,.111,0,.056,0,VER,18,1,0.167
4,C,.370,2,.233,0,LOW,73,4,0.661
3,SS,.250,0,.214,0,BRK,84,6,0.566
0,C,.200,0,.200,0,BAT,10,1,0.533
0,C,.143,0,.143,1,CT,7,0,0.597
1,C,.375,0,.250,0,LOW,8,1,0.837
7,SS,.242,0,.183,0,AUB,153,8,0.496
2,SS,.271,0,.243,0,SI,70,6,0.574
5,C,.333,1,.261,0,LOW,111,18,0.677
10,2B,.333,0,.258,1,MV,186,13,0.663
2,2B,.266,1,.220,1,HV,109,9,0.533
18,3B,.411,2,.297,4,BAT,209,30,0.769
5,3B,.337,3,.253,0,SI,166,16,0.698
2,SS,.313,0,.188,0,SC,16,0,0.59
13,2B,.355,2,.249,1,SC,197,23,0.7
0,C,.240,2,.120,0,ABD,50,8,0.46
1,2B,.228,0,.196,1,WIL,92,3,0.496
1,3B,.133,0,.100,1,JAM,30,2,0.339
0,C,.083,0,.083,0,ABD,24,2,0.203
2,3B,.238,0,.190,0,BAT,42,3,0.477
3,C,.202,0,.170,0,BRK,94,8,0.445
5,3B,.305,3,.224,2,AUB,223,19,0.592
2,SS,.333,0,.200,0,ABD,15,2,0.583
2,C,.262,0,.214,0,JAM,42,6,0.545
0,2B,1.500,1,.750,0,BAT,4,2,2.25
7,C,.273,0,.235,1,ABD,187,21,0.557
1,C,.175,0,.158,0,AUB,57,2,0.359
0,C,.000,0,.000,0,BAT,6,0,0.143
15,1B,.434,7,.259,4,JAM,228,25,0.753
0,C,.250,0,.250,0,JAM,16,0,0.544
1,2B,.196,1,.130,1,ABD,92,3,0.432
3,C,.300,0,.250,1,JAM,60,4,0.597
1,C,.167,0,.139,0,SC,36,1,0.372
2,C,.387,0,.323,0,BAT,31,4,0.74
5,SS,.243,1,.168,1,HV,107,5,0.558
4,2B,.280,2,.200,0,AUB,150,16,0.558
7,1B,.374,3,.235,0,SI,115,17,0.72
15,1B,.382,3,.264,3,CT,220,30,0.711
10,2B,.324,3,.169,0,CT,136,14,0.553
5,SS,.335,0,.263,1,TRI,179,14,0.662
9,2B,.370,3,.240,2,ABD,154,20,0.686
5,3B,.375,5,.216,5,MV,176,23,0.674
3,SS,.220,1,.173,2,SI,127,12,0.447
3,2B,.308,1,.242,3,BAT,91,12,0.591
4,SS,.350,1,.276,1,LOW,123,10,0.675
0,C,.077,0,.077,0,AUB,13,0,0.154
6,C,.372,4,.256,1,WIL,156,23,0.677
2,C,.260,1,.212,1,VER,104,4,0.598
9,SS,.347,0,.253,4,ABD,95,12,0.648
9,SS,.297,1,.220,2,WIL,182,13,0.588
0,3B,.211,0,.211,0,MV,19,3,0.634
9,1B,.350,2,.288,1,JAM,240,41,0.666
7,SS,.317,1,.249,2,CT,205,20,0.621
3,2B,.260,0,.219,1,VER,73,5,0.59
4,C,.236,1,.188,0,MV,144,10,0.506
0,C,.200,0,.200,0,WIL,20,2,0.533
3,C,.240,1,.160,0,BAT,75,6,0.462
0,C,.111,0,.111,0,ABD,18,1,0.222
12,3B,.368,1,.269,3,LOW,171,20,0.735
4,C,.291,1,.209,1,TRI,86,10,0.611
2,2B,.571,2,.286,1,WIL,28,7,0.926
7,C,.329,2,.242,0,SC,149,16,0.685
6,C,.333,0,.267,2,HV,150,13,0.644
0,2B,.000,0,.000,0,CT,4,0,0.0
13,1B,.292,1,.215,2,HV,233,29,0.538
4,C,.238,0,.200,1,AUB,105,6,0.479
10,2B,.302,2,.201,0,BRK,179,12,0.582
0,C,.273,0,.273,1,ABD,11,0,0.657
4,C,.347,1,.250,1,HV,72,9,0.754
0,C,.333,0,.333,0,JAM,3,2,0.833
0,2B,.167,0,.167,0,MV,6,0,0.333
2,3B,.210,0,.185,0,TRI,81,7,0.454
0,2B,--,0,--,0,LOW,0,0,1.0
1,2B,.226,1,.179,0,WIL,84,6,0.433
7,C,.463,2,.269,1,BRK,67,7,0.809
6,2B,.321,0,.268,1,SI,112,10,0.627
1,SS,.400,0,.300,0,ABD,10,0,0.817
5,C,.299,2,.196,0,TRI,107,8,0.574
7,2B,.279,0,.237,6,SI,215,7,0.608
5,C,.297,3,.200,0,SI,145,13,0.583
4,SS,.274,1,.235,1,MV,179,18,0.589
0,C,.389,0,.389,0,ABD,18,1,0.839
1,3B,.381,1,.190,0,ABD,21,4,0.608
1,C,.354,1,.253,1,AUB,79,5,0.692
