SH,Team,BB,SO,SF
3,DSL BRA,27,38,0
0,DSL REDS,19,27,0
4,DSL ANG,6,7,0
5,DSL RGR,11,21,2
2,DSL BLJ,10,38,2
2,DSL PIR,13,29,1
0,DSL DIA,10,28,0
0,DSL PAD,11,6,0
2,DSL DOD,17,27,0
1,DSL NAT,9,35,3
0,DSL IND,2,6,0
0,DSL PAD,26,37,1
1,DSL MET,17,14,2
2,DSL CAR,20,34,1
0,DSL ORI,16,15,0
0,DSL GSI,7,21,0
1,DSL MTS,12,14,2
0,DSL MTS,62,73,4
0,DSL IND,16,46,2
0,DSL BRA,7,14,0
4,DSL DOD,21,23,1
1,DSL SEA,9,21,0
2,DSL RSX,12,23,2
1,DSL TIG,3,20,3
4,DSL GSI,39,46,2
3,DSL DIA,29,20,4
0,DSL GSI,2,4,0
0,DSL RGR,1,2,0
0,DSL NAT,23,32,1
0,DSL ATH,0,0,0
0,DSL ATH,12,41,4
3,DSL ORI,11,22,2
2,DSL PIR,15,28,3
3,DSL BRW,37,48,2
1,DSL NYY1,24,60,2
0,DSL TIG,1,5,0
1,DSL RSX,17,24,1
1,DSL PAD,15,15,1
0,DSL AST,0,0,0
0,DSL CAR,10,38,1
1,DSL BLJ,18,92,0
1,DSL DOD,2,8,0
3,DSL AST,10,27,3
2,DSL ROY,25,45,2
1,DSL NYY1,3,13,1
2,DSL PAD,0,21,1
0,DSL ATH,0,0,0
0,DSL ATH,37,27,1
0,DSL DOD,4,12,0
6,DSL REDS,18,66,2
0,DSL CAR,26,26,0
1,DSL BRW,10,13,0
1,DSL SEA,14,29,0
4,DSL RSX,39,45,3
1,DSL TB,32,76,0
1,DSL PHI,18,29,5
1,DSL NYY2,10,8,1
4,DSL ANG,17,16,2
1,DSL NAT,10,40,1
2,DSL FLA,20,38,1
3,DSL CUB2,29,32,2
4,DSL ORI,26,18,2
2,DSL NYY1,18,32,2
1,DSL TIG,11,41,2
0,DSL NYY2,18,15,1
3,DSL IND,2,4,0
0,DSL ROCK,23,22,4
0,DSL ANG,11,32,5
0,DSL BLJ,24,54,0
1,DSL PHI,10,32,0
5,DSL BRA,12,25,0
0,DSL CUB,0,0,0
0,DSL PIR,9,19,2
0,DSL CAR,8,29,2
1,DSL CUB,9,16,1
6,DSL ANG,13,22,4
8,DSL GSI,32,19,0
1,DSL GSI,20,26,3
1,DSL NYY2,32,44,1
2,DSL BRW,11,11,0
0,DSL BRW,5,7,0
0,DSL PIR,8,18,0
1,DSL RSX,51,43,3
0,DSL CAR,26,42,0
0,DSL GSI,40,49,1
3,DSL MET,18,17,3
2,DSL TWI,17,30,3
1,DSL PHI,14,22,0
0,DSL SEA,11,24,0
1,DSL ANG,7,17,0
3,DSL PIR,20,10,2
3,DSL TWI,22,33,0
0,DSL DOD,0,0,0
3,DSL MTS,7,8,0
0,DSL BRA,4,9,0
0,DSL BRW,3,4,0
3,DSL ROY,12,37,2
3,DSL ROY,14,24,1
1,DSL MET,40,27,2
0,DSL PHI,2,5,0
0,DSL ORI,11,6,0
8,DSL PIR,24,47,5
0,DSL ANG,3,8,1
1,DSL ROCK,2,5,1
2,DSL IND,20,20,0
1,DSL DIA,22,37,1
1,DSL ROCK,8,18,2
0,DSL WSX,9,12,2
2,DSL ATH,15,34,0
2,DSL RSX,20,29,7
0,DSL SEA,17,17,2
0,DSL IND,15,25,1
2,DSL TWI,6,17,0
1,DSL ROCK,17,24,0
7,DSL TWI,15,42,3
1,DSL BRA,17,29,0
1,DSL NYY2,20,47,4
0,DSL BRA,1,12,0
4,DSL ORI,36,28,2
3,DSL BRA,21,30,0
3,DSL CUB2,39,45,4
3,DSL SEA,21,20,0
6,DSL BRA,15,27,3
1,DSL ANG,9,11,0
2,DSL TWI,40,32,2
1,DSL MTS,22,32,2
4,DSL TIG,26,77,1
0,DSL CUB,20,19,0
0,DSL RGR,16,14,3
3,DSL PHI,10,29,1
1,DSL AST,7,7,0
0,DSL SEA,0,12,0
2,DSL PIR,8,20,0
2,DSL PAD,23,36,1
2,DSL IND,24,48,3
1,DSL CUB2,13,22,0
0,DSL RGR,2,6,0
0,DSL RSX,23,29,1
5,DSL ROY,27,20,2
1,DSL ROCK,7,22,0
3,DSL TIG,18,79,1
2,DSL MET,11,22,1
0,DSL AST,12,25,1
1,DSL DIA,20,50,1
0,DSL REDS,22,30,0
1,DSL CUB2,25,16,1
0,DSL TB,28,49,2
1,DSL ATH,6,42,2
0,DSL BRW,7,13,0
0,DSL AST,36,67,0
3,DSL DOD,15,16,0
0,DSL ORI,0,0,0
3,DSL IND,24,11,3
6,DSL PHI,15,34,3
0,DSL FLA,12,27,0
0,DSL FLA,1,6,0
1,DSL REDS,21,63,2
2,DSL CAR,27,30,2
0,DSL NYY2,1,4,0
0,DSL IND,13,23,1
0,DSL REDS,15,37,2
1,DSL RGR,6,38,4
5,DSL TIG,27,37,5
2,DSL ATH,11,12,2
0,DSL ROY,1,1,0
0,DSL NAT,9,20,1
3,DSL FLA,17,62,2
0,DSL RSX,8,25,0
0,DSL PHI,21,23,0
13,DSL ORI,24,45,4
2,DSL TB,7,17,1
0,DSL IND,10,19,2
6,DSL ANG,17,35,1
0,DSL NAT,4,20,2
1,DSL CAR,22,27,0
0,DSL ORI,6,26,1
2,DSL IND,13,12,0
2,DSL DOD,3,2,0
3,DSL MET,27,39,2
3,DSL CUB,25,67,4
0,DSL CUB,21,34,0
0,DSL MET,23,59,0
0,DSL PIR,1,6,0
1,DSL DIA,35,22,2
0,DSL AST,0,0,0
0,DSL NYY2,18,36,0
2,DSL NYY1,13,22,1
4,DSL ROY,28,28,2
1,DSL NYY1,17,56,0
0,DSL WSX,10,30,0
0,DSL CUB,15,17,0
0,DSL DIA,9,17,1
1,DSL NYY2,3,4,1
0,DSL PHI,5,13,0
0,DSL ORI,9,11,0
0,DSL RGR,5,2,0
1,DSL NYY2,5,24,0
1,DSL ROY,38,22,2
4,DSL WSX,3,12,1
0,DSL MET,12,54,0
3,DSL WSX,30,37,0
0,DSL RSX,19,43,3
0,DSL ATH,1,2,0
2,DSL ORI,37,62,3
4,DSL WSX,37,56,2
0,DSL PAD,4,5,0
4,DSL PIR,31,54,3
0,DSL AST,8,29,0
0,DSL WSX,7,9,0
1,DSL RGR,8,6,1
0,DSL GSI,7,11,0
8,DSL ANG,19,31,3
1,DSL BRA,3,8,0
7,DSL BRW,12,18,1
3,DSL BLJ,31,49,0
1,DSL CAR,5,20,0
1,DSL PHI,15,30,0
0,DSL ATH,3,16,0
0,DSL FLA,22,35,1
0,DSL GSI,6,18,0
0,DSL TB,1,18,0
1,DSL WSX,14,27,0
0,DSL MTS,10,19,1
3,DSL ORI,12,26,2
0,DSL CAR,7,9,0
6,DSL REDS,35,36,2
0,DSL GSI,1,15,0
0,DSL REDS,12,32,2
1,DSL DOD,12,38,0
5,DSL MTS,26,44,2
1,DSL ATH,22,26,2
2,DSL FLA,23,51,0
0,DSL TWI,9,31,1
2,DSL REDS,9,24,0
0,DSL NYY1,0,3,0
2,DSL BRA,1,26,1
0,DSL NYY2,55,81,3
1,DSL IND,13,22,0
0,DSL RGR,7,27,0
1,DSL GSI,17,25,0
6,DSL CUB2,35,42,4
0,DSL FLA,4,26,1
4,DSL ORI,6,18,1
1,DSL RGR,21,35,1
4,DSL MET,25,29,2
4,DSL PHI,20,50,5
6,DSL IND,14,10,2
1,DSL RGR,8,6,1
2,DSL DOD,23,31,1
3,DSL NYY1,26,41,1
1,DSL IND,11,21,0
0,DSL NYY1,0,6,0
2,DSL ANG,16,35,2
0,DSL BLJ,7,15,0
0,DSL MTS,0,0,0
1,DSL MTS,28,39,5
2,DSL RGR,6,44,2
1,DSL SEA,24,37,4
