STL%,GmSc,TOV%,AST%,DRB%,G,ORB%,Tm,Opp
0.0,-0.1,0.0,0.0,0.0,43,0.0,PHI,NJN
13.0,-0.1,0.0,0.0,20.7,63,0.0,PHI,LAC
9.5,9.7,25.0,11.3,13.9,30,3.6,PHI,UTA
3.0,2.7,33.3,20.8,8.3,1,0.0,PHI,MIL
0.0,8.7,36.8,18.2,13.0,69,24.6,PHI,ATL
16.6,1.5,0.0,11.9,0.0,71,0.0,PHI,TOR
0.0,1.9,0.0,8.3,6.3,68,5.9,PHI,CLE
3.2,0.5,20.0,34.6,0.0,22,0.0,PHI,DET
0.0,5.5,50.8,45.7,15.4,5,14.8,PHI,SEA
0.0,-2.1,100.0,11.1,0.0,4,0.0,PHI,MIL
5.1,7.4,0.0,36.5,0.0,11,9.1,PHI,IND
0.0,1.6,25.4,9.4,6.0,50,18.0,PHI,NYK
9.3,1.0,33.3,24.5,0.0,40,43.1,PHI,ATL
0.0,3.7,0.0,61.5,0.0,24,14.5,PHI,GSW
10.2,1.8,33.3,24.2,13.1,45,0.0,PHI,IND
3.5,6.9,29.1,17.0,35.6,64,16.4,PHI,TOR
1.4,12.6,0.0,3.8,12.2,29,12.4,PHI,LAL
0.0,0.8,25.5,12.6,18.0,15,14.6,PHI,ORL
6.9,2.6,0.0,0.0,0.0,56,14.0,PHI,DET
8.1,1.9,17.0,36.4,0.0,10,0.0,PHI,CLE
3.4,3.7,0.0,10.3,15.4,3,0.0,PHI,ATL
0.0,8.4,33.3,24.0,22.9,37,4.3,PHI,CLE
0.0,8.4,0.0,40.0,8.1,9,6.0,PHI,ORL
6.9,9.0,20.5,11.7,0.0,16,19.6,PHI,TOR
0.0,0.3,33.3,0.0,0.0,61,13.0,PHI,CHH
0.0,-0.1,50.0,0.0,0.0,46,0.0,PHI,NJN
5.7,2.4,25.0,14.9,0.0,41,13.7,PHI,HOU
4.8,7.9,36.2,0.0,11.5,66,23.0,PHI,CHH
0.0,-2.8,100.0,0.0,0.0,51,0.0,PHI,WAS
0.0,-0.7,0.0,0.0,0.0,17,0.0,PHI,DEN
5.8,0.2,40.0,0.0,29.6,58,12.1,PHI,BOS
0.0,2.3,33.3,0.0,9.4,44,0.0,PHI,CLE
0.0,-1.1,100.0,18.6,33.3,62,0.0,PHI,WAS
0.0,1.9,15.5,0.0,8.6,8,10.9,PHI,WAS
0.0,5.0,23.1,11.1,23.1,38,0.0,PHI,TOR
0.0,-1.5,25.0,0.0,8.4,36,0.0,PHI,POR
0.0,2.0,0.0,0.0,0.0,55,0.0,PHI,NYK
8.5,16.0,28.2,0.0,11.8,27,7.2,PHI,VAN
6.9,3.5,0.0,0.0,0.0,28,6.8,PHI,SEA
0.0,-3.8,20.0,0.0,0.0,53,0.0,PHI,WAS
3.2,1.5,25.0,8.8,13.4,32,5.9,PHI,CHI
