ORtg,GmSc,STL%,Tm,ORB%,GS,BLK%,Rk,TRB%
43,-0.3,0.0,HOU,18.2,0,0.0,41,9.4
87,1.2,0.0,HOU,0.0,0,0.0,14,9.4
122,3.3,0.0,HOU,57.1,0,0.0,46,31.2
91,1.1,0.0,HOU,0.0,0,0.0,27,26.7
168,9.7,0.0,HOU,0.0,0,0.0,16,11.6
0,-2.1,0.0,HOU,0.0,0,0.0,39,0.0
51,-1.8,0.0,HOU,0.0,0,0.0,9,0.0
64,-0.1,0.0,HOU,0.0,0,0.0,44,0.0
70,3.4,0.0,HOU,5.6,1,6.6,32,18.4
22,0.2,6.1,HOU,0.0,0,0.0,28,11.4
118,3.6,0.0,HOU,10.9,0,0.0,21,15.0
0,-2.8,0.0,HOU,0.0,0,0.0,17,0.0
73,1.5,0.0,HOU,6.9,0,0.0,11,15.3
82,1.1,3.0,HOU,0.0,0,0.0,5,0.0
47,0.9,0.0,HOU,0.0,0,0.0,45,65.8
200,4.0,0.0,HOU,0.0,0,0.0,12,27.4
116,2.9,0.0,HOU,32.7,0,0.0,33,20.0
82,1.3,0.0,HOU,0.0,1,3.3,31,8.7
0,-2.2,0.0,HOU,0.0,0,0.0,51,17.5
85,2.6,0.0,HOU,10.2,0,7.7,35,12.9
119,1.5,0.0,HOU,19.0,0,0.0,2,9.4
92,2.6,0.0,HOU,24.2,0,0.0,34,19.8
0,-2.5,0.0,HOU,0.0,0,0.0,26,16.2
129,3.9,0.0,HOU,19.4,0,0.0,20,21.3
0,-1.2,0.0,HOU,0.0,0,0.0,18,18.6
105,5.2,0.0,HOU,8.6,0,0.0,10,14.5
 ,-0.4,0.0,HOU,0.0,0,0.0,7,0.0
121,1.6,0.0,HOU,0.0,0,0.0,38,7.2
0,-1.4,0.0,HOU,0.0,0,0.0,25,0.0
