Row,Organism,Tax Group,NCBI Project ID,Replicons,Total Size (bp),% AT,HisKA Count,HisKA 1 Count,HisKA 2 Count,HisKA 3 Count,HWE HK Count,RRReceiver Count
 , , , , , , , , , , , , 
1.0,Denitrovibrio acetiphilus DSM 12809,BDDD,29431.0,1.0,"3,222,077",57.5,32.0,29.0,2.0,1.0,0.0,70.0
2.0,Gemmatimonas aurantiaca T-27,BGGG,18501.0,1.0,"4,636,964",35.7,44.0,39.0,1.0,4.0,0.0,77.0
3.0,Dictyoglomus turgidum DSM 6724,BDDD,29175.0,1.0,"1,855,560",66.0,6.0,5.0,1.0,0.0,0.0,9.0
4.0,Dictyoglomus thermophilum H-6-12,BDDD,30731.0,1.0,"1,959,987",66.3,4.0,3.0,1.0,0.0,0.0,6.0
5.0,Magnetococcus sp. MC-1,BProt M,262.0,1.0,"4,719,581",45.8,76.0,76.0,0.0,0.0,0.0,135.0
6.0,Mycoplasma gallisepticum str. R(low),BFirm MM,409.0,1.0,"996,422",68.6,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Syntrophomonas wolfei subsp. wolfei str. Goettingen,BFirm CC,13014.0,1.0,"2,936,195",55.1,11.0,10.0,0.0,1.0,0.0,28.0
8.0,Caldicellulosiruptor saccharolyticus DSM 8903,BFirm CC,13466.0,1.0,"2,970,275",64.7,5.0,5.0,0.0,0.0,0.0,32.0
9.0,Acidithiobacillus ferrooxidans ATCC 53993,BProt GA,16689.0,1.0,"2,885,038",41.2,12.0,12.0,0.0,0.0,0.0,13.0
10.0,Elusimicrobium minutum Pei191,BCE,19701.0,1.0,"1,643,562",60.0,5.0,5.0,0.0,0.0,0.0,7.0
11.0,Opitutus terrae PB90-1,BVOO,19989.0,1.0,"5,957,605",34.7,89.0,77.0,0.0,12.0,0.0,137.0
12.0,Akkermansia muciniphila ATCC BAA-835,BVVV,20089.0,1.0,"2,664,102",44.2,4.0,4.0,0.0,0.0,0.0,5.0
13.0,Ureaplasma urealyticum serovar 10 str. ATCC 33699,BTMM,20247.0,1.0,"874,478",74.2,0.0,0.0,0.0,0.0,0.0,0.0
14.0,Candidatus Phytoplasma mali,BTMA,25335.0,1.0,"601,943",78.6,0.0,0.0,0.0,0.0,0.0,0.0
15.0,Methylacidiphilum infernorum V4,BVUM,28995.0,1.0,"2,287,145",54.5,8.0,7.0,0.0,1.0,0.0,11.0
16.0,Thermobaculum terrenum ATCC BAA-798,BT,29523.0,2.0,"3,101,581",46.5,22.0,17.0,0.0,5.0,0.0,32.0
17.0,Thermanaerovibrio acidaminovorans DSM 6589,BSSS,29531.0,1.0,"1,848,474",36.2,7.0,6.0,0.0,1.0,0.0,22.0
18.0,Thermodesulfovibrio yellowstonii DSM 11347,BNNN,30733.0,1.0,"2,003,803",65.9,21.0,20.0,0.0,1.0,0.0,39.0
19.0,Mycoplasma conjunctivae HRC/581,BTMM,32285.0,1.0,"846,214",71.3,0.0,0.0,0.0,0.0,0.0,0.0
20.0,Aminobacterium colombiense DSM 12261,BSSS,32587.0,1.0,"1,980,592",54.7,4.0,2.0,0.0,2.0,0.0,11.0
21.0,Fibrobacter succinogenes subsp. succinogenes S85,BFFF,32617.0,1.0,"3,842,635",52.0,11.0,11.0,0.0,0.0,0.0,18.0
22.0,Coraliomargarita akajimensis DSM 45221,BVOP,33365.0,1.0,"3,750,771",46.4,29.0,25.0,0.0,4.0,0.0,37.0
23.0,Deferribacter desulfuricans SSM1,BDDD,37285.0,2.0,"2,542,933",69.7,25.0,25.0,0.0,0.0,0.0,53.0
24.0,Mycoplasma gallisepticum str. R(high),BTMM,43299.0,1.0,"1,012,027",68.5,0.0,0.0,0.0,0.0,0.0,0.0
25.0,Mycoplasma gallisepticum str. F,BTMM,43301.0,1.0,"977,612",68.6,0.0,0.0,0.0,0.0,0.0,0.0
