Box Beam or Girders (Multiple),Channel Beam,Arch-Thru,Culvert,Frame (Except Culverts),Tee Beam,Mixed Types,Box Beam or Girders (Single or Spread),Truss-Deck
55,0,4,"6,358",49,610,0,10,11
15,2,4,236,239,85,0,1,5
357,0,0,582,40,44,0,30,2
823,990,6,"7,968",55,"2,268",0,"1,332",9
"1,247",10,22,"1,771",725,203,0,25,34
"43,675","13,119",395,"116,707","4,834","38,170",480,"6,812",845
102,0,1,199,28,5,0,8,2
17,0,0,1,22,5,0,3,0
13,22,0,166,12,566,2,2,12
124,1,8,"1,079",93,170,2,19,11
89,7,1,104,464,942,0,10,5
227,10,0,"5,301",2,"2,171",0,105,4
56,"1,939",7,"2,544",10,604,0,0,17
"1,429",140,6,477,22,146,0,33,37
76,1,5,"4,635",28,240,0,0,9
244,0,10,"2,812",129,"1,016",0,12,12
"1,913",0,2,"17,162",46,"1,451",0,49,38
307,320,29,180,137,"1,349",0,439,32
18,446,1,"4,414",34,782,0,15,3
77,55,1,"1,655",19,73,0,12,11
"2,818",232,10,"2,775",17,"2,668",0,135,12
40,1,1,27,23,21,0,1,0
49,"4,649",0,"2,910",67,181,0,289,9
"6,873",34,9,"3,142",17,"3,240",7,106,62
70,212,0,"2,237",0,409,0,0,3
227,319,1,765,0,377,0,547,0
49,43,1,"2,730",15,575,0,1,6
"5,483",0,27,"1,615",408,833,0,0,180
780,117,16,263,300,650,1,60,44
