SLG,RBI,SO,G,BB,OBP,SB,3B,2B,SH
0.25,0,3,2,0,0.25,0,0,0,0
0.503,69,62,93,46,0.372,1,2,22,0
0.308,1,3,4,1,0.286,0,0,1,0
0.472,39,44,69,42,0.439,0,0,26,0
0.824,66,58,48,11,0.405,1,1,14,0
0.376,22,45,62,29,0.342,5,1,8,2
0.466,68,51,123,36,0.362,4,1,24,1
0.433,65,81,95,57,0.379,1,0,19,0
0.483,100,85,134,38,0.355,5,3,31,0
0.391,9,18,25,7,0.317,3,1,3,0
0.376,27,24,54,19,0.335,3,0,12,0
0.444,53,79,123,48,0.38,3,4,19,1
0.5,5,4,4,1,0.308,0,0,0,0
0.488,109,100,133,44,0.329,5,1,30,0
0.498,83,116,129,58,0.363,0,1,24,1
0.32,2,6,5,2,0.37,0,0,0,0
0.479,32,37,46,23,0.377,2,3,7,0
0.534,97,105,117,58,0.376,3,1,30,0
0.506,15,25,21,10,0.372,1,0,7,0
0.664,109,111,129,60,0.405,2,0,38,0
0.5,0,1,1,0,0.5,0,0,0,0
0.716,35,37,35,16,0.421,0,2,12,0
0.585,17,12,24,11,0.444,3,2,8,0
0.674,45,37,50,20,0.429,7,1,20,0
0.133,1,1,4,1,0.188,0,0,0,0
0.428,34,36,91,35,0.356,2,2,26,2
0.399,22,44,49,10,0.277,1,1,11,2
0.431,6,8,17,9,0.383,0,1,3,1
0.488,104,170,138,61,0.332,5,3,32,2
0.442,34,10,56,30,0.432,5,0,14,2
0.333,2,3,2,0,0.429,0,0,0,0
0.498,44,44,55,19,0.347,1,1,15,2
0.449,12,10,19,6,0.312,0,0,5,0
0.346,35,87,105,45,0.363,23,2,9,8
0.652,101,89,93,43,0.404,7,1,34,0
