SO,POS,AVG,H,Team,SH,BB,Player,AB,CS
12,CF,0.174,8,TEX,1,4,L Martin,46,0
169,CF,0.246,141,TB,4,45,B Upton,573,6
46,LF,0.213,35,SEA,0,21,M Carp,164,0
104,LF,0.262,73,OAK,1,44,J Gomes,279,1
67,LF,0.24,92,NYY,0,35,R Ibanez,384,0
23,LF,0.223,21,BAL,2,11,X Avery,94,3
10,RF,0.319,15,DET,0,3,A Garcia,47,2
26,LF,0.234,25,TB,0,8,B Francisco,107,1
126,CF,0.287,186,BAL,0,34,A Jones,648,7
35,CF,0.302,60,BOS,8,6,S Podsednik,199,2
63,RF,0.243,65,BOS,2,37,D Nava,267,0
104,RF,0.24,113,DET,0,26,B Boesch,470,3
71,CF,0.195,37,CLE,1,11,B Lillibridge,190,2
43,LF,0.268,56,BAL,2,22,N McLouth,209,1
149,CF,0.223,126,TOR,2,47,C Rasmus,565,3
56,CF,0.26,76,KC,4,30,J Dyson,292,5
151,RF,0.242,148,OAK,1,55,J Reddick,611,1
1,LF,0.143,1,TB,0,0,B Guyer,7,0
3,RF,0.219,7,MIN,0,4,E Komatsu,32,0
7,LF,0.323,10,NYY,1,5,B Gardner,31,2
14,LF,0.313,21,BAL,0,2,N Reimold,67,0
6,LF,0.217,5,CLE,0,0,T Neal,23,0
124,LF,0.226,137,SEA,1,59,D Ackley,607,3
51,RF,0.298,125,BAL,0,42,N Markakis,420,1
16,CF,0.224,15,CWS,0,6,J Danks,67,1
162,LF,0.285,160,TEX,0,60,J Hamilton,562,4
7,LF,0.222,2,BAL,0,5,B Hall,9,0
63,RF,0.241,80,TOR,0,59,J Bautista,332,2
22,LF,0.269,25,CLE,0,4,R Canzler,93,0
61,RF,0.283,178,NYY,5,22,I Suzuki,629,7
56,CF,0.266,59,KC,0,15,L Cain,222,0
71,RF,0.197,46,NYY,0,28,A Jones,233,0
64,CF,0.259,118,OAK,6,45,C Crisp,455,4
4,OF,0.091,1,BOS,0,0,J Repko,11,0
9,LF,0.1,1,DET,0,0,M Young,10,0
