Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 15,at Texas,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
Feb 16,at Texas,"W, 5-3",0,0,0,-,-,-,0,-,-,-,-
Feb 17,at Texas,"L, 6-3",-,-,-,-,-,-,-,-,-,-,-
Feb 19,at Fresno State, ,-,-,-,-,-,-,-,-,-,-,-
Feb 22,UC Riverside,"L, 2-1",-,-,-,-,-,-,-,-,-,-,-
Feb 23,UC Riverside,"W, 4-3",0,0,0,-,-,-,0,-,-,-,-
Feb 23,UC Riverside,"L, 7-6",-,-,-,-,-,-,-,-,-,-,-
Feb 24,UC Riverside,"W, 7-4",-,-,-,-,-,-,-,-,-,-,-
Feb 26,Nevada,"W, 4-1",0,0,0,-,-,-,0,-,-,-,-
Mar 1,Utah Valley,"W, 1-0",-,-,-,-,-,-,-,-,-,-,-
Mar 2,Utah Valley,"L, 6-4",0,0,0,-,-,-,0,-,-,-,-
Mar 3,Utah Valley,"W, 10-3",-,-,-,-,-,-,-,-,-,-,-
Mar 5,at UC Davis,"W, 14-0",-,-,-,-,-,-,-,-,-,-,-
Mar 8,Cal State Northridge,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Mar 9,Cal State Northridge,"L, 5-3",0,0,0,-,-,-,0,-,-,-,-
Mar 10,Cal State Northridge,"W, 9-6",-,-,-,-,-,-,-,-,-,-,-
Mar 12,at Saint Mary's,"W, 10-0",-,-,-,-,-,-,-,-,-,-,-
Mar 15,at UC Santa Barbara,"L, 5-0",-,-,-,-,-,-,-,-,-,-,-
Mar 16,at UC Santa Barbara,"L, 5-4",0,0,0,-,-,-,0,-,-,-,-
Mar 17,at UC Santa Barbara,"W, 13-7",-,-,-,-,-,-,-,-,-,-,-
Mar 19,at Saint Mary's,"W, 9-7",0,0,0,-,-,-,0,-,-,-,-
Mar 22,CSU Bakersfield,"L, 4-2",-,-,-,-,-,-,-,-,-,-,-
Mar 23,CSU Bakersfield,"W, 5-0",0,0,0,-,-,-,0,-,-,-,-
Mar 24,CSU Bakersfield,"L, 6-3",-,-,-,-,-,-,-,-,-,-,-
Mar 26,Fresno State,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Mar 28,at Dallas Baptist,"L, 10-0",-,-,-,-,-,-,-,-,-,-,-
Mar 29,at Dallas Baptist,"L, 6-3",0,0,0,-,-,-,0,-,-,-,-
Mar 30,at Dallas Baptist,"W, 11-7",-,-,-,-,-,-,-,-,-,-,-
Apr 2,UC Davis,"W, 6-4",-,-,-,-,-,-,-,-,-,-,-
Apr 3,San Francisco,"L, 8-4",-,-,-,-,-,-,-,-,-,-,-
Apr 5,Texas State,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
Apr 6,Texas State,"W, 7-5",-,-,-,-,-,-,-,-,-,-,-
Apr 7,Texas State,"W, 1-0",0,0,0,-,-,-,0,-,-,-,-
Apr 9,Simpson,"W, 7-0",-,-,-,-,-,-,-,-,-,-,-
Apr 12,at New Mexico State,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Apr 13,at New Mexico State,"W, 16-4",0,0,0,-,-,-,0,-,-,-,-
Apr 14,at New Mexico State,"W, 6-4",-,-,-,-,-,-,-,-,-,-,-
Apr 19,at Texas-San Antonio,"L, 7-2",-,-,-,-,-,-,-,-,-,-,-
Apr 20,at Texas-San Antonio,"W, 12-1",0,0,0,-,-,-,0,-,-,-,-
Apr 21,at Texas-San Antonio,"L, 8-5",-,-,-,-,-,-,-,-,-,-,-
Apr 23,Saint Mary's,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-
Apr 24,at San Francisco,"W, 7-2",-,-,-,-,-,-,-,-,-,-,-
Apr 26,Louisiana Tech,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Apr 27,Louisiana Tech,"W, 1-0",0,0,0,-,-,-,0,-,-,-,-
Apr 28,Louisiana Tech,"W, 4-1",-,-,-,-,-,-,-,-,-,-,-
Apr 30,at Nevada,"W, 7-6",-,-,-,-,-,-,-,-,-,-,-
May 3,at Seattle University,"W, 7-1",0,0,0,-,-,-,0,-,-,-,-
May 4,at Seattle University,"W, 6-4",-,-,-,-,-,-,-,-,-,-,-
May 5,at Seattle University,"L, 10-7",-,-,-,-,-,-,-,-,-,-,-
May 7,at UC Davis,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
May 10,San Jose State,"W, 4-1",0,0,0,-,-,-,0,-,-,-,-
May 11,San Jose State,"L, 8-6",-,-,-,-,-,-,-,-,-,-,-
May 12,San Jose State,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
May 14,at Pacific,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-
May 16,UT Arlington,"L, 15-7",0,0,0,-,-,-,0,-,-,-,-
May 17,UT Arlington,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
May 18,UT Arlington,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
May 22,vs. UTSA,"L, 3-2",0,0,0,-,-,-,0,-,-,-,-
May 23,vs. CSU Bakersfield,"L, 7-1",-,-,-,-,-,-,-,-,-,-,-
May 25,vs. San Jose State,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-
