SH,CS,GIDP,AB,BB,SF,SB,R,AVG,Team
0,0,0,5,0,0,0,2,0.4,PIR
2,0,1,91,7,2,2,12,0.275,PHL
0,1,1,53,2,1,1,6,0.151,RSX
1,3,2,145,16,2,17,28,0.269,BRA
0,1,1,49,8,0,2,8,0.184,MTS
1,1,0,43,5,0,2,5,0.14,RSX
0,0,0,6,0,0,0,0,0.167,PIR
0,0,0,15,4,0,0,3,0.333,TIG
0,0,1,53,9,0,0,10,0.34,MTS
0,0,2,78,12,3,0,9,0.256,MRL
0,0,1,3,0,0,0,0,0.0,BLU
3,5,4,177,26,3,3,36,0.266,ORI
1,10,2,179,7,1,19,22,0.291,RSX
0,1,1,56,5,2,2,13,0.429,YAN
0,0,0,17,1,0,0,2,0.118,TIG
0,1,0,7,0,0,0,0,0.286,NAT
0,0,0,4,0,0,1,0,0.5,RSX
0,4,3,88,9,1,4,8,0.239,CAR
1,2,4,158,12,1,2,19,0.253,CAR
1,0,0,10,2,1,0,2,0.3,BLU
0,1,2,58,11,1,5,9,0.276,PHL
1,1,1,31,2,1,0,2,0.226,MTS
2,2,1,157,22,0,26,46,0.325,YAN
0,0,1,9,0,0,1,3,0.222,BRA
1,3,1,100,8,1,3,10,0.22,RSX
0,0,0,7,1,1,0,1,0.0,NAT
0,1,0,15,2,0,0,3,0.333,MTS
4,3,6,171,13,0,3,19,0.24,MTS
4,0,1,118,14,2,3,13,0.246,BLU
7,6,1,198,21,1,24,42,0.263,PIR
0,3,1,91,12,1,8,16,0.22,CAR
1,0,0,43,2,2,0,6,0.279,BLU
0,0,0,19,6,0,0,1,0.263,RSX
0,1,0,59,5,1,1,7,0.254,RAY
3,0,5,152,23,4,4,21,0.289,CAR
0,0,0,10,1,0,0,0,0.1,RSX
1,2,1,54,5,1,1,6,0.148,AST
1,3,2,86,9,1,1,12,0.186,PIR
0,0,0,5,1,0,0,0,0.0,MRL
0,0,0,5,0,0,1,1,0.6,PHL
0,3,0,47,7,0,5,10,0.255,RAY
0,1,1,110,10,2,7,23,0.255,CAR
