OBP,H,RBI,SB,CS,AVG,2B
0.298,37,19,8,4,0.198,14
0.389,34,7,5,3,0.272,5
0.289,38,31,4,3,0.198,7
0.327,43,21,9,3,0.295,9
0.302,27,10,4,7,0.196,9
0.184,4,2,2,0,0.118,1
0.276,60,22,2,1,0.231,11
0.31,49,30,4,4,0.25,12
0.353,8,6,0,1,0.276,2
0.292,9,3,2,2,0.125,1
0.323,61,31,11,5,0.254,8
0.411,57,15,24,5,0.318,10
0.48,67,27,10,4,0.338,13
0.387,70,51,5,3,0.28,21
0.309,29,16,8,2,0.232,9
0.324,29,11,1,1,0.232,6
0.368,33,10,4,4,0.254,9
0.251,39,21,6,8,0.181,7
0.286,13,7,1,2,0.224,1
0.336,21,15,2,5,0.191,10
0.281,38,21,0,1,0.216,7
0.303,61,30,13,5,0.25,11
0.33,41,12,10,5,0.246,2
0.319,14,6,1,1,0.226,0
0.356,27,7,6,4,0.237,1
0.328,17,11,7,5,0.17,4
0.393,33,13,7,2,0.317,4
0.382,58,35,7,2,0.291,9
0.365,17,15,3,0,0.189,8
0.441,29,18,20,5,0.244,3
0.258,24,7,5,1,0.214,7
0.361,61,44,1,4,0.281,13
0.359,34,7,21,5,0.243,7
0.258,41,18,3,1,0.185,11
0.396,13,7,1,0,0.289,3
0.41,7,4,6,1,0.233,1
0.25,10,6,2,1,0.152,1
0.351,16,10,0,0,0.203,3
0.29,13,2,3,1,0.21,2
0.237,20,7,0,2,0.165,5
0.326,30,23,6,3,0.188,5
0.205,4,0,1,2,0.103,1
0.297,32,11,2,4,0.227,1
0.238,7,3,1,0,0.099,1
0.317,9,7,0,0,0.176,2
0.352,20,11,6,3,0.202,2
0.393,20,11,8,2,0.27,2
0.38,52,13,6,11,0.306,6
0.356,31,12,4,2,0.215,9
0.331,28,16,3,3,0.235,8
0.304,35,8,1,0,0.24,8
0.325,41,16,4,1,0.287,6
0.234,10,2,2,3,0.222,0
0.355,77,20,30,12,0.302,9
0.384,64,21,16,6,0.3,9
0.315,32,12,5,5,0.248,8
0.284,58,28,3,4,0.226,11
0.322,30,12,3,1,0.195,4
0.336,31,13,2,0,0.254,5
0.456,66,36,0,1,0.319,16
0.0,0,0,0,1,0.0,0
0.335,29,14,1,1,0.215,6
0.331,59,27,5,4,0.263,11
0.406,63,46,9,5,0.279,14
0.376,56,28,15,4,0.304,8
0.255,8,2,1,1,0.178,1
0.416,59,26,14,7,0.343,7
0.332,30,14,9,2,0.192,5
0.4,2,1,0,0,0.4,1
0.311,15,5,9,2,0.155,2
0.334,62,52,8,1,0.247,14
0.352,57,25,14,4,0.294,10
0.32,59,21,18,7,0.266,9
0.352,44,16,22,5,0.275,3
0.25,13,4,5,3,0.173,1
0.211,16,2,1,3,0.184,2
0.394,36,20,20,8,0.252,7
0.307,14,6,1,0,0.192,3
0.293,6,1,3,0,0.171,0
0.28,26,7,1,3,0.215,3
0.348,59,32,10,8,0.257,15
0.306,43,36,20,6,0.196,7
0.255,13,6,4,1,0.151,4
0.387,17,9,0,1,0.309,2
