SB,GIDP,Player,SLG,POS,Team,SH,SO
0,7,C Perez,0.451,OF,VSL DET,1,24
6,1,J Leal,0.423,RF,VSL SEA,1,52
0,0,D Gonzalez,0.228,SS,VSL PHI,0,29
3,5,H Lugo,0.165,SS,VSL TB,0,31
2,4,M Rico,0.436,3B,VSL CHN,0,59
3,4,E Castillo,0.247,2B,VSL DET,4,43
3,3,D Arcila,0.533,1B,VSL CHN,0,62
1,3,D Colina,0.377,3B,VSL TB,0,32
4,1,E Aray,0.293,OF,VSL TB,0,22
1,2,G Rivero,0.344,C,VSL PHI,2,37
5,0,F Talos,0.395,OF,VSL SEA,0,22
31,3,H Garcia,0.314,2B,VSL CHN,1,48
4,1,A Capriata,0.452,C,VSL SEA,1,4
5,1,J Azocar,0.307,OF,VSL DET,1,43
1,3,A Velasquez,0.435,1B,VSL SEA,0,8
13,1,R Marcano,0.45,OF,VSL CHN,0,53
3,1,A Perez,0.378,C,VSL DET,1,14
0,2,D Flores,0.25,3B,VSL DET,0,26
3,4,F Herrera,0.387,1B,VSL PHI,0,19
11,4,A Alfaro,0.283,SS,VSL DET,1,47
5,6,C Apaez,0.233,OF,VSL TB,0,65
4,2,N Rivero,0.304,C,VSL TB,0,27
1,2,R Vahlis,0.379,C,VSL CHN,1,14
2,0,A Herrera,0.268,2B,VSL SEA,1,15
2,2,L Rojo,0.453,3B,VSL PHI,4,26
2,3,J Ovalles,0.45,C,VSL DET,1,20
0,3,J Pereda,0.293,C,VSL CHN,1,36
8,4,W Cuicas,0.309,3B,VSL PHI,3,35
1,1,R Tenias,0.22,C,VSL SEA,0,21
3,10,W Garcia,0.414,1B,VSL PHI,1,16
4,3,D Mina,0.419,1B,VSL SEA,2,22
5,0,R Gonzalez,0.415,C,VSL SEA,0,26
1,0,D Sojo,0.147,OF,VSL SEA,0,33
16,2,Y Calderon,0.59,3B,VSL SEA,0,48
0,3,G Tenia,0.548,1B,VSL DET,0,53
2,3,A Acosta,0.354,C,VSL PHI,0,22
23,1,V Padron,0.369,OF,VSL DET,3,28
1,1,N Suarez,0.083,2B,VSL TB,0,9
0,3,K Auciello,0.611,C,VSL TB,0,5
8,1,A Perdomo,0.371,2B,VSL PHI,5,25
0,4,L Gonzalez,0.396,C,VSL CHN,2,30
0,2,V Cortez,0.179,OF,VSL DET,1,14
