STL%,Rk,DRB%,eFG%,TS%,ORB%,BLK%
0.0,55,0.0,.500,.500,0.0,0.0
4.7,14,10.7,.000,.000,0.0,0.0
0.0,27,0.0,.625,.625,9.7,0.0
0.0,28,0.0,.500,.500,0.0,12.7
0.0,36,27.9,.500,.512,0.0,0.0
0.0,10,64.9,1.000,1.000,0.0,0.0
0.0,41,0.0,.333,.333,0.0,0.0
0.0,20,0.0,.500,.500,0.0,0.0
0.0,26,0.0, , ,0.0,0.0
0.0,48,12.7,.000,.170,29.6,0.0
0.0,34,10.0,.500,.500,0.0,0.0
0.0,47,30.5,.500,.500,0.0,0.0
6.0,22,12.4,.500,.500,26.7,0.0
2.3,37,33.2,.444,.455,6.3,0.0
0.0,15,44.2, , ,0.0,0.0
0.0,43,0.0,.583,.581,0.0,0.0
0.0,5,0.0,.000,.000,0.0,0.0
0.0,56,25.0, , ,0.0,0.0
2.9,17,29.6,.917,.917,5.8,0.0
0.0,44,15.6,.333,.333,0.0,0.0
0.0,18,26.9,.143,.143,0.0,0.0
0.0,59,17.1,.667,.727,0.0,0.0
0.0,57,0.0,.333,.333,0.0,0.0
0.0,50,15.7,.200,.200,0.0,0.0
0.0,13,20.5,.286,.286,0.0,0.0
4.0,33,13.0,.200,.370,5.6,0.0
0.0,25,0.0, , ,0.0,0.0
0.0,1,0.0,.333,.333,0.0,0.0
0.0,53,9.1,.333,.333,13.7,7.9
0.0,12,0.0,.000,.000,0.0,0.0
3.9,39,0.0,.667,.667,0.0,0.0
5.2,16,18.0,.000,.000,10.3,0.0
0.0,30,11.2,.375,.375,0.0,0.0
0.0,29,0.0, , ,0.0,0.0
