ORB,APG,FGM,PF,FG%,MPG,#,Team,FTA,GP
0.9,1.1,4.6,2.4,0.458,28.2,29,GCN,2.1,40
0.6,1.3,3.3,2.0,0.507,20.6,27,CAJ,2.2,35
0.8,3.3,3.0,2.0,0.421,21.2,65,JOV,4.4,34
0.7,0.5,3.7,1.8,0.498,19.4,73,RMB,1.5,44
2.4,1.6,2.9,2.7,0.518,20.5,94,CAN,2.1,34
0.1,1.2,1.5,2.0,0.409,18.6,36,BRV,0.5,30
0.6,1.8,3.6,3.3,0.446,27.1,5,VAL,1.3,29
1.2,0.5,1.6,1.7,0.417,16.6,98,GIP,1.8,34
0.4,1.6,2.4,2.2,0.413,20.2,7,ZAR,1.5,35
0.6,1.6,3.3,1.9,0.423,23.7,21,UNI,1.6,34
0.2,1.2,2.4,1.9,0.451,18.6,18,MAN,1.8,34
0.4,2.9,3.1,2.5,0.461,24.5,63,GIP,2.1,34
0.4,2.5,2.3,1.0,0.418,17.7,54,BRV,1.7,34
1.3,1.0,2.3,2.4,0.471,17.3,84,CAJ,1.1,35
1.1,4.1,2.0,2.9,0.416,22.0,32,VAL,1.0,34
0.4,2.2,2.3,1.9,0.387,19.8,1,MUR,1.5,34
0.5,0.6,2.6,1.6,0.437,18.0,34,SEV,1.6,34
0.7,4.1,2.9,1.3,0.465,25.8,59,CAN,2.4,34
1.1,0.9,3.0,2.4,0.567,20.3,90,CAN,2.4,34
0.7,0.4,2.6,2.9,0.53,14.9,85,BBB,1.6,27
1.1,2.3,3.7,2.5,0.418,26.0,39,MAN,4.3,32
2.4,1.0,4.1,1.9,0.494,26.6,48,VAL,3.2,28
0.5,0.7,3.0,3.0,0.449,21.3,22,BRV,2.0,26
0.4,3.4,3.1,1.2,0.438,20.9,74,FCB,1.7,45
0.4,1.4,5.3,1.8,0.499,25.6,8,GCN,1.9,38
1.1,1.4,1.3,1.0,0.433,15.4,47,RMB,0.9,43
1.8,0.3,3.2,2.6,0.49,19.0,79,MUR,2.6,31
0.5,1.0,2.6,2.5,0.44,20.5,6,OBR,1.1,36
0.8,1.5,2.7,1.5,0.4,26.6,41,VAL,1.5,33
