Date,Pos,Wt,Co,Dist,Going,Cl,Jockey,Trainer,Winner,DB,Op,SP
7/7/2004,16/16,8-13,Kemp,9f,Gd/Fm,D,S Sanders,Miss B Sanders,Momtic (IRE),2.88, ,6/1
28/6/2004,1/14,9-3,Wind,8f,Gd,E,S Sanders,Miss B Sanders,Firewire, ,10/1,8/1
29/9/2003,8/17,8-13,Wind,8f,Gd/Fm,E,S J Drowne,Miss B Sanders,Spanish Don,10.75,8/1,10/1
10/9/2003,9/15,8-9,Epso,8f,Gd,D,S Sanders,Miss B Sanders,Pango,12.25,5/1,7/2
29/8/2003,12/15,8-1,Sand,8f,(Round:,C,Lisa Jones,Miss B Sanders,African Sahara (USA),8.56,6/1,8/1
4/8/2003,2/13,9-3,Wind,8f,Gd/Fm,E,S J Drowne,Miss B Sanders,Uno Mente,s.h,evs,5/6
30/7/2003,1/19,8-12,Kemp,8f,Gd,E,S J Drowne,Miss B Sanders,Firewire, ,5/1,3/1
16/7/2003,2/12,8-8,Kemp,9f,Gd/Fm,E,S Sanders,Miss B Sanders,Must Be Magic,1.25,9/1,9/1
7/7/2003,5/16,8-11,Wind,8f,Gd/Fm,E,S Sanders,Miss B Sanders,Cool Temper,2.88,50/1,33/1
8/7/2002,13/20,9-2,Wind,10f,Gd,E,N Callan,N Hamilton,Thorntoun Gold (IRE),15.88,16/1,20/1
3/7/2002,10/14,9-11,Ling,10f,std,G,R Farmer,N Hamilton,Stitch In Time,7.94,8/1,5/1
12/6/2002,7/12,9-3,Kemp,12f,Sft,D,C Rutter,N Hamilton,Amigo (IRE),11.00,14/1,14/1
3/6/2002,9/14,9-0,Sand,10f,Gd,D,M Dwyer,N Hamilton,Splash Out Again,10.56,9/1,10/1
24/5/2002,7/17,9-12,Pont,12f,Gd/Fm,E,N Callan,N Hamilton,East Cape,9.00,12/1,14/1
27/4/2002,10/18,9-13,Leic,9f,Gd,E,N Callan,N Hamilton,Analyze (FR),5.44,6/1,8/1
8/8/2001,4/19,9-7,Leic,9f,Gd,E,M Tebbutt,N Hamilton,Dancing Tsar,1.63,5/1,11/2
14/7/2001,2/13,9-7,Nott,9f,Gd/Fm,E,N Callan,N Hamilton,Analyze (FR),3.00,7/2,5/1
16/6/2001,1/16,8-9,Nott,9f,Gd/Fm,E,N Callan,N Hamilton,Firewire, ,16/1,20/1
26/5/2001,7/16,9-7,Ling,10f,Gd/Fm,F,P Doe,N Hamilton,Duc's Dream,9.75, ,20/1
23/4/2001,9/16,9-0,Wind,10f,Gd/Sft,D,P Doe,N Hamilton,Dawari (IRE),14.31,33/1,33/1
23/10/2000,18/18,8-11,Ling,7f,Turf:, ,P Doe,N Hamilton,Asian Heights,49.50, ,33/1
13/10/2000,20/29,9-0,Newm,8f,Sft, ,P Doe,N Hamilton,Terrestrial (USA),14.56,50/1,66/1
